start,duration,count
0,1,1
1,1,1
2,1,1
3,1,0
4,1,0
5,1,1
6,1,1
7,1,0
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,2
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,2
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,2
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,2
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,0
127,1,0
128,1,0
129,1,1
130,1,0
131,1,0
132,1,0
133,1,1
134,1,1
135,1,2
136,1,2
137,1,1
138,1,2
139,1,2
140,1,1
141,1,2
142,1,2
143,1,1
144,1,1
145,1,1
146,1,1
147,1,2
148,1,2
149,1,1
150,1,1
151,1,1
152,1,2
153,1,1
154,1,1
155,1,1
156,1,2
157,1,1
158,1,1
159,1,1
160,1,1
161,1,2
162,1,2
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,2
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,2
225,1,2
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,2
239,1,2
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,2
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,2
271,1,2
272,1,1
273,1,1
274,1,1
275,1,1
276,1,2
277,1,2
278,1,1
279,1,1
280,1,1
281,1,1
282,1,2
283,1,2
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,2
297,1,1
298,1,1
299,1,2
300,1,2
301,1,2
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,3
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,2
314,1,2
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,2
352,1,2
353,1,2
354,1,1
355,1,1
356,1,1
357,1,1
358,1,2
359,1,2
360,1,2
361,1,1
362,1,1
363,1,2
364,1,2
365,1,3
366,1,3
367,1,2
368,1,1
369,1,1
370,1,3
371,1,2
372,1,2
373,1,2
374,1,2
375,1,1
376,1,1
377,1,1
378,1,1
379,1,2
380,1,2
381,1,1
382,1,1
383,1,1
384,1,1
385,1,2
386,1,2
387,1,2
388,1,2
389,1,1
390,1,1
391,1,1
392,1,1
393,1,3
394,1,3
395,1,2
396,1,1
397,1,1
398,1,1
399,1,2
400,1,2
401,1,2
402,1,2
403,1,2
404,1,2
405,1,1
406,1,1
407,1,2
408,1,2
409,1,2
410,1,2
411,1,1
412,1,2
413,1,2
414,1,1
415,1,1
416,1,2
417,1,2
418,1,2
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,2
425,1,2
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,2
440,1,2
441,1,2
442,1,2
443,1,2
444,1,2
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,2
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,2
480,1,1
481,1,1
482,1,1
483,1,1
484,1,2
485,1,2
486,1,2
487,1,2
488,1,1
489,1,2
490,1,1
491,1,2
492,1,2
493,1,3
494,1,2
495,1,3
496,1,2
497,1,2
498,1,1
499,1,1
500,1,2
501,1,2
502,1,1
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,3
511,1,1
512,1,1
513,1,1
514,1,2
515,1,2
516,1,3
517,1,2
518,1,3
519,1,2
520,1,3
521,1,2
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,2
534,1,2
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,3
568,1,1
569,1,1
570,1,0
571,1,0
572,1,0
573,1,0
574,1,0
575,1,0
576,1,0
577,1,1
578,1,2
579,1,2
580,1,1
581,1,1
582,1,1
583,1,2
584,1,2
585,1,3
586,1,2
587,1,3
588,1,2
589,1,2
590,1,1
591,1,1
592,1,1
593,1,2
594,1,2
595,1,1
596,1,0
597,1,0
598,1,0
599,1,0
600,1,0
601,1,0
602,1,0
603,1,0
604,1,0
605,1,0
606,1,0
607,1,0
608,1,0
609,1,1
610,1,2
611,1,2
612,1,1
613,1,2
614,1,2
615,1,2
616,1,1
617,1,1
618,1,1
619,1,1
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,2
629,1,2
630,1,2
631,1,2
632,1,1
633,1,1
634,1,1
635,1,1
636,1,1
637,1,1
638,1,2
639,1,1
640,1,0
641,1,0
642,1,0
643,1,0
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,2
650,1,2
651,1,1
652,1,1
653,1,1
654,1,2
655,1,2
656,1,2
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,1
665,1,1
666,1,1
667,1,1
668,1,1
669,1,1
670,1,1
671,1,2
672,1,2
673,1,1
674,1,1
675,1,2
676,1,2
677,1,1
678,1,1
679,1,1
680,1,2
681,1,2
682,1,2
683,1,2
684,1,1
685,1,1
686,1,1
687,1,1
688,1,1
689,1,1
690,1,1
691,1,3
692,1,3
693,1,3
694,1,3
695,1,2
696,1,2
697,1,1
698,1,1
699,1,1
700,1,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,2
706,1,2
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
712,1,2
713,1,1
714,1,1
715,1,1
716,1,1
717,1,1
718,1,2
719,1,2
720,1,1
721,1,1
722,1,1
723,1,1
724,1,1
725,1,1
726,1,2
727,1,1
728,1,1
729,1,1
730,1,1
731,1,2
732,1,2
733,1,2
734,1,1
735,1,1
736,1,1
737,1,1
738,1,2
739,1,2
740,1,1
741,1,2
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,2
757,1,1
758,1,2
759,1,2
760,1,2
761,1,1
762,1,1
763,1,2
764,1,2
765,1,2
766,1,1
767,1,2
768,1,3
769,1,3
770,1,2
771,1,2
772,1,1
773,1,1
774,1,1
775,1,1
776,1,1
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,1,1
786,1,1
787,1,1
788,1,1
789,1,1
790,1,1
791,1,2
792,1,2
793,1,1
794,1,1
795,1,1
796,1,1
797,1,2
798,1,2
799,1,2
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,1,1
806,1,1
807,1,1
808,1,1
809,1,1
810,1,1
811,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,1,1
817,1,1
818,1,1
819,1,1
820,1,1
821,1,1
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,1,1
829,1,2
830,1,1
831,1,1
832,1,1
833,1,1
834,1,1
835,1,1
836,1,1
837,1,2
838,1,1
839,1,2
840,1,2
841,1,1
842,1,2
843,1,2
844,1,1
845,1,1
846,1,2
847,1,2
848,1,2
849,1,2
850,1,1
851,1,1
852,1,1
853,1,1
854,1,1
855,1,1
856,1,1
857,1,1
858,1,1
859,1,1
860,1,1
861,1,1
862,1,1
863,1,1
864,1,2
865,1,1
866,1,2
867,1,2
868,1,1
869,1,1
870,1,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,1
876,1,1
877,1,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,1
883,1,1
884,1,1
885,1,1
886,1,1
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
892,1,1
893,1,1
894,1,3
895,1,3
896,1,1
897,1,3
898,1,3
899,1,1
900,1,2
901,1,1
902,1,2
903,1,2
904,1,2
905,1,2
906,1,1
907,1,1
908,1,2
909,1,1
910,1,2
911,1,2
912,1,2
913,1,2
914,1,2
915,1,1
916,1,1
917,1,2
918,1,2
919,1,2
920,1,2
921,1,2
922,1,2
923,1,1
924,1,1
925,1,2
926,1,1
927,1,1
928,1,1
929,1,1
930,1,1
931,1,1
932,1,1
933,1,1
934,1,2
935,1,2
936,1,2
937,1,1
938,1,1
939,1,1
940,1,1
941,1,1
942,1,1
943,1,1
944,1,1
945,1,1
946,1,1
947,1,1
948,1,1
949,1,2
950,1,1
951,1,2
952,1,1
953,1,1
954,1,1
955,1,2
956,1,3
957,1,2
958,1,1
959,1,1
960,1,1
961,1,1
962,1,1
963,1,1
964,1,2
965,1,2
966,1,2
967,1,2
968,1,3
969,1,2
970,1,2
971,1,2
972,1,1
973,1,1
974,1,1
975,1,1
976,1,1
977,1,1
978,1,2
979,1,3
980,1,2
981,1,1
982,1,1
983,1,1
984,1,1
985,1,0
986,1,0
987,1,0
988,1,1
989,1,1
990,1,1
991,1,1
992,1,1
993,1,0
994,1,1
995,1,1
996,1,1
997,1,1
998,1,1
999,1,1
1000,1,1
1001,1,1
1002,1,1
1003,1,1
1004,1,1
1005,1,1
1006,1,1
1007,1,1
1008,1,1
1009,1,2
1010,1,2
1011,1,1
1012,1,1
1013,1,3
1014,1,2
1015,1,1
1016,1,1
1017,1,2
1018,1,1
1019,1,1
1020,1,2
1021,1,2
1022,1,1
1023,1,1
1024,1,1
1025,1,1
1026,1,1
1027,1,1
1028,1,1
1029,1,2
1030,1,3
1031,1,2
1032,1,2
1033,1,2
1034,1,1
1035,1,1
1036,1,1
1037,1,1
1038,1,2
1039,1,2
1040,1,2
1041,1,2
1042,1,1
1043,1,2
1044,1,1
1045,1,2
1046,1,1
1047,1,2
1048,1,2
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,1,1
1054,1,1
1055,1,1
1056,1,1
1057,1,1
1058,1,2
1059,1,2
1060,1,1
1061,1,1
1062,1,1
1063,1,1
1064,1,1
1065,1,1
1066,1,1
1067,1,3
1068,1,1
1069,1,1
1070,1,1
1071,1,1
1072,1,2
1073,1,1
1074,1,1
1075,1,1
1076,1,2
1077,1,1
1078,1,2
1079,1,1
1080,1,1
1081,1,1
1082,1,1
1083,1,1
1084,1,1
1085,1,2
1086,1,3
1087,1,3
1088,1,1
1089,1,2
1090,1,1
1091,1,1
1092,1,1
1093,1,1
1094,1,3
1095,1,2
1096,1,1
1097,1,1
1098,1,1
1099,1,1
1100,1,1
1101,1,0
1102,1,0
1103,1,1
1104,1,2
1105,1,1
1106,1,1
1107,1,1
1108,1,1
1109,1,1
1110,1,1
1111,1,1
1112,1,1
1113,1,1
1114,1,1
1115,1,1
1116,1,1
1117,1,1
1118,1,1
1119,1,1
1120,1,1
1121,1,1
1122,1,1
1123,1,1
1124,1,1
1125,1,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,1,2
1131,1,1
1132,1,2
1133,1,3
1134,1,2
1135,1,2
1136,1,2
1137,1,3
1138,1,2
1139,1,2
1140,1,2
1141,1,1
1142,1,1
1143,1,1
1144,1,2
1145,1,1
1146,1,1
1147,1,1
1148,1,2
1149,1,3
1150,1,3
1151,1,3
1152,1,3
1153,1,3
1154,1,3
1155,1,3
1156,1,3
1157,1,3
1158,1,3
1159,1,1
1160,1,1
1161,1,2
1162,1,2
1163,1,2
1164,1,2
1165,1,2
1166,1,2
1167,1,0
1168,1,1
1169,1,1
1170,1,1
1171,1,2
1172,1,2
1173,1,1
1174,1,1
1175,1,1
1176,1,1
1177,1,1
1178,1,1
1179,1,1
1180,1,1
1181,1,1
1182,1,1
1183,1,1
1184,1,0
1185,1,0
1186,1,0
1187,1,1
1188,1,1
1189,1,0
1190,1,0
1191,1,0
1192,1,0
1193,1,1
1194,1,1
1195,1,1
1196,1,1
1197,1,1
1198,1,1
1199,1,1
1200,1,1
1201,1,0
1202,1,0
1203,1,1
1204,1,0
1205,1,0
1206,1,0
1207,1,0
1208,1,0
1209,1,0
1210,1,0
1211,1,0
1212,1,2
1213,1,2
1214,1,1
1215,1,1
1216,1,1
1217,1,1
1218,1,3
1219,1,3
1220,1,1
1221,1,1
1222,1,2
1223,1,2
1224,1,1
1225,1,2
1226,1,1
1227,1,1
1228,1,0
1229,1,0
1230,1,0
1231,1,0
1232,1,0
1233,1,0
1234,1,1
1235,1,1
1236,1,1
1237,1,1
1238,1,1
1239,1,1
1240,1,1
1241,1,1
1242,1,2
1243,1,2
1244,1,1
1245,1,1
1246,1,1
1247,1,2
1248,1,1
1249,1,2
1250,1,1
1251,1,1
1252,1,1
1253,1,1
1254,1,1
1255,1,1
1256,1,2
1257,1,1
1258,1,2
1259,1,2
1260,1,1
1261,1,1
1262,1,2
1263,1,2
1264,1,2
1265,1,1
1266,1,1
1267,1,2
1268,1,2
1269,1,1
1270,1,1
1271,1,1
1272,1,1
1273,1,1
1274,1,2
1275,1,1
1276,1,1
1277,1,1
1278,1,1
1279,1,2
1280,1,1
1281,1,1
1282,1,1
1283,1,1
1284,1,1
1285,1,1
1286,1,1
1287,1,2
1288,1,2
1289,1,2
1290,1,2
1291,1,1
1292,1,1
1293,1,1
1294,1,1
1295,1,1
1296,1,1
1297,1,1
1298,1,2
1299,1,2
1300,1,1
1301,1,1
1302,1,1
1303,1,1
1304,1,1
1305,1,1
1306,1,1
1307,1,2
1308,1,2
1309,1,1
1310,1,1
1311,1,1
1312,1,1
1313,1,1
1314,1,1
1315,1,1
1316,1,1
1317,1,2
1318,1,2
1319,1,1
1320,1,1
1321,1,2
1322,1,2
1323,1,1
1324,1,2
1325,1,3
1326,1,3
1327,1,2
1328,1,2
1329,1,2
1330,1,1
1331,1,3
1332,1,1
1333,1,1
1334,1,1
1335,1,1
1336,1,1
1337,1,1
1338,1,1
1339,1,1
1340,1,1
1341,1,2
1342,1,2
1343,1,1
1344,1,1
1345,1,1
1346,1,1
1347,1,1
1348,1,1
1349,1,1
1350,1,2
1351,1,2
1352,1,1
1353,1,1
1354,1,1
1355,1,1
1356,1,1
1357,1,2
1358,1,2
1359,1,2
