start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,2
7,1,2
8,1,2
9,1,0
10,1,1
11,1,0
12,1,2
13,1,2
14,1,2
15,1,3
16,1,2
17,1,1
18,1,2
19,1,2
20,1,1
21,1,1
22,1,1
23,1,1
24,1,0
25,1,0
26,1,0
27,1,3
28,1,2
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,1,2
35,1,2
36,1,1
37,1,1
38,1,1
39,1,2
40,1,2
41,1,2
42,1,2
43,1,2
44,1,2
45,1,2
46,1,2
47,1,3
48,1,3
49,1,0
50,1,0
51,1,2
52,1,1
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,1
59,1,2
60,1,2
61,1,2
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,1,2
68,1,2
69,1,1
70,1,1
71,1,1
72,1,0
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,1
84,1,0
85,1,0
86,1,0
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,2
100,1,2
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,1
109,1,1
110,1,1
111,1,2
112,1,1
113,1,1
114,1,1
115,1,2
116,1,2
117,1,1
118,1,0
119,1,1
120,1,1
121,1,0
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,1
128,1,2
129,1,2
130,1,2
131,1,3
132,1,1
133,1,1
134,1,0
135,1,1
136,1,1
137,1,1
138,1,0
139,1,0
140,1,0
141,1,0
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,2
156,1,3
157,1,1
158,1,1
159,1,3
160,1,1
161,1,1
162,1,0
163,1,0
164,1,1
165,1,1
166,1,1
167,1,1
168,1,0
169,1,0
170,1,1
171,1,0
172,1,0
173,1,0
174,1,1
175,1,1
176,1,2
177,1,2
178,1,2
179,1,2
180,1,2
181,1,2
182,1,2
183,1,2
184,1,0
185,1,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,4
192,1,4
193,1,4
194,1,3
195,1,2
196,1,1
197,1,2
198,1,2
199,1,1
200,1,0
201,1,1
202,1,1
203,1,0
204,1,0
205,1,0
206,1,0
207,1,1
