start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,1
59,1,1
60,1,1
61,1,0
62,1,0
63,1,0
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,2
104,1,2
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,2
111,1,2
112,1,2
113,1,2
114,1,0
115,1,1
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,2
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,2
139,1,3
140,1,2
141,1,2
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,2
150,1,2
151,1,1
152,1,1
153,1,2
154,1,1
155,1,2
156,1,1
157,1,2
158,1,2
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,2
166,1,2
167,1,1
168,1,2
169,1,2
170,1,1
171,1,1
172,1,1
173,1,1
174,1,2
175,1,1
176,1,1
177,1,1
178,1,1
179,1,2
180,1,2
181,1,2
182,1,2
183,1,2
184,1,2
185,1,2
186,1,2
187,1,1
188,1,1
189,1,2
190,1,2
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,2
198,1,2
199,1,2
200,1,2
201,1,2
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
