start,duration,count
0,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,1
23,1,1
24,1,1
25,1,2
26,1,2
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,0
38,1,0
39,1,2
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,2
51,1,1
52,1,1
53,1,1
54,1,0
55,1,2
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,2
63,1,2
64,1,2
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,0
72,1,1
73,1,1
74,1,1
75,1,2
76,1,2
77,1,1
78,1,2
79,1,2
80,1,1
81,1,1
82,1,1
83,1,2
84,1,2
85,1,2
86,1,2
87,1,2
88,1,2
89,1,2
90,1,2
91,1,1
92,1,2
93,1,2
94,1,1
95,1,1
96,1,2
97,1,2
98,1,2
99,1,1
100,1,1
101,1,2
102,1,1
103,1,0
104,1,0
105,1,0
106,1,0
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,0
117,1,2
118,1,2
119,1,2
120,1,2
121,1,2
122,1,2
123,1,1
124,1,1
125,1,1
126,1,1
127,1,0
128,1,1
129,1,0
130,1,0
131,1,1
132,1,1
133,1,1
134,1,0
135,1,1
136,1,2
137,1,1
138,1,1
139,1,1
140,1,2
141,1,3
142,1,3
143,1,2
144,1,2
145,1,0
146,1,1
147,1,1
148,1,0
149,1,0
150,1,0
151,1,0
152,1,1
153,1,1
154,1,1
155,1,1
156,1,0
157,1,1
158,1,2
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,2
174,1,1
175,1,2
176,1,2
177,1,2
178,1,3
179,1,3
180,1,3
181,1,2
182,1,2
183,1,3
184,1,2
185,1,2
186,1,2
187,1,0
188,1,0
189,1,1
190,1,1
191,1,0
192,1,0
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,0
201,1,2
202,1,0
203,1,1
204,1,1
205,1,1
206,1,2
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,2
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,0
222,1,1
223,1,1
224,1,1
225,1,1
226,1,2
227,1,2
228,1,2
229,1,2
230,1,2
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,0
242,1,1
243,1,2
244,1,1
245,1,0
246,1,0
247,1,1
248,1,1
249,1,2
250,1,2
251,1,2
252,1,1
253,1,1
254,1,1
255,1,2
256,1,3
257,1,3
258,1,3
259,1,2
260,1,1
261,1,1
262,1,1
263,1,2
264,1,2
265,1,2
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,2
272,1,0
273,1,1
274,1,1
275,1,2
276,1,2
277,1,0
278,1,0
279,1,1
280,1,2
281,1,2
282,1,2
283,1,2
284,1,1
285,1,2
286,1,2
287,1,2
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,2
295,1,2
296,1,1
297,1,2
298,1,2
299,1,2
300,1,3
301,1,3
302,1,3
303,1,2
304,1,1
305,1,3
306,1,2
307,1,2
308,1,1
309,1,1
310,1,1
311,1,1
312,1,2
313,1,1
314,1,1
315,1,1
316,1,0
317,1,0
318,1,1
319,1,2
320,1,2
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,0
331,1,0
332,1,1
333,1,1
334,1,1
335,1,1
336,1,2
337,1,2
338,1,3
339,1,3
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,2
346,1,3
347,1,3
348,1,3
349,1,2
350,1,2
351,1,2
352,1,2
353,1,1
354,1,1
355,1,2
356,1,2
357,1,2
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,0
376,1,2
377,1,2
378,1,2
379,1,2
380,1,2
381,1,1
382,1,2
383,1,2
384,1,2
385,1,1
386,1,1
387,1,0
388,1,1
389,1,1
390,1,0
391,1,0
392,1,1
393,1,1
394,1,1
395,1,0
396,1,0
397,1,0
398,1,0
399,1,1
400,1,1
401,1,1
402,1,0
403,1,0
404,1,2
405,1,2
406,1,2
407,1,2
408,1,1
409,1,1
410,1,0
411,1,0
412,1,0
413,1,0
414,1,0
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,0
421,1,0
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,0
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,2
435,1,2
436,1,2
437,1,2
438,1,3
439,1,2
440,1,1
441,1,1
442,1,1
443,1,0
444,1,0
445,1,0
446,1,0
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,0
454,1,0
455,1,0
456,1,0
457,1,0
458,1,0
459,1,1
460,1,1
461,1,1
462,1,2
463,1,1
464,1,1
465,1,1
466,1,1
467,1,0
468,1,0
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,2
475,1,2
476,1,1
477,1,2
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,1,2
485,1,2
486,1,1
487,1,1
488,1,0
489,1,0
490,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,2
501,1,2
502,1,3
503,1,2
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,0
510,1,1
511,1,1
512,1,2
513,1,2
514,1,2
