start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,1
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,1
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,0
31,1,0
32,1,1
33,1,1
34,1,0
35,1,0
36,1,1
37,1,1
38,1,1
39,1,2
40,1,1
41,1,2
42,1,2
43,1,2
44,1,1
45,1,2
46,1,2
47,1,0
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,2
59,1,1
60,1,1
61,1,1
62,1,2
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,1
83,1,1
84,1,1
85,1,2
86,1,1
87,1,1
88,1,1
89,1,1
90,1,0
91,1,0
92,1,0
93,1,1
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,2
138,1,2
139,1,3
140,1,1
141,1,2
142,1,3
143,1,1
144,1,2
145,1,1
146,1,1
147,1,1
148,1,1
149,1,2
150,1,2
151,1,1
152,1,1
153,1,1
154,1,2
155,1,2
156,1,2
157,1,2
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,2
168,1,2
169,1,1
170,1,2
171,1,1
172,1,1
173,1,1
174,1,2
175,1,2
176,1,0
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,2
184,1,2
185,1,2
186,1,1
187,1,1
188,1,1
189,1,1
190,1,2
191,1,1
192,1,1
193,1,1
194,1,2
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,2
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
