start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,1
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,1
31,1,2
32,1,1
33,1,1
34,1,2
35,1,2
36,1,3
37,1,3
38,1,1
39,1,1
40,1,3
41,1,3
42,1,2
43,1,2
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,2
50,1,2
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,1
63,1,1
64,1,2
65,1,4
66,1,4
67,1,1
68,1,2
69,1,3
70,1,2
71,1,2
72,1,1
73,1,1
74,1,2
75,1,2
76,1,2
77,1,2
78,1,1
79,1,2
80,1,2
81,1,2
82,1,0
83,1,1
84,1,2
85,1,2
86,1,1
87,1,1
88,1,0
89,1,1
90,1,1
91,1,1
92,1,1
93,1,3
94,1,2
95,1,0
96,1,0
97,1,0
98,1,0
99,1,1
100,1,1
101,1,2
102,1,1
103,1,2
104,1,3
105,1,2
106,1,2
107,1,2
108,1,2
109,1,2
110,1,1
111,1,1
112,1,1
113,1,1
114,1,2
115,1,1
116,1,1
117,1,1
118,1,1
119,1,3
120,1,2
121,1,1
122,1,0
123,1,1
124,1,0
125,1,0
126,1,1
127,1,1
128,1,1
129,1,1
130,1,0
131,1,1
132,1,0
133,1,0
134,1,0
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,1
147,1,2
148,1,2
149,1,0
150,1,1
151,1,1
152,1,1
153,1,2
154,1,3
155,1,2
156,1,2
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,0
180,1,0
181,1,0
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,2
189,1,1
190,1,1
191,1,1
192,1,1
193,1,2
194,1,2
195,1,1
196,1,2
197,1,2
198,1,2
199,1,1
200,1,1
201,1,2
202,1,1
203,1,2
204,1,2
205,1,2
206,1,2
207,1,2
