start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,1
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,1
69,1,0
70,1,0
71,1,0
72,1,1
73,1,1
74,1,1
75,1,1
76,1,2
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,1
96,1,1
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,2
111,1,2
112,1,1
113,1,0
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,0
121,1,0
122,1,1
123,1,1
124,1,1
125,1,1
126,1,0
127,1,0
128,1,1
129,1,2
130,1,1
131,1,1
132,1,1
133,1,1
134,1,0
135,1,0
136,1,0
137,1,0
138,1,1
139,1,1
140,1,0
141,1,0
142,1,0
143,1,1
144,1,1
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,1
152,1,1
153,1,0
154,1,0
155,1,1
156,1,0
157,1,0
158,1,1
159,1,0
160,1,0
161,1,1
162,1,1
163,1,2
164,1,1
165,1,1
166,1,1
167,1,2
168,1,2
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,0
177,1,0
178,1,0
179,1,2
180,1,2
181,1,0
182,1,1
183,1,2
184,1,2
185,1,2
186,1,2
187,1,2
188,1,0
189,1,1
190,1,1
191,1,1
192,1,1
193,1,0
194,1,1
195,1,0
196,1,1
197,1,1
198,1,1
199,1,1
200,1,0
201,1,1
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
