start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,1
12,1,0
13,1,1
14,1,1
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,1
23,1,0
24,1,0
25,1,1
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,1
32,1,0
33,1,0
34,1,1
35,1,1
36,1,0
37,1,0
38,1,1
39,1,1
40,1,0
41,1,0
42,1,0
43,1,2
44,1,1
45,1,0
46,1,1
47,1,0
48,1,0
49,1,1
50,1,0
51,1,0
52,1,1
53,1,0
54,1,0
55,1,0
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,0
67,1,0
68,1,1
69,1,0
70,1,0
71,1,0
72,1,0
73,1,1
74,1,1
75,1,1
76,1,0
77,1,0
78,1,0
79,1,1
80,1,0
81,1,1
82,1,0
83,1,0
84,1,1
85,1,0
86,1,1
87,1,0
88,1,0
89,1,0
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,2
96,1,1
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,1,1
109,1,1
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,3
133,1,0
134,1,0
135,1,0
136,1,1
137,1,1
138,1,1
139,1,0
140,1,0
141,1,0
142,1,0
143,1,1
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,1
153,1,0
154,1,0
155,1,0
156,1,0
157,1,1
158,1,0
159,1,0
160,1,1
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,3
172,1,2
173,1,1
174,1,1
175,1,1
176,1,1
177,1,0
178,1,0
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,0
185,1,1
186,1,1
187,1,1
188,1,0
189,1,0
190,1,1
191,1,0
192,1,2
193,1,0
194,1,2
195,1,2
196,1,0
197,1,1
198,1,2
199,1,2
200,1,1
201,1,1
202,1,1
203,1,1
204,1,0
205,1,1
206,1,1
207,1,1
