start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,1
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,1
21,1,0
22,1,0
23,1,0
24,1,1
25,1,0
26,1,2
27,1,1
28,1,1
29,1,0
30,1,1
31,1,1
32,1,1
33,1,2
34,1,2
35,1,0
36,1,2
37,1,1
38,1,1
39,1,1
40,1,1
41,1,2
42,1,1
43,1,0
44,1,1
45,1,1
46,1,1
47,1,2
48,1,0
49,1,1
50,1,1
51,1,1
52,1,1
53,1,2
54,1,0
55,1,0
56,1,1
57,1,0
58,1,2
59,1,0
60,1,1
61,1,1
62,1,2
63,1,0
64,1,1
65,1,1
66,1,0
67,1,1
68,1,0
69,1,1
70,1,1
71,1,0
72,1,1
73,1,2
74,1,2
75,1,0
76,1,2
77,1,1
78,1,1
79,1,0
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,1,2
89,1,3
90,1,1
91,1,2
92,1,0
93,1,1
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,2
100,1,0
101,1,2
102,1,2
103,1,1
104,1,1
105,1,3
106,1,1
107,1,0
108,1,2
109,1,1
110,1,1
111,1,1
112,1,0
113,1,1
114,1,0
115,1,0
116,1,0
117,1,1
118,1,1
119,1,0
120,1,1
121,1,1
122,1,0
123,1,0
124,1,1
125,1,2
126,1,2
127,1,0
128,1,0
129,1,1
130,1,1
131,1,1
132,1,0
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,0
140,1,1
141,1,1
142,1,1
143,1,0
144,1,1
145,1,0
146,1,0
147,1,1
148,1,1
149,1,1
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,0
166,1,0
167,1,0
168,1,1
169,1,0
170,1,0
171,1,0
172,1,1
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,1
180,1,1
181,1,1
182,1,0
183,1,1
184,1,1
185,1,0
186,1,0
187,1,0
188,1,1
189,1,0
190,1,0
191,1,0
192,1,1
193,1,0
194,1,0
195,1,1
196,1,1
197,1,0
198,1,0
199,1,0
200,1,1
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
