start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,0
7,1,0
8,1,1
9,1,0
10,1,0
11,1,0
12,1,2
13,1,1
14,1,1
15,1,0
16,1,1
17,1,0
18,1,0
19,1,1
20,1,1
21,1,0
22,1,1
23,1,1
24,1,1
25,1,0
26,1,0
27,1,1
28,1,0
29,1,0
30,1,0
31,1,1
32,1,1
33,1,1
34,1,0
35,1,0
36,1,1
37,1,0
38,1,1
39,1,0
40,1,1
41,1,0
42,1,1
43,1,0
44,1,1
45,1,1
46,1,1
47,1,1
48,1,0
49,1,0
50,1,1
51,1,0
52,1,0
53,1,1
54,1,0
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,0
63,1,0
64,1,2
65,1,0
66,1,1
67,1,1
68,1,1
69,1,0
70,1,0
71,1,1
72,1,1
73,1,0
74,1,0
75,1,1
76,1,1
77,1,1
78,1,0
79,1,1
80,1,1
81,1,0
82,1,1
83,1,0
84,1,0
85,1,1
86,1,0
87,1,0
88,1,1
89,1,1
90,1,1
91,1,0
92,1,1
93,1,1
94,1,1
95,1,1
96,1,0
97,1,0
98,1,1
99,1,1
100,1,1
101,1,1
102,1,0
103,1,1
104,1,1
105,1,2
106,1,0
107,1,0
108,1,1
109,1,0
110,1,0
111,1,0
112,1,1
113,1,0
114,1,1
115,1,0
116,1,1
117,1,1
118,1,1
119,1,0
120,1,0
121,1,1
122,1,1
123,1,1
124,1,1
125,1,0
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,0
133,1,1
134,1,0
135,1,1
136,1,3
137,1,3
138,1,0
139,1,2
140,1,1
141,1,1
142,1,2
143,1,1
144,1,0
145,1,1
146,1,1
147,1,0
148,1,0
149,1,0
150,1,0
151,1,2
152,1,2
153,1,1
154,1,1
155,1,1
156,1,1
157,1,2
158,1,1
159,1,1
160,1,2
161,1,1
162,1,1
163,1,0
164,1,0
165,1,1
166,1,1
167,1,0
168,1,2
169,1,2
170,1,1
171,1,1
172,1,0
173,1,1
174,1,1
175,1,1
176,1,1
177,1,0
178,1,0
179,1,1
180,1,0
181,1,0
182,1,0
183,1,1
184,1,0
185,1,2
186,1,1
187,1,2
188,1,2
189,1,1
190,1,0
191,1,1
192,1,1
193,1,3
194,1,1
195,1,1
196,1,1
197,1,1
198,1,2
199,1,3
200,1,2
201,1,2
202,1,1
203,1,1
204,1,2
205,1,1
206,1,1
207,1,1
