start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,1
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,2
17,1,1
18,1,1
19,1,2
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,1
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,1
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,1
73,1,1
74,1,0
75,1,0
76,1,0
77,1,1
78,1,3
79,1,1
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,1
89,1,3
90,1,1
91,1,0
92,1,1
93,1,3
94,1,0
95,1,1
96,1,1
97,1,0
98,1,1
99,1,1
100,1,1
101,1,0
102,1,0
103,1,0
104,1,1
105,1,1
106,1,0
107,1,1
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,1
114,1,1
115,1,1
116,1,0
117,1,0
118,1,2
119,1,0
120,1,1
121,1,0
122,1,1
123,1,1
124,1,1
125,1,0
126,1,0
127,1,0
128,1,1
129,1,3
130,1,1
131,1,2
132,1,1
133,1,1
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,1
140,1,0
141,1,1
142,1,0
143,1,1
144,1,1
145,1,1
146,1,2
147,1,1
148,1,2
149,1,1
150,1,1
151,1,0
152,1,2
153,1,3
154,1,1
155,1,0
156,1,0
157,1,0
158,1,2
159,1,2
160,1,0
161,1,0
162,1,2
163,1,1
164,1,1
165,1,0
166,1,0
167,1,1
168,1,1
169,1,0
170,1,1
171,1,0
172,1,0
173,1,0
174,1,1
175,1,2
176,1,1
177,1,0
178,1,0
179,1,0
180,1,0
181,1,2
182,1,1
183,1,0
184,1,1
185,1,0
186,1,0
187,1,0
188,1,2
189,1,0
190,1,1
191,1,1
192,1,0
193,1,0
194,1,0
195,1,0
196,1,2
197,1,0
198,1,3
199,1,1
200,1,1
201,1,2
202,1,0
203,1,1
204,1,0
205,1,1
206,1,1
207,1,0
