start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,2
14,1,2
15,1,1
16,1,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,0
22,1,1
23,1,1
24,1,2
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,2
35,1,1
36,1,1
37,1,1
38,1,0
39,1,1
40,1,1
41,1,1
42,1,0
43,1,1
44,1,1
45,1,1
46,1,1
47,1,0
48,1,1
49,1,1
50,1,1
51,1,0
52,1,1
53,1,1
54,1,1
55,1,2
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,0
64,1,1
65,1,2
66,1,1
67,1,1
68,1,2
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,0
76,1,1
77,1,1
78,1,0
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,2
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,0
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,2
99,1,0
100,1,1
101,1,1
102,1,0
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,0
109,1,0
110,1,0
111,1,2
112,1,1
113,1,2
114,1,1
115,1,0
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,0
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,0
136,1,1
137,1,1
138,1,1
139,1,1
140,1,0
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,0
148,1,0
149,1,1
150,1,1
151,1,0
152,1,1
153,1,0
154,1,1
155,1,2
156,1,1
157,1,0
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,0
166,1,1
167,1,1
168,1,1
169,1,0
170,1,0
171,1,1
172,1,1
173,1,0
174,1,0
175,1,0
176,1,0
177,1,1
178,1,2
179,1,1
180,1,0
181,1,1
182,1,1
183,1,1
184,1,1
185,1,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,2
191,1,0
192,1,0
193,1,0
194,1,0
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,0
203,1,1
204,1,0
205,1,0
206,1,0
207,1,0
