start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,2
12,1,0
13,1,0
14,1,0
15,1,1
16,1,1
17,1,0
18,1,0
19,1,1
20,1,0
21,1,1
22,1,0
23,1,0
24,1,0
25,1,1
26,1,0
27,1,1
28,1,1
29,1,2
30,1,0
31,1,0
32,1,0
33,1,0
34,1,1
35,1,1
36,1,0
37,1,1
38,1,1
39,1,1
40,1,0
41,1,1
42,1,1
43,1,1
44,1,1
45,1,0
46,1,0
47,1,1
48,1,1
49,1,1
50,1,0
51,1,1
52,1,0
53,1,1
54,1,2
55,1,1
56,1,1
57,1,1
58,1,0
59,1,1
60,1,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,2
67,1,1
68,1,0
69,1,1
70,1,1
71,1,1
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,1
79,1,0
80,1,1
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,1
92,1,0
93,1,0
94,1,1
95,1,1
96,1,0
97,1,0
98,1,0
99,1,0
100,1,1
101,1,1
102,1,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,0
118,1,1
119,1,1
120,1,0
121,1,1
122,1,1
123,1,1
124,1,1
125,1,0
126,1,1
127,1,0
128,1,1
129,1,1
130,1,1
131,1,0
132,1,1
133,1,1
134,1,0
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,2
145,1,0
146,1,1
147,1,0
148,1,1
149,1,1
150,1,1
151,1,0
152,1,1
153,1,0
154,1,0
155,1,3
156,1,1
157,1,2
158,1,0
159,1,1
160,1,0
161,1,1
162,1,2
163,1,0
164,1,1
165,1,1
166,1,1
167,1,0
168,1,1
169,1,1
170,1,1
171,1,2
172,1,2
173,1,1
174,1,1
175,1,0
176,1,1
177,1,1
178,1,1
179,1,1
180,1,0
181,1,2
182,1,1
183,1,1
184,1,1
185,1,2
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,0
195,1,1
196,1,1
197,1,0
198,1,1
199,1,0
200,1,0
201,1,0
202,1,2
203,1,1
204,1,0
205,1,1
206,1,1
207,1,0
