start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,1
33,1,1
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,1
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,1
50,1,1
51,1,2
52,1,0
53,1,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,0
59,1,1
60,1,1
61,1,1
62,1,1
63,1,0
64,1,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,0
70,1,0
71,1,0
72,1,1
73,1,0
74,1,1
75,1,1
76,1,0
77,1,0
78,1,1
79,1,1
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,1
87,1,0
88,1,0
89,1,1
90,1,1
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,1
100,1,0
101,1,1
102,1,0
103,1,0
104,1,1
105,1,0
106,1,1
107,1,2
108,1,1
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,1
117,1,1
118,1,1
119,1,3
120,1,0
121,1,0
122,1,1
123,1,1
124,1,1
125,1,0
126,1,0
127,1,1
128,1,0
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,0
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,0
143,1,2
144,1,0
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,0
152,1,1
153,1,0
154,1,1
155,1,0
156,1,0
157,1,1
158,1,2
159,1,1
160,1,1
161,1,1
162,1,1
163,1,0
164,1,0
165,1,1
166,1,1
167,1,1
168,1,0
169,1,1
170,1,0
171,1,1
172,1,1
173,1,0
174,1,1
175,1,2
176,1,1
177,1,0
178,1,1
179,1,0
180,1,0
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,0
188,1,1
189,1,1
190,1,1
191,1,1
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,1
202,1,1
203,1,1
204,1,0
205,1,0
206,1,0
207,1,1
