start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,1
66,1,1
67,1,0
68,1,1
69,1,0
70,1,0
71,1,0
72,1,1
73,1,2
74,1,0
75,1,0
76,1,1
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,2
85,1,1
86,1,1
87,1,0
88,1,0
89,1,0
90,1,1
91,1,1
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,1
106,1,0
107,1,1
108,1,1
109,1,0
110,1,0
111,1,1
112,1,1
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,1
120,1,0
121,1,0
122,1,1
123,1,2
124,1,0
125,1,0
126,1,0
127,1,0
128,1,1
129,1,1
130,1,0
131,1,0
132,1,0
133,1,0
134,1,1
135,1,0
136,1,0
137,1,1
138,1,1
139,1,1
140,1,0
141,1,0
142,1,0
143,1,0
144,1,1
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,1
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,1
165,1,0
166,1,1
167,1,1
168,1,1
169,1,2
170,1,2
171,1,0
172,1,1
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,1
181,1,0
182,1,0
183,1,1
184,1,2
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,2
193,1,1
194,1,1
195,1,1
196,1,0
197,1,0
198,1,0
199,1,0
200,1,1
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
