start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,1
23,1,1
24,1,1
25,1,4
26,1,0
27,1,0
28,1,0
29,1,4
30,1,2
31,1,4
32,1,2
33,1,0
34,1,4
35,1,2
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,1
42,1,4
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,0
49,1,1
50,1,2
51,1,3
52,1,2
53,1,2
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,2
66,1,3
67,1,2
68,1,5
69,1,1
70,1,1
71,1,1
72,1,2
73,1,4
74,1,2
75,1,2
76,1,3
77,1,3
78,1,3
79,1,5
80,1,1
81,1,1
82,1,1
83,1,1
84,1,2
85,1,1
86,1,3
87,1,0
88,1,0
89,1,0
90,1,1
91,1,4
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,2
108,1,5
109,1,2
110,1,3
111,1,1
112,1,0
113,1,2
114,1,2
115,1,1
116,1,2
117,1,1
118,1,1
119,1,1
120,1,2
121,1,1
122,1,1
123,1,1
124,1,1
125,1,0
126,1,1
127,1,1
128,1,1
129,1,1
130,1,2
131,1,1
132,1,2
133,1,4
134,1,3
135,1,5
136,1,1
137,1,2
138,1,2
139,1,2
140,1,2
141,1,1
142,1,1
143,1,2
144,1,1
145,1,1
146,1,2
147,1,3
148,1,3
149,1,1
150,1,1
151,1,1
152,1,1
153,1,2
154,1,2
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,2
166,1,1
167,1,1
168,1,1
169,1,2
170,1,2
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,3
177,1,3
178,1,1
179,1,1
180,1,2
181,1,1
182,1,1
183,1,1
184,1,1
185,1,2
186,1,1
187,1,1
188,1,4
189,1,1
190,1,1
191,1,2
192,1,2
193,1,2
194,1,2
195,1,2
196,1,2
197,1,1
198,1,2
199,1,3
200,1,2
201,1,2
202,1,2
203,1,2
204,1,2
205,1,3
206,1,2
207,1,0
