start,duration,speakers
0,1,2
1,1,4
2,1,1
3,1,4
4,1,1
5,1,1
6,1,1
7,1,1
8,1,2
9,1,0
10,1,0
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,3
21,1,2
22,1,2
23,1,3
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,2
31,1,1
32,1,2
33,1,2
34,1,2
35,1,1
36,1,2
37,1,0
38,1,1
39,1,2
40,1,1
41,1,2
42,1,1
43,1,2
44,1,1
45,1,2
46,1,1
47,1,1
48,1,3
49,1,4
50,1,2
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,1,0
62,1,0
63,1,1
64,1,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,1
70,1,1
71,1,1
72,1,2
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,2
88,1,1
89,1,3
90,1,2
91,1,2
92,1,3
93,1,1
94,1,1
95,1,1
96,1,2
97,1,2
98,1,1
99,1,1
100,1,2
101,1,1
102,1,1
103,1,2
104,1,1
105,1,1
106,1,2
107,1,2
108,1,2
109,1,1
110,1,1
111,1,2
112,1,1
113,1,4
114,1,2
115,1,1
116,1,3
117,1,1
118,1,1
119,1,2
120,1,1
121,1,2
122,1,1
123,1,4
124,1,2
125,1,2
126,1,4
127,1,2
128,1,2
129,1,2
130,1,1
131,1,1
132,1,3
133,1,1
134,1,3
135,1,2
136,1,2
137,1,2
138,1,2
139,1,3
140,1,5
141,1,2
142,1,2
143,1,2
144,1,4
145,1,1
146,1,2
147,1,2
148,1,4
149,1,2
150,1,3
151,1,3
152,1,3
153,1,2
154,1,1
155,1,2
156,1,2
157,1,1
158,1,2
159,1,1
160,1,2
161,1,2
162,1,3
163,1,2
164,1,1
165,1,2
166,1,2
167,1,3
168,1,3
169,1,1
170,1,1
171,1,4
172,1,0
173,1,2
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,2
180,1,3
181,1,2
182,1,4
183,1,1
184,1,2
185,1,1
186,1,1
187,1,2
188,1,3
189,1,1
190,1,2
191,1,4
192,1,3
193,1,3
194,1,4
195,1,3
196,1,1
197,1,2
198,1,1
199,1,4
200,1,3
201,1,3
202,1,4
203,1,3
204,1,1
205,1,3
206,1,2
207,1,2
208,1,2
209,1,2
210,1,4
211,1,3
212,1,1
213,1,2
214,1,5
215,1,4
216,1,2
217,1,5
218,1,2
219,1,2
220,1,0
221,1,0
222,1,2
223,1,1
224,1,2
225,1,2
226,1,4
227,1,2
228,1,3
229,1,2
230,1,1
231,1,2
232,1,2
233,1,3
234,1,0
235,1,3
236,1,3
237,1,5
238,1,2
239,1,3
240,1,3
241,1,3
242,1,1
243,1,3
244,1,3
245,1,1
246,1,1
247,1,1
248,1,1
249,1,4
250,1,4
251,1,2
252,1,2
253,1,3
254,1,4
255,1,3
256,1,4
257,1,3
258,1,4
259,1,3
260,1,2
261,1,1
262,1,1
263,1,2
264,1,2
265,1,3
266,1,3
267,1,3
268,1,2
269,1,2
270,1,2
271,1,4
272,1,2
273,1,2
274,1,2
275,1,3
276,1,3
277,1,1
278,1,2
279,1,4
280,1,2
281,1,2
282,1,3
283,1,2
284,1,1
285,1,2
286,1,2
287,1,4
288,1,5
289,1,0
290,1,2
291,1,2
292,1,3
293,1,2
294,1,2
295,1,2
296,1,2
297,1,2
298,1,3
299,1,2
300,1,1
301,1,2
302,1,2
303,1,2
304,1,1
305,1,3
306,1,2
307,1,2
308,1,2
309,1,1
310,1,2
311,1,2
312,1,3
313,1,3
314,1,3
315,1,1
316,1,2
317,1,1
318,1,2
319,1,2
320,1,3
321,1,3
322,1,2
323,1,2
324,1,3
325,1,3
326,1,2
327,1,3
328,1,4
329,1,2
330,1,3
331,1,2
332,1,2
333,1,3
334,1,2
335,1,4
336,1,1
337,1,1
338,1,4
339,1,2
340,1,2
341,1,2
342,1,3
343,1,2
344,1,4
345,1,1
346,1,1
347,1,2
348,1,4
349,1,1
350,1,1
351,1,2
352,1,2
353,1,3
354,1,1
355,1,2
356,1,0
357,1,2
358,1,4
359,1,2
360,1,1
361,1,3
362,1,4
363,1,2
364,1,3
365,1,2
366,1,3
367,1,1
368,1,3
369,1,1
370,1,1
371,1,3
372,1,2
373,1,3
374,1,2
375,1,3
376,1,1
377,1,1
378,1,4
379,1,2
380,1,1
381,1,2
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,3
390,1,2
391,1,3
392,1,3
393,1,3
394,1,4
395,1,3
396,1,1
397,1,2
398,1,2
399,1,2
400,1,2
401,1,1
402,1,1
403,1,3
404,1,4
405,1,2
406,1,1
407,1,1
408,1,4
409,1,1
410,1,3
411,1,2
412,1,3
413,1,1
