start,duration,speakers
0,1,2
1,1,2
2,1,2
3,1,1
4,1,2
5,1,3
6,1,1
7,1,1
8,1,2
9,1,2
10,1,3
11,1,2
12,1,1
13,1,1
14,1,3
15,1,1
16,1,3
17,1,5
18,1,1
19,1,3
20,1,2
21,1,4
22,1,3
23,1,2
24,1,2
25,1,2
26,1,2
27,1,3
28,1,1
29,1,2
30,1,2
31,1,1
32,1,3
33,1,3
34,1,1
35,1,3
36,1,4
37,1,3
38,1,2
39,1,3
40,1,2
41,1,2
42,1,2
43,1,1
44,1,3
45,1,1
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,4
52,1,3
53,1,1
54,1,2
55,1,2
56,1,2
57,1,2
58,1,2
59,1,2
60,1,2
61,1,3
62,1,1
63,1,2
64,1,2
65,1,3
66,1,3
67,1,3
68,1,1
69,1,3
70,1,3
71,1,2
72,1,2
73,1,3
74,1,2
75,1,2
76,1,2
77,1,2
78,1,2
79,1,2
80,1,2
81,1,3
82,1,3
83,1,1
84,1,3
85,1,3
86,1,3
87,1,2
88,1,2
89,1,2
90,1,1
91,1,1
92,1,3
93,1,4
94,1,2
95,1,3
96,1,2
97,1,2
98,1,1
99,1,2
100,1,1
101,1,2
102,1,2
103,1,1
104,1,3
105,1,4
106,1,3
107,1,2
108,1,2
109,1,4
110,1,2
111,1,3
112,1,3
113,1,4
114,1,1
115,1,1
116,1,4
117,1,3
118,1,3
119,1,3
120,1,2
121,1,3
122,1,5
123,1,3
124,1,2
125,1,1
126,1,2
127,1,1
128,1,3
129,1,1
130,1,1
131,1,3
132,1,2
133,1,2
134,1,2
135,1,3
136,1,2
137,1,1
138,1,2
139,1,2
140,1,2
141,1,2
142,1,3
143,1,2
144,1,1
145,1,2
146,1,1
147,1,1
148,1,3
149,1,2
150,1,2
151,1,2
152,1,1
153,1,1
154,1,1
155,1,2
156,1,2
157,1,4
158,1,4
159,1,4
160,1,2
161,1,2
162,1,5
163,1,1
164,1,2
165,1,3
166,1,5
167,1,2
168,1,4
169,1,1
170,1,2
171,1,1
172,1,2
173,1,2
174,1,2
175,1,2
176,1,3
177,1,3
178,1,2
179,1,2
180,1,3
181,1,2
182,1,2
183,1,2
184,1,2
185,1,2
186,1,3
187,1,2
188,1,1
189,1,2
190,1,2
191,1,2
192,1,3
193,1,3
194,1,1
195,1,3
196,1,2
197,1,3
198,1,2
199,1,2
200,1,3
201,1,3
202,1,2
203,1,4
204,1,4
205,1,1
206,1,1
207,1,2
208,1,2
209,1,4
210,1,2
211,1,1
212,1,2
213,1,2
214,1,1
215,1,1
216,1,1
217,1,2
218,1,2
219,1,2
220,1,2
221,1,2
222,1,3
223,1,2
224,1,3
225,1,3
226,1,2
227,1,2
228,1,2
229,1,2
230,1,1
231,1,4
232,1,2
233,1,3
234,1,3
235,1,2
236,1,1
237,1,2
238,1,1
239,1,2
240,1,2
241,1,2
242,1,2
243,1,2
244,1,1
245,1,2
246,1,2
247,1,2
248,1,2
249,1,1
250,1,2
251,1,1
252,1,1
253,1,3
254,1,4
255,1,3
256,1,2
257,1,3
258,1,1
259,1,2
260,1,1
261,1,3
262,1,1
263,1,2
264,1,1
265,1,2
266,1,2
267,1,2
268,1,1
269,1,3
270,1,1
271,1,4
272,1,1
273,1,2
274,1,1
275,1,3
276,1,2
277,1,2
278,1,3
279,1,1
280,1,0
281,1,0
282,1,1
283,1,1
284,1,2
285,1,1
286,1,0
287,1,2
288,1,3
289,1,1
290,1,4
291,1,2
292,1,1
293,1,3
294,1,2
295,1,3
296,1,2
297,1,3
298,1,2
299,1,2
300,1,1
301,1,2
302,1,2
303,1,3
304,1,3
305,1,3
306,1,3
307,1,1
308,1,1
309,1,2
310,1,2
311,1,2
312,1,2
313,1,1
314,1,3
315,1,2
316,1,2
317,1,5
318,1,2
319,1,2
320,1,2
321,1,2
322,1,3
323,1,1
324,1,2
325,1,2
326,1,1
327,1,4
328,1,1
329,1,2
330,1,5
331,1,3
332,1,3
333,1,4
334,1,3
335,1,5
336,1,1
337,1,2
338,1,2
339,1,3
340,1,2
341,1,1
342,1,3
343,1,3
344,1,2
345,1,4
346,1,2
347,1,3
348,1,2
349,1,5
350,1,3
351,1,1
352,1,4
353,1,2
354,1,2
355,1,3
356,1,3
357,1,2
358,1,2
359,1,2
360,1,2
361,1,3
362,1,1
363,1,2
364,1,3
365,1,3
366,1,2
367,1,2
368,1,2
369,1,2
370,1,2
371,1,2
372,1,3
373,1,3
374,1,2
375,1,3
376,1,2
377,1,2
378,1,2
379,1,2
380,1,3
381,1,2
382,1,2
383,1,2
384,1,2
385,1,3
386,1,1
387,1,2
388,1,3
389,1,1
390,1,3
391,1,3
392,1,2
393,1,3
394,1,2
395,1,3
396,1,3
397,1,2
398,1,3
399,1,3
400,1,3
401,1,1
402,1,3
403,1,1
404,1,2
405,1,5
406,1,2
407,1,1
408,1,3
409,1,2
410,1,2
411,1,2
412,1,2
413,1,2
414,1,1
415,1,2
416,1,1
417,1,2
418,1,2
419,1,4
420,1,3
421,1,3
422,1,1
423,1,3
424,1,3
425,1,2
426,1,3
427,1,5
428,1,1
429,1,1
430,1,2
431,1,2
432,1,2
433,1,1
434,1,2
435,1,2
436,1,3
437,1,1
438,1,2
439,1,2
440,1,2
441,1,2
442,1,2
443,1,0
444,1,2
445,1,2
446,1,2
447,1,1
448,1,2
449,1,2
450,1,1
451,1,1
452,1,2
453,1,1
454,1,3
455,1,4
456,1,3
457,1,1
458,1,2
459,1,3
460,1,2
461,1,3
462,1,1
463,1,3
464,1,3
465,1,3
466,1,3
467,1,3
468,1,4
469,1,1
470,1,2
471,1,2
472,1,1
473,1,2
474,1,2
475,1,2
476,1,3
477,1,2
478,1,2
479,1,1
480,1,2
481,1,1
482,1,2
483,1,3
484,1,3
485,1,3
486,1,1
487,1,3
488,1,1
489,1,2
490,1,3
491,1,1
492,1,2
493,1,3
494,1,1
495,1,2
496,1,2
497,1,1
498,1,1
499,1,5
500,1,2
501,1,1
502,1,3
503,1,2
504,1,0
505,1,0
506,1,1
507,1,2
508,1,2
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,2
516,1,2
517,1,2
518,1,2
519,1,2
520,1,2
521,1,5
522,1,3
523,1,3
524,1,1
525,1,1
526,1,4
527,1,3
528,1,2
529,1,2
530,1,1
531,1,1
532,1,3
533,1,2
534,1,2
535,1,2
536,1,2
537,1,2
538,1,3
539,1,2
540,1,2
541,1,2
542,1,2
543,1,2
544,1,4
545,1,2
546,1,1
547,1,2
548,1,2
549,1,2
550,1,2
551,1,2
552,1,4
553,1,1
554,1,2
555,1,2
556,1,2
557,1,2
558,1,1
559,1,2
560,1,2
561,1,2
562,1,1
563,1,1
564,1,2
565,1,3
566,1,2
567,1,2
568,1,3
569,1,3
570,1,4
571,1,1
572,1,1
573,1,2
574,1,2
575,1,3
576,1,3
577,1,1
578,1,2
579,1,3
580,1,1
581,1,3
582,1,3
583,1,2
584,1,3
585,1,1
586,1,3
587,1,1
588,1,2
589,1,2
590,1,2
591,1,2
592,1,1
593,1,2
594,1,3
595,1,2
596,1,4
597,1,3
598,1,2
599,1,2
600,1,2
601,1,2
602,1,2
603,1,3
604,1,3
605,1,2
606,1,3
607,1,1
608,1,1
609,1,2
610,1,2
611,1,2
612,1,2
613,1,2
614,1,4
615,1,2
616,1,2
617,1,2
618,1,1
619,1,2
620,1,1
621,1,2
622,1,1
623,1,1
624,1,2
625,1,3
626,1,1
627,1,2
628,1,2
629,1,1
630,1,3
631,1,1
632,1,4
633,1,2
634,1,5
635,1,3
636,1,3
637,1,3
638,1,3
639,1,3
640,1,3
641,1,3
642,1,3
643,1,2
644,1,2
645,1,3
646,1,3
647,1,1
648,1,1
649,1,2
650,1,2
651,1,3
652,1,3
653,1,2
654,1,3
655,1,3
656,1,3
