start,duration,speakers
0,1,1
1,1,2
2,1,4
3,1,4
4,1,1
5,1,3
6,1,3
7,1,2
8,1,2
9,1,4
10,1,1
11,1,2
12,1,3
13,1,2
14,1,3
15,1,2
16,1,1
17,1,2
18,1,2
19,1,4
20,1,3
21,1,1
22,1,2
23,1,2
24,1,3
25,1,1
26,1,3
27,1,2
28,1,2
29,1,2
30,1,3
31,1,2
32,1,5
33,1,3
34,1,2
35,1,2
36,1,1
37,1,1
38,1,1
39,1,2
40,1,2
41,1,2
42,1,3
43,1,3
44,1,5
45,1,3
46,1,3
47,1,1
48,1,2
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,2
59,1,0
60,1,5
61,1,1
62,1,2
63,1,4
64,1,4
65,1,1
66,1,5
67,1,1
68,1,1
69,1,2
70,1,1
71,1,2
72,1,3
73,1,0
74,1,0
75,1,2
76,1,3
77,1,3
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,5
84,1,1
85,1,1
86,1,0
87,1,0
88,1,0
89,1,3
90,1,3
91,1,2
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,5
101,1,1
102,1,1
103,1,0
104,1,4
105,1,4
106,1,5
107,1,4
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,2
114,1,1
115,1,2
116,1,1
117,1,1
118,1,2
119,1,1
120,1,2
121,1,3
122,1,3
123,1,2
124,1,2
125,1,3
126,1,2
127,1,3
128,1,2
129,1,1
130,1,1
131,1,3
132,1,1
133,1,2
134,1,3
135,1,4
136,1,1
137,1,3
138,1,2
139,1,2
140,1,3
141,1,2
142,1,1
143,1,2
144,1,3
145,1,3
146,1,4
147,1,3
148,1,3
149,1,3
150,1,2
151,1,2
152,1,2
153,1,3
154,1,3
155,1,2
156,1,2
157,1,2
158,1,3
159,1,3
160,1,2
161,1,2
162,1,2
163,1,3
164,1,3
165,1,1
166,1,3
167,1,3
168,1,1
169,1,3
170,1,2
171,1,3
172,1,1
173,1,2
174,1,2
175,1,2
176,1,4
177,1,2
178,1,3
179,1,2
180,1,3
181,1,3
182,1,2
183,1,3
184,1,4
185,1,2
186,1,2
187,1,2
188,1,2
189,1,2
190,1,2
191,1,2
192,1,2
193,1,3
194,1,1
195,1,2
196,1,3
197,1,3
198,1,2
199,1,2
200,1,2
201,1,2
202,1,2
203,1,2
204,1,2
205,1,2
206,1,2
207,1,3
208,1,3
209,1,3
210,1,2
211,1,3
212,1,2
213,1,3
214,1,2
215,1,3
216,1,2
