start,duration,speakers
0,1,2
1,1,4
2,1,3
3,1,1
4,1,1
5,1,1
6,1,3
7,1,5
8,1,3
9,1,5
10,1,5
11,1,4
12,1,5
13,1,1
14,1,3
15,1,4
16,1,2
17,1,1
18,1,5
19,1,3
20,1,3
21,1,3
22,1,1
23,1,2
24,1,1
25,1,1
26,1,5
27,1,2
28,1,1
29,1,1
30,1,1
31,1,2
32,1,4
33,1,3
34,1,4
35,1,1
36,1,2
37,1,1
38,1,1
39,1,4
40,1,1
41,1,1
42,1,1
43,1,2
44,1,2
45,1,1
46,1,2
47,1,3
48,1,3
49,1,3
50,1,2
51,1,3
52,1,4
53,1,2
54,1,2
55,1,1
56,1,2
57,1,3
58,1,2
59,1,2
60,1,2
61,1,1
62,1,2
63,1,1
64,1,1
65,1,5
66,1,2
67,1,1
68,1,2
69,1,2
70,1,2
71,1,5
72,1,3
73,1,2
74,1,1
75,1,5
76,1,1
77,1,1
78,1,1
79,1,2
80,1,2
81,1,2
82,1,1
83,1,2
84,1,2
85,1,2
86,1,2
87,1,2
88,1,2
89,1,2
90,1,1
91,1,2
92,1,2
93,1,2
94,1,2
95,1,1
96,1,2
97,1,2
98,1,2
99,1,1
100,1,2
101,1,2
102,1,2
103,1,2
104,1,2
105,1,2
106,1,1
107,1,2
108,1,2
109,1,2
110,1,2
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,2
117,1,1
118,1,2
119,1,2
120,1,1
121,1,2
122,1,2
123,1,2
124,1,2
125,1,2
126,1,3
127,1,1
128,1,3
129,1,2
130,1,2
131,1,1
132,1,1
133,1,3
134,1,3
135,1,3
136,1,1
137,1,0
138,1,0
139,1,1
140,1,1
141,1,1
142,1,3
143,1,2
144,1,1
145,1,1
146,1,1
147,1,2
148,1,2
149,1,1
150,1,2
151,1,1
152,1,1
153,1,3
154,1,3
155,1,3
156,1,2
157,1,1
158,1,2
159,1,1
160,1,1
161,1,1
162,1,3
163,1,3
164,1,1
165,1,2
166,1,1
167,1,3
168,1,3
169,1,1
170,1,4
171,1,2
172,1,1
173,1,3
174,1,1
175,1,1
176,1,2
177,1,1
178,1,1
179,1,1
180,1,1
181,1,4
182,1,3
183,1,1
184,1,1
185,1,1
186,1,3
187,1,2
188,1,3
189,1,1
190,1,2
191,1,2
192,1,2
193,1,1
194,1,2
195,1,3
196,1,1
197,1,2
198,1,2
199,1,0
200,1,0
201,1,2
202,1,2
203,1,1
204,1,1
205,1,1
206,1,3
207,1,4
208,1,1
209,1,4
210,1,3
211,1,1
212,1,2
213,1,2
214,1,1
215,1,1
216,1,5
217,1,3
218,1,1
219,1,1
220,1,4
221,1,2
222,1,3
223,1,3
224,1,0
225,1,2
226,1,0
227,1,0
228,1,5
229,1,4
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,5
237,1,2
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,0
244,1,1
245,1,1
246,1,4
247,1,1
248,1,3
249,1,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,1
256,1,4
257,1,0
258,1,0
259,1,0
260,1,0
261,1,0
262,1,0
263,1,0
264,1,0
265,1,0
266,1,0
267,1,0
268,1,0
269,1,0
270,1,0
271,1,0
272,1,0
273,1,0
274,1,0
275,1,0
276,1,0
277,1,0
278,1,0
279,1,1
280,1,3
281,1,1
282,1,2
283,1,2
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,3
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
