start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,1
12,1,1
13,1,1
14,1,0
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,2
29,1,1
30,1,4
31,1,3
32,1,1
33,1,1
34,1,1
35,1,3
36,1,5
37,1,5
38,1,1
39,1,0
40,1,5
41,1,1
42,1,2
43,1,1
44,1,1
45,1,1
46,1,2
47,1,2
48,1,3
49,1,3
50,1,2
51,1,3
52,1,1
53,1,1
54,1,2
55,1,1
56,1,1
57,1,1
58,1,2
59,1,3
60,1,1
61,1,3
62,1,2
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,3
71,1,2
72,1,2
73,1,3
74,1,1
75,1,2
76,1,2
77,1,2
78,1,3
79,1,1
80,1,1
81,1,1
82,1,4
83,1,1
84,1,1
85,1,1
86,1,1
87,1,2
88,1,1
89,1,2
90,1,1
91,1,2
92,1,2
93,1,1
94,1,1
95,1,2
96,1,2
97,1,3
98,1,4
99,1,2
100,1,1
101,1,1
102,1,5
103,1,2
104,1,1
105,1,1
106,1,2
107,1,2
108,1,1
109,1,1
110,1,3
111,1,4
112,1,2
113,1,3
114,1,2
115,1,2
116,1,1
117,1,1
118,1,2
119,1,1
120,1,1
121,1,1
122,1,2
123,1,2
124,1,1
125,1,1
126,1,1
127,1,3
128,1,0
129,1,0
130,1,2
131,1,2
132,1,1
133,1,3
134,1,2
135,1,3
136,1,2
137,1,2
138,1,2
139,1,2
140,1,1
141,1,1
142,1,3
143,1,1
144,1,1
145,1,1
146,1,1
147,1,2
148,1,1
149,1,3
150,1,2
151,1,1
152,1,2
153,1,2
154,1,3
155,1,2
156,1,0
157,1,1
158,1,1
159,1,4
160,1,2
161,1,2
162,1,1
163,1,2
164,1,2
165,1,1
166,1,3
167,1,1
168,1,1
169,1,4
170,1,2
171,1,0
172,1,1
173,1,1
174,1,2
175,1,2
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,2
198,1,1
199,1,3
200,1,1
201,1,1
202,1,3
203,1,1
204,1,2
205,1,2
206,1,2
207,1,2
