start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,1
38,1,1
39,1,0
40,1,0
41,1,0
42,1,0
43,1,1
44,1,1
45,1,0
46,1,0
47,1,0
48,1,2
49,1,0
50,1,0
51,1,2
52,1,1
53,1,0
54,1,0
55,1,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,2
66,1,1
67,1,1
68,1,1
69,1,2
70,1,1
71,1,2
72,1,3
73,1,5
74,1,5
75,1,1
76,1,3
77,1,3
78,1,3
79,1,4
80,1,2
81,1,2
82,1,1
83,1,2
84,1,1
85,1,1
86,1,5
87,1,2
88,1,1
89,1,1
90,1,5
91,1,1
92,1,1
93,1,5
94,1,5
95,1,4
96,1,4
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,2
108,1,2
109,1,4
110,1,2
111,1,1
112,1,2
113,1,2
114,1,3
115,1,3
116,1,2
117,1,2
118,1,2
119,1,2
120,1,2
121,1,2
122,1,1
123,1,2
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,2
130,1,2
131,1,2
132,1,1
133,1,2
134,1,1
135,1,1
136,1,3
137,1,2
138,1,1
139,1,3
140,1,1
141,1,0
142,1,2
143,1,0
144,1,0
145,1,0
146,1,1
147,1,2
148,1,0
149,1,0
150,1,0
151,1,0
152,1,3
153,1,1
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,3
161,1,3
162,1,2
163,1,0
164,1,2
165,1,2
166,1,3
167,1,5
168,1,1
169,1,2
170,1,4
171,1,1
172,1,2
173,1,4
174,1,1
175,1,2
176,1,1
177,1,2
178,1,1
179,1,2
180,1,3
181,1,1
182,1,4
183,1,3
184,1,0
185,1,3
186,1,1
187,1,2
188,1,2
189,1,3
190,1,1
191,1,1
192,1,3
193,1,3
194,1,3
195,1,2
196,1,3
197,1,1
198,1,3
199,1,1
200,1,1
201,1,2
202,1,3
203,1,4
204,1,2
205,1,1
206,1,1
207,1,2
