start,duration,speakers
0,1,3
1,1,2
2,1,2
3,1,2
4,1,2
5,1,2
6,1,2
7,1,4
8,1,2
9,1,3
10,1,2
11,1,2
12,1,3
13,1,1
14,1,2
15,1,3
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,2
22,1,1
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,1,2
29,1,2
30,1,2
31,1,1
32,1,3
33,1,2
34,1,2
35,1,2
36,1,2
37,1,4
38,1,2
39,1,2
40,1,2
41,1,4
42,1,1
43,1,3
44,1,5
45,1,2
46,1,2
47,1,2
48,1,3
49,1,2
50,1,2
51,1,2
52,1,3
53,1,4
54,1,2
55,1,3
56,1,2
57,1,2
58,1,4
59,1,1
60,1,3
61,1,2
62,1,2
63,1,5
64,1,2
65,1,2
66,1,3
67,1,2
68,1,4
69,1,1
70,1,2
71,1,2
72,1,2
73,1,2
74,1,2
75,1,4
76,1,2
77,1,2
78,1,2
79,1,2
80,1,2
81,1,4
82,1,3
83,1,1
84,1,2
85,1,3
86,1,3
87,1,1
88,1,2
89,1,2
90,1,3
91,1,1
92,1,1
93,1,3
94,1,2
95,1,2
96,1,4
97,1,2
98,1,3
99,1,4
100,1,2
101,1,2
102,1,3
103,1,2
104,1,1
105,1,2
106,1,4
107,1,4
108,1,2
109,1,2
110,1,2
111,1,5
112,1,2
113,1,2
114,1,5
115,1,2
116,1,3
117,1,1
118,1,3
119,1,3
120,1,2
121,1,3
122,1,1
123,1,2
124,1,2
125,1,3
126,1,2
127,1,2
128,1,3
129,1,3
130,1,2
131,1,2
132,1,2
133,1,1
134,1,2
135,1,3
136,1,3
137,1,3
138,1,2
139,1,2
140,1,2
141,1,3
142,1,2
143,1,3
144,1,3
145,1,2
146,1,2
147,1,3
148,1,5
149,1,1
150,1,1
151,1,2
152,1,4
153,1,2
154,1,5
155,1,1
156,1,1
157,1,4
158,1,1
159,1,2
160,1,2
161,1,2
162,1,4
163,1,2
164,1,2
165,1,1
166,1,3
167,1,1
168,1,2
169,1,2
170,1,3
171,1,4
172,1,2
173,1,2
174,1,1
175,1,4
176,1,2
177,1,2
178,1,3
179,1,3
180,1,3
181,1,3
182,1,2
183,1,3
184,1,2
185,1,2
186,1,2
187,1,2
188,1,2
189,1,1
190,1,3
191,1,3
192,1,1
193,1,3
194,1,3
195,1,2
196,1,2
197,1,2
198,1,2
199,1,2
200,1,2
201,1,3
202,1,2
203,1,2
204,1,2
205,1,3
206,1,2
207,1,2
208,1,3
209,1,3
210,1,3
211,1,2
212,1,2
213,1,3
214,1,3
215,1,1
216,1,3
217,1,3
218,1,1
219,1,1
220,1,2
221,1,1
222,1,1
223,1,0
224,1,1
225,1,1
226,1,2
227,1,2
228,1,3
229,1,3
230,1,3
231,1,3
232,1,1
233,1,2
234,1,2
235,1,2
236,1,2
237,1,4
238,1,3
239,1,2
240,1,2
241,1,2
242,1,3
243,1,3
244,1,2
245,1,2
246,1,3
247,1,3
248,1,3
249,1,2
250,1,4
251,1,2
252,1,2
253,1,2
254,1,3
255,1,3
256,1,2
257,1,3
258,1,2
259,1,2
260,1,2
261,1,3
262,1,1
263,1,2
264,1,3
265,1,1
266,1,2
267,1,2
268,1,3
269,1,1
270,1,2
271,1,4
272,1,1
273,1,3
274,1,2
275,1,1
276,1,3
277,1,2
278,1,3
279,1,5
280,1,1
281,1,2
282,1,5
283,1,1
284,1,4
285,1,1
286,1,2
287,1,4
288,1,0
289,1,1
290,1,1
291,1,1
292,1,2
293,1,2
294,1,4
295,1,3
296,1,2
297,1,2
298,1,0
299,1,0
300,1,2
301,1,1
302,1,4
303,1,1
304,1,1
305,1,2
306,1,3
307,1,3
308,1,2
309,1,1
310,1,2
311,1,2
312,1,2
313,1,2
314,1,4
315,1,3
316,1,3
317,1,1
318,1,2
319,1,1
320,1,2
321,1,2
322,1,2
323,1,1
324,1,2
325,1,1
326,1,3
327,1,3
328,1,1
329,1,4
330,1,4
331,1,5
332,1,4
333,1,3
334,1,2
335,1,3
336,1,3
337,1,5
338,1,2
339,1,2
340,1,2
341,1,2
342,1,2
343,1,1
344,1,2
345,1,2
346,1,2
347,1,1
348,1,1
349,1,1
350,1,2
351,1,2
352,1,2
353,1,1
354,1,2
355,1,2
356,1,1
357,1,1
358,1,2
359,1,5
360,1,2
361,1,2
362,1,2
363,1,1
364,1,1
365,1,2
366,1,2
367,1,3
368,1,2
369,1,3
370,1,1
371,1,2
372,1,2
373,1,1
374,1,3
375,1,2
376,1,2
377,1,1
378,1,2
379,1,2
380,1,2
381,1,2
382,1,1
383,1,3
384,1,2
385,1,2
386,1,2
387,1,3
388,1,2
389,1,3
390,1,4
391,1,3
392,1,2
393,1,2
394,1,3
395,1,2
396,1,3
397,1,2
398,1,2
399,1,2
400,1,2
401,1,2
402,1,1
403,1,2
404,1,1
405,1,0
406,1,0
407,1,0
408,1,0
409,1,0
410,1,4
411,1,3
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,2
421,1,1
422,1,2
423,1,1
424,1,2
425,1,2
426,1,2
427,1,2
428,1,2
429,1,3
430,1,2
431,1,2
432,1,3
433,1,3
434,1,2
435,1,2
436,1,2
437,1,2
438,1,5
439,1,2
440,1,2
441,1,2
442,1,1
443,1,0
444,1,4
445,1,2
446,1,3
447,1,5
448,1,2
449,1,5
450,1,2
451,1,1
452,1,1
453,1,1
454,1,1
455,1,2
456,1,2
457,1,2
458,1,2
459,1,3
460,1,1
461,1,3
462,1,3
463,1,2
464,1,2
465,1,2
466,1,2
467,1,2
468,1,2
469,1,3
470,1,1
471,1,2
472,1,2
473,1,4
474,1,2
475,1,1
476,1,1
477,1,1
478,1,2
479,1,2
480,1,3
481,1,2
482,1,2
483,1,2
484,1,3
485,1,2
486,1,2
487,1,2
488,1,2
489,1,2
490,1,3
491,1,2
492,1,2
493,1,2
494,1,3
495,1,2
496,1,3
497,1,1
498,1,2
499,1,2
500,1,2
501,1,2
502,1,2
503,1,2
504,1,1
505,1,1
506,1,2
507,1,2
508,1,2
509,1,2
510,1,1
511,1,3
512,1,2
513,1,3
514,1,2
515,1,2
516,1,2
517,1,2
518,1,2
519,1,2
520,1,2
521,1,2
522,1,2
523,1,2
524,1,2
525,1,2
526,1,2
527,1,2
528,1,2
529,1,2
530,1,2
531,1,2
532,1,2
533,1,2
534,1,2
535,1,2
536,1,2
537,1,2
538,1,2
539,1,2
540,1,2
541,1,3
542,1,3
543,1,2
544,1,2
545,1,2
546,1,2
547,1,2
548,1,2
549,1,2
550,1,2
551,1,2
552,1,1
553,1,2
554,1,2
555,1,2
556,1,2
557,1,2
558,1,2
559,1,2
560,1,2
561,1,2
562,1,2
563,1,2
564,1,2
565,1,2
566,1,2
567,1,2
568,1,3
569,1,2
570,1,2
571,1,2
572,1,2
573,1,2
574,1,2
575,1,2
576,1,2
577,1,2
578,1,2
579,1,2
580,1,2
581,1,2
582,1,2
583,1,2
584,1,2
585,1,2
586,1,2
587,1,2
588,1,3
589,1,2
590,1,2
591,1,2
592,1,2
593,1,2
594,1,3
595,1,2
596,1,3
597,1,2
598,1,2
599,1,2
600,1,2
601,1,2
602,1,2
603,1,2
604,1,3
605,1,1
606,1,2
607,1,2
608,1,2
609,1,2
610,1,2
611,1,1
612,1,3
613,1,2
614,1,2
615,1,2
616,1,2
617,1,2
618,1,2
619,1,2
620,1,2
621,1,2
622,1,3
623,1,4
624,1,2
625,1,2
626,1,2
627,1,1
628,1,2
629,1,2
630,1,2
631,1,2
632,1,2
633,1,1
634,1,1
635,1,2
636,1,2
637,1,2
638,1,2
639,1,2
640,1,2
641,1,1
642,1,3
643,1,3
644,1,3
645,1,2
646,1,2
647,1,2
648,1,2
649,1,2
650,1,2
651,1,2
652,1,2
653,1,2
654,1,2
655,1,1
656,1,2
657,1,2
