start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,1
33,1,1
34,1,1
35,1,1
36,1,2
37,1,4
38,1,2
39,1,2
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,0
69,1,0
70,1,2
71,1,3
72,1,2
73,1,1
74,1,1
75,1,2
76,1,3
77,1,1
78,1,2
79,1,2
80,1,2
81,1,1
82,1,1
83,1,2
84,1,2
85,1,2
86,1,2
87,1,2
88,1,3
89,1,1
90,1,3
91,1,1
92,1,0
93,1,2
94,1,2
95,1,2
96,1,2
97,1,2
98,1,2
99,1,2
100,1,2
101,1,1
102,1,1
103,1,1
104,1,1
105,1,2
106,1,2
107,1,2
108,1,2
109,1,1
110,1,2
111,1,1
112,1,2
113,1,3
114,1,2
115,1,1
116,1,1
117,1,2
118,1,1
119,1,2
120,1,2
121,1,2
122,1,3
123,1,3
124,1,1
125,1,2
126,1,2
127,1,1
128,1,1
129,1,2
130,1,3
131,1,2
132,1,2
133,1,3
134,1,2
135,1,2
136,1,2
137,1,2
138,1,3
139,1,2
140,1,1
141,1,2
142,1,2
143,1,2
144,1,1
145,1,3
146,1,2
147,1,2
148,1,2
149,1,1
150,1,1
151,1,2
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,2
158,1,3
159,1,2
160,1,3
161,1,2
162,1,2
163,1,2
164,1,1
165,1,2
166,1,2
167,1,2
168,1,3
169,1,1
170,1,2
171,1,3
172,1,2
173,1,3
174,1,1
175,1,2
176,1,1
177,1,2
178,1,2
179,1,1
180,1,2
181,1,2
182,1,1
183,1,2
184,1,1
185,1,2
186,1,2
187,1,1
188,1,2
189,1,3
190,1,2
191,1,2
192,1,2
193,1,2
194,1,2
195,1,1
196,1,2
197,1,1
198,1,2
199,1,1
200,1,4
201,1,2
202,1,1
203,1,2
204,1,2
205,1,2
206,1,2
207,1,1
