start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,1
12,1,1
13,1,2
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,2
26,1,1
27,1,2
28,1,4
29,1,0
30,1,0
31,1,0
32,1,0
33,1,1
34,1,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,2
47,1,1
48,1,1
49,1,3
50,1,2
51,1,3
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,3
58,1,1
59,1,1
60,1,1
61,1,1
62,1,2
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,3
73,1,1
74,1,3
75,1,1
76,1,2
77,1,2
78,1,2
79,1,2
80,1,2
81,1,1
82,1,1
83,1,1
84,1,1
85,1,2
86,1,1
87,1,4
88,1,2
89,1,2
90,1,2
91,1,2
92,1,1
93,1,3
94,1,1
95,1,2
96,1,2
97,1,3
98,1,2
99,1,2
100,1,3
101,1,2
102,1,1
103,1,2
104,1,1
105,1,0
106,1,3
107,1,2
108,1,2
109,1,3
110,1,1
111,1,2
112,1,2
113,1,2
114,1,4
115,1,1
116,1,2
117,1,2
118,1,3
119,1,2
120,1,2
121,1,2
122,1,4
123,1,1
124,1,2
125,1,2
126,1,3
127,1,1
128,1,3
129,1,2
130,1,1
131,1,2
132,1,1
133,1,4
134,1,3
135,1,1
136,1,3
137,1,2
138,1,3
139,1,2
140,1,0
141,1,1
142,1,2
143,1,1
144,1,3
145,1,3
146,1,2
147,1,1
148,1,2
149,1,3
150,1,3
151,1,2
152,1,2
153,1,2
154,1,1
155,1,2
156,1,3
157,1,2
158,1,1
159,1,2
160,1,1
161,1,2
162,1,2
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,3
169,1,2
170,1,2
171,1,1
172,1,2
173,1,1
174,1,1
175,1,2
176,1,2
177,1,3
178,1,2
179,1,2
180,1,2
181,1,3
182,1,2
183,1,2
184,1,3
185,1,0
186,1,0
187,1,1
188,1,2
189,1,2
190,1,0
191,1,1
192,1,3
193,1,0
194,1,0
195,1,0
196,1,1
197,1,2
198,1,2
199,1,2
200,1,1
201,1,2
202,1,2
203,1,3
204,1,1
205,1,3
206,1,2
207,1,1
