start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,1
92,1,2
93,1,3
94,1,3
95,1,1
96,1,1
97,1,1
98,1,2
99,1,3
100,1,1
101,1,4
102,1,3
103,1,2
104,1,1
105,1,2
106,1,1
107,1,2
108,1,2
109,1,2
110,1,2
111,1,2
112,1,4
113,1,2
114,1,2
115,1,2
116,1,2
117,1,2
118,1,2
119,1,2
120,1,1
121,1,1
122,1,3
123,1,3
124,1,1
125,1,5
126,1,2
127,1,1
128,1,2
129,1,2
130,1,5
131,1,4
132,1,2
133,1,1
134,1,2
135,1,2
136,1,1
137,1,3
138,1,2
139,1,3
140,1,4
141,1,3
142,1,2
143,1,3
144,1,2
145,1,2
146,1,3
147,1,2
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,0
155,1,0
156,1,1
157,1,2
158,1,2
159,1,1
160,1,2
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,2
167,1,2
168,1,4
169,1,2
170,1,1
171,1,1
172,1,1
173,1,3
174,1,2
175,1,3
176,1,3
177,1,2
178,1,4
179,1,4
180,1,1
181,1,2
182,1,1
183,1,1
184,1,2
185,1,1
186,1,1
187,1,1
188,1,2
189,1,2
190,1,2
191,1,2
192,1,2
193,1,2
194,1,2
195,1,2
196,1,1
197,1,2
198,1,1
199,1,2
200,1,1
201,1,2
202,1,2
203,1,2
204,1,2
205,1,2
206,1,2
207,1,2
