start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,1
35,1,0
36,1,0
37,1,0
38,1,1
39,1,1
40,1,1
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,1
50,1,1
51,1,1
52,1,0
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,0
70,1,0
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,2
81,1,0
82,1,0
83,1,0
84,1,0
85,1,2
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,2
92,1,0
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,5
100,1,1
101,1,1
102,1,1
103,1,3
104,1,3
105,1,3
106,1,1
107,1,5
108,1,2
109,1,3
110,1,3
111,1,4
112,1,4
113,1,0
114,1,0
115,1,3
116,1,2
117,1,4
118,1,5
119,1,1
120,1,2
121,1,3
122,1,3
123,1,1
124,1,3
125,1,1
126,1,1
127,1,1
128,1,2
129,1,3
130,1,3
131,1,2
132,1,2
133,1,1
134,1,3
135,1,3
136,1,5
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,2
143,1,2
144,1,2
145,1,2
146,1,2
147,1,1
148,1,1
149,1,1
150,1,1
151,1,2
152,1,1
153,1,1
154,1,1
155,1,3
156,1,2
157,1,2
158,1,1
159,1,1
160,1,2
161,1,2
162,1,2
163,1,3
164,1,3
165,1,3
166,1,4
167,1,1
168,1,3
169,1,1
170,1,1
171,1,0
172,1,1
173,1,2
174,1,2
175,1,2
176,1,4
177,1,1
178,1,1
179,1,2
180,1,2
181,1,2
182,1,3
183,1,4
184,1,2
185,1,2
186,1,2
187,1,3
188,1,3
189,1,3
190,1,2
191,1,2
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,2
198,1,3
199,1,0
200,1,3
201,1,2
202,1,3
203,1,3
204,1,3
205,1,1
206,1,4
207,1,1
