start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,0
32,1,1
33,1,1
34,1,0
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,5
42,1,1
43,1,1
44,1,1
45,1,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,4
58,1,2
59,1,3
60,1,2
61,1,2
62,1,2
63,1,0
64,1,3
65,1,1
66,1,1
67,1,4
68,1,2
69,1,2
70,1,4
71,1,4
72,1,3
73,1,1
74,1,2
75,1,3
76,1,1
77,1,1
78,1,2
79,1,4
80,1,2
81,1,1
82,1,1
83,1,1
84,1,1
85,1,2
86,1,3
87,1,3
88,1,0
89,1,3
90,1,2
91,1,2
92,1,2
93,1,2
94,1,3
95,1,1
96,1,0
97,1,1
98,1,2
99,1,1
100,1,3
101,1,1
102,1,1
103,1,2
104,1,3
105,1,2
106,1,1
107,1,1
108,1,3
109,1,3
110,1,3
111,1,5
112,1,1
113,1,3
114,1,0
115,1,0
116,1,0
117,1,1
118,1,0
119,1,0
120,1,0
121,1,5
122,1,5
123,1,1
124,1,0
125,1,0
126,1,2
127,1,1
128,1,3
129,1,1
130,1,1
131,1,3
132,1,2
133,1,3
134,1,3
135,1,1
136,1,2
137,1,3
138,1,0
139,1,0
140,1,2
141,1,2
142,1,0
143,1,3
144,1,3
145,1,3
146,1,3
147,1,2
148,1,1
149,1,2
150,1,2
151,1,2
152,1,2
153,1,2
154,1,2
155,1,1
156,1,3
157,1,5
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,3
168,1,1
169,1,1
170,1,1
171,1,2
172,1,2
173,1,4
174,1,3
175,1,1
176,1,1
177,1,1
178,1,3
179,1,3
180,1,1
181,1,1
182,1,2
183,1,1
184,1,4
185,1,2
186,1,1
187,1,1
188,1,1
189,1,2
190,1,2
191,1,2
192,1,3
193,1,3
194,1,2
195,1,2
196,1,2
197,1,2
198,1,2
199,1,2
200,1,3
201,1,2
202,1,2
203,1,2
204,1,3
205,1,2
206,1,2
207,1,2
