start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,1
47,1,1
48,1,2
49,1,0
50,1,0
51,1,1
52,1,1
53,1,0
54,1,0
55,1,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,0
63,1,1
64,1,1
65,1,1
66,1,1
67,1,5
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,3
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,1
88,1,1
89,1,1
90,1,1
91,1,0
92,1,1
93,1,0
94,1,1
95,1,3
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,3
105,1,1
106,1,1
107,1,1
108,1,2
109,1,1
110,1,0
111,1,0
112,1,1
113,1,1
114,1,1
115,1,3
116,1,1
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,4
131,1,5
132,1,1
133,1,3
134,1,2
135,1,2
136,1,1
137,1,1
138,1,2
139,1,0
140,1,0
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,2
147,1,2
148,1,3
149,1,2
150,1,2
151,1,1
152,1,3
153,1,0
154,1,0
155,1,2
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,1
171,1,1
172,1,2
173,1,1
174,1,1
175,1,4
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,3
184,1,1
185,1,1
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,0
193,1,1
194,1,1
195,1,2
196,1,1
197,1,3
198,1,1
199,1,1
200,1,0
201,1,1
202,1,5
203,1,1
204,1,1
205,1,1
206,1,3
207,1,2
