start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,5
9,1,1
10,1,5
11,1,5
12,1,1
13,1,5
14,1,2
15,1,5
16,1,5
17,1,1
18,1,3
19,1,2
20,1,5
21,1,1
22,1,1
23,1,0
24,1,2
25,1,2
26,1,0
27,1,4
28,1,1
29,1,2
30,1,4
31,1,3
32,1,5
33,1,1
34,1,0
35,1,2
36,1,3
37,1,1
38,1,2
39,1,2
40,1,0
41,1,2
42,1,0
43,1,2
44,1,1
45,1,1
46,1,1
47,1,5
48,1,1
49,1,1
50,1,2
51,1,2
52,1,0
53,1,3
54,1,0
55,1,1
56,1,1
57,1,2
58,1,2
59,1,0
60,1,3
61,1,4
62,1,5
63,1,4
64,1,1
65,1,4
66,1,1
67,1,3
68,1,1
69,1,4
70,1,1
71,1,3
72,1,1
73,1,3
74,1,5
75,1,5
76,1,3
77,1,5
78,1,1
79,1,4
80,1,3
81,1,1
82,1,4
83,1,2
84,1,3
85,1,1
86,1,0
87,1,2
88,1,1
89,1,0
90,1,2
91,1,3
92,1,1
93,1,0
94,1,2
95,1,3
96,1,2
97,1,2
98,1,3
99,1,3
100,1,1
101,1,3
102,1,3
103,1,3
104,1,3
105,1,3
106,1,4
107,1,3
108,1,1
109,1,1
110,1,5
111,1,2
112,1,1
113,1,3
114,1,2
115,1,3
116,1,1
117,1,3
118,1,0
119,1,3
120,1,2
121,1,2
122,1,1
123,1,4
124,1,3
125,1,3
126,1,1
127,1,5
128,1,4
129,1,4
130,1,0
131,1,4
132,1,1
133,1,3
134,1,0
135,1,3
136,1,1
137,1,2
138,1,3
139,1,3
140,1,1
141,1,5
142,1,3
143,1,2
144,1,4
145,1,4
146,1,4
147,1,1
148,1,1
149,1,4
150,1,2
151,1,4
152,1,1
153,1,3
154,1,1
155,1,3
156,1,1
157,1,3
158,1,3
159,1,5
160,1,3
161,1,3
162,1,4
163,1,1
164,1,3
165,1,3
166,1,0
167,1,1
168,1,2
169,1,1
170,1,4
171,1,3
172,1,2
173,1,1
174,1,1
175,1,1
176,1,2
177,1,4
178,1,2
179,1,1
180,1,2
181,1,1
182,1,4
183,1,0
184,1,0
185,1,1
186,1,2
187,1,1
188,1,1
189,1,2
190,1,2
191,1,1
192,1,2
193,1,2
194,1,3
195,1,3
196,1,5
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,2
205,1,2
206,1,2
207,1,2
