start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,1
11,1,1
12,1,1
13,1,0
14,1,0
15,1,1
16,1,1
17,1,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,1
25,1,2
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,2
33,1,3
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,2
41,1,4
42,1,3
43,1,3
44,1,2
45,1,1
46,1,3
47,1,1
48,1,1
49,1,2
50,1,1
51,1,3
52,1,2
53,1,1
54,1,5
55,1,2
56,1,3
57,1,2
58,1,0
59,1,2
60,1,2
61,1,1
62,1,4
63,1,3
64,1,1
65,1,2
66,1,3
67,1,1
68,1,3
69,1,1
70,1,1
71,1,2
72,1,1
73,1,2
74,1,3
75,1,1
76,1,1
77,1,2
78,1,2
79,1,3
80,1,3
81,1,3
82,1,0
83,1,0
84,1,1
85,1,3
86,1,0
87,1,1
88,1,1
89,1,1
90,1,3
91,1,1
92,1,1
93,1,2
94,1,1
95,1,2
96,1,1
97,1,2
98,1,2
99,1,1
100,1,3
101,1,4
102,1,1
103,1,0
104,1,0
105,1,1
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,2
124,1,1
125,1,1
126,1,1
127,1,1
128,1,2
129,1,2
130,1,1
131,1,2
132,1,1
133,1,1
134,1,1
135,1,2
136,1,1
137,1,1
138,1,1
139,1,2
140,1,1
141,1,5
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,3
152,1,3
153,1,3
154,1,1
155,1,3
156,1,3
157,1,3
158,1,2
159,1,1
160,1,1
161,1,3
162,1,2
163,1,3
164,1,3
165,1,3
166,1,1
167,1,2
168,1,3
169,1,3
170,1,4
171,1,3
172,1,3
173,1,1
174,1,4
175,1,3
176,1,3
177,1,5
178,1,1
179,1,3
180,1,3
181,1,1
182,1,2
183,1,1
184,1,1
185,1,0
186,1,1
187,1,2
188,1,1
189,1,2
190,1,2
191,1,3
192,1,3
193,1,2
194,1,4
195,1,3
196,1,1
197,1,1
198,1,2
199,1,3
200,1,2
201,1,3
202,1,3
203,1,3
204,1,4
205,1,3
206,1,1
207,1,3
