start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,3
27,1,1
28,1,2
29,1,1
30,1,1
31,1,2
32,1,1
33,1,2
34,1,0
35,1,0
36,1,0
37,1,3
38,1,2
39,1,3
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,3
46,1,1
47,1,2
48,1,1
49,1,2
50,1,1
51,1,3
52,1,2
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,3
59,1,1
60,1,2
61,1,1
62,1,2
63,1,3
64,1,1
65,1,2
66,1,2
67,1,1
68,1,2
69,1,1
70,1,1
71,1,1
72,1,4
73,1,2
74,1,2
75,1,2
76,1,2
77,1,1
78,1,3
79,1,2
80,1,3
81,1,1
82,1,2
83,1,3
84,1,4
85,1,1
86,1,3
87,1,3
88,1,1
89,1,2
90,1,1
91,1,1
92,1,2
93,1,2
94,1,3
95,1,2
96,1,3
97,1,3
98,1,1
99,1,3
100,1,3
101,1,3
102,1,2
103,1,3
104,1,5
105,1,3
106,1,3
107,1,4
108,1,3
109,1,3
110,1,1
111,1,3
112,1,2
113,1,3
114,1,1
115,1,4
116,1,1
117,1,3
118,1,2
119,1,2
120,1,2
121,1,2
122,1,2
123,1,3
124,1,3
125,1,1
126,1,1
127,1,2
128,1,2
129,1,1
130,1,1
131,1,1
132,1,2
133,1,2
134,1,2
135,1,2
136,1,3
137,1,4
138,1,2
139,1,2
140,1,1
141,1,2
142,1,4
143,1,3
144,1,3
145,1,1
146,1,2
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
152,1,2
153,1,3
154,1,3
155,1,2
156,1,1
157,1,1
158,1,1
159,1,3
160,1,3
161,1,1
162,1,3
163,1,1
164,1,2
165,1,2
166,1,2
167,1,3
168,1,2
169,1,2
170,1,3
171,1,2
172,1,4
173,1,2
174,1,2
175,1,3
176,1,2
177,1,4
178,1,3
179,1,2
180,1,2
181,1,4
182,1,3
183,1,4
184,1,2
185,1,2
186,1,3
187,1,3
188,1,3
189,1,3
190,1,1
191,1,3
192,1,1
193,1,1
194,1,2
195,1,2
196,1,2
197,1,2
198,1,3
199,1,2
200,1,2
201,1,3
202,1,4
203,1,3
204,1,3
205,1,3
206,1,1
207,1,2
