start,duration,count
0,1,1
1,1,0
2,1,0
3,1,1
4,1,3
5,1,1
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,1
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,0
23,1,0
24,1,0
25,1,0
26,1,1
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,1
34,1,1
35,1,1
36,1,1
37,1,2
38,1,1
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,2
63,1,1
64,1,1
65,1,0
66,1,0
67,1,1
68,1,1
69,1,1
70,1,1
71,1,0
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,2
80,1,1
81,1,0
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,0
90,1,1
91,1,1
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,0
118,1,0
119,1,0
120,1,0
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,0
138,1,1
139,1,1
140,1,1
141,1,0
142,1,0
143,1,0
144,1,1
145,1,0
146,1,0
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,0
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,0
159,1,1
160,1,1
161,1,1
162,1,2
163,1,1
164,1,1
165,1,1
166,1,0
167,1,0
168,1,1
169,1,0
170,1,0
171,1,1
172,1,1
173,1,0
174,1,2
175,1,2
176,1,1
177,1,1
178,1,1
179,1,1
180,1,2
181,1,1
182,1,1
183,1,1
184,1,1
185,1,0
186,1,1
187,1,1
188,1,0
189,1,0
190,1,2
191,1,0
192,1,0
193,1,0
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,0
200,1,0
201,1,0
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,0
211,1,0
212,1,0
213,1,1
214,1,1
215,1,1
216,1,1
217,1,0
218,1,0
219,1,0
220,1,0
221,1,1
222,1,1
223,1,1
224,1,0
225,1,0
226,1,1
227,1,2
228,1,0
229,1,0
230,1,1
231,1,0
232,1,0
233,1,1
234,1,1
235,1,1
236,1,1
237,1,0
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,0
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,0
257,1,1
258,1,0
259,1,0
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,0
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,0
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,0
296,1,0
297,1,1
298,1,1
299,1,1
300,1,1
301,1,0
302,1,0
303,1,1
304,1,2
305,1,0
