start,duration,count
0,1,0
1,1,1
2,1,2
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,0
10,1,0
11,1,0
12,1,1
13,1,0
14,1,0
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,0
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,0
40,1,1
41,1,0
42,1,0
43,1,1
44,1,1
45,1,2
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,1,1
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,0
84,1,0
85,1,1
86,1,1
87,1,1
88,1,1
89,1,0
90,1,0
91,1,0
92,1,0
93,1,1
94,1,0
95,1,0
96,1,1
97,1,0
98,1,0
99,1,0
100,1,1
101,1,0
102,1,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,0
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,0
118,1,1
119,1,0
120,1,0
121,1,1
122,1,1
123,1,0
124,1,0
125,1,0
126,1,0
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,0
151,1,0
152,1,1
153,1,1
154,1,1
155,1,0
156,1,0
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,0
168,1,1
169,1,1
170,1,1
171,1,0
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,0
184,1,0
185,1,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,0
196,1,0
197,1,1
198,1,1
199,1,0
200,1,1
201,1,1
202,1,0
203,1,1
204,1,1
205,1,1
206,1,0
207,1,0
208,1,0
209,1,1
210,1,0
211,1,0
212,1,0
213,1,1
214,1,0
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,0
228,1,0
229,1,1
230,1,1
231,1,0
232,1,1
233,1,0
234,1,1
235,1,1
236,1,1
237,1,1
238,1,2
239,1,1
240,1,1
241,1,1
242,1,2
243,1,2
244,1,2
245,1,1
246,1,2
247,1,1
248,1,1
249,1,0
250,1,0
251,1,1
252,1,2
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,0
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,0
271,1,0
272,1,1
273,1,1
274,1,0
275,1,1
276,1,1
277,1,1
278,1,1
279,1,0
280,1,0
281,1,1
282,1,0
283,1,1
284,1,1
285,1,0
286,1,0
287,1,0
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,0
296,1,0
297,1,1
298,1,1
299,1,1
300,1,1
301,1,2
302,1,2
303,1,0
304,1,0
305,1,0
306,1,1
307,1,0
308,1,0
309,1,1
310,1,0
311,1,0
312,1,1
313,1,1
314,1,0
315,1,0
316,1,0
317,1,1
318,1,1
319,1,0
320,1,0
321,1,1
322,1,0
323,1,0
324,1,1
325,1,0
326,1,0
327,1,0
328,1,1
329,1,0
330,1,0
331,1,1
332,1,0
333,1,1
334,1,3
335,1,2
336,1,1
337,1,1
338,1,0
339,1,0
340,1,1
341,1,0
342,1,0
343,1,1
344,1,0
345,1,0
346,1,1
347,1,1
348,1,1
349,1,2
350,1,1
351,1,2
352,1,1
353,1,2
354,1,2
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,0
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,1,1
383,1,1
384,1,0
385,1,0
386,1,0
387,1,0
388,1,0
389,1,0
390,1,0
391,1,0
392,1,1
393,1,1
394,1,0
395,1,0
396,1,0
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,0
404,1,0
405,1,0
406,1,0
407,1,0
408,1,0
409,1,1
410,1,0
411,1,0
412,1,0
413,1,1
414,1,0
415,1,1
416,1,1
417,1,0
418,1,0
419,1,0
420,1,0
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,2
431,1,2
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,2
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,0
458,1,1
459,1,1
460,1,0
461,1,0
462,1,0
463,1,1
464,1,1
465,1,0
466,1,0
467,1,0
468,1,0
469,1,0
470,1,1
471,1,0
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,0
479,1,0
480,1,0
481,1,1
482,1,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,1,0
489,1,0
490,1,0
491,1,0
492,1,0
493,1,1
494,1,1
495,1,0
496,1,0
497,1,0
498,1,0
499,1,1
500,1,0
501,1,0
502,1,0
503,1,0
504,1,0
505,1,0
506,1,0
507,1,0
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,0
514,1,0
