start,duration,speakers
0,1,0
1,1,0
2,1,1
3,1,1
4,1,1
5,1,1
6,1,0
7,1,0
8,1,1
9,1,1
10,1,1
11,1,1
12,1,0
13,1,1
14,1,0
15,1,1
16,1,0
17,1,1
18,1,1
19,1,0
20,1,0
21,1,1
22,1,0
23,1,0
24,1,1
25,1,0
26,1,1
27,1,0
28,1,1
29,1,1
30,1,0
31,1,1
32,1,0
33,1,1
34,1,1
35,1,1
36,1,2
37,1,1
38,1,0
39,1,1
40,1,0
41,1,1
42,1,0
43,1,1
44,1,0
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,0
54,1,0
55,1,1
56,1,0
57,1,0
58,1,0
59,1,1
60,1,0
61,1,0
62,1,0
63,1,2
64,1,0
65,1,1
66,1,1
67,1,1
68,1,0
69,1,0
70,1,1
71,1,0
72,1,0
73,1,1
74,1,1
75,1,0
76,1,0
77,1,1
78,1,1
79,1,0
80,1,1
81,1,0
82,1,0
83,1,0
84,1,1
85,1,0
86,1,1
87,1,1
88,1,0
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,0
100,1,1
101,1,2
102,1,1
103,1,1
104,1,1
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,0
116,1,0
117,1,1
118,1,0
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,0
128,1,1
129,1,0
130,1,0
131,1,1
132,1,0
133,1,1
134,1,1
135,1,1
136,1,2
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,0
146,1,1
147,1,0
148,1,1
149,1,1
150,1,2
151,1,2
152,1,1
153,1,0
154,1,0
155,1,0
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,0
164,1,1
165,1,1
166,1,0
167,1,0
168,1,2
169,1,0
170,1,1
171,1,1
172,1,1
173,1,1
174,1,0
175,1,1
176,1,0
177,1,0
178,1,1
179,1,0
180,1,0
181,1,0
182,1,1
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,1
189,1,1
190,1,1
191,1,0
192,1,1
193,1,2
194,1,1
195,1,0
196,1,1
197,1,1
198,1,2
199,1,2
200,1,2
201,1,0
202,1,0
203,1,1
204,1,1
205,1,2
206,1,0
207,1,0
