start,duration,speakers
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,0
8,1,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,0
16,1,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,2
22,1,0
23,1,1
24,1,0
25,1,0
26,1,0
27,1,1
28,1,0
29,1,1
30,1,0
31,1,0
32,1,0
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,0
44,1,2
45,1,1
46,1,1
47,1,1
48,1,0
49,1,0
50,1,1
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,1
57,1,0
58,1,0
59,1,1
60,1,0
61,1,0
62,1,0
63,1,0
64,1,1
65,1,1
66,1,2
67,1,1
68,1,0
69,1,0
70,1,1
71,1,0
72,1,2
73,1,0
74,1,0
75,1,0
76,1,1
77,1,0
78,1,1
79,1,0
80,1,0
81,1,1
82,1,1
83,1,1
84,1,1
85,1,0
86,1,0
87,1,1
88,1,1
89,1,1
90,1,0
91,1,0
92,1,1
93,1,0
94,1,0
95,1,0
96,1,1
97,1,0
98,1,0
99,1,1
100,1,1
101,1,0
102,1,1
103,1,1
104,1,0
105,1,0
106,1,0
107,1,1
108,1,0
109,1,1
110,1,1
111,1,0
112,1,0
113,1,0
114,1,1
115,1,0
116,1,1
117,1,0
118,1,0
119,1,0
120,1,0
121,1,1
122,1,0
123,1,1
124,1,1
125,1,0
126,1,1
127,1,0
128,1,1
129,1,1
130,1,1
131,1,1
132,1,0
133,1,1
134,1,0
135,1,0
136,1,1
137,1,1
138,1,2
139,1,0
140,1,1
141,1,0
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,1
154,1,0
155,1,1
156,1,2
157,1,0
158,1,1
159,1,0
160,1,0
161,1,0
162,1,0
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,0
171,1,0
172,1,0
173,1,0
174,1,1
175,1,1
176,1,0
177,1,2
178,1,1
179,1,1
180,1,0
181,1,1
182,1,0
183,1,1
184,1,0
185,1,0
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,0
193,1,1
194,1,0
195,1,1
196,1,1
197,1,1
198,1,1
199,1,0
200,1,1
201,1,1
202,1,0
203,1,1
204,1,1
205,1,1
206,1,0
207,1,1
208,1,1
209,1,0
210,1,1
211,1,0
212,1,1
213,1,0
214,1,1
215,1,1
216,1,1
217,1,4
218,1,1
219,1,1
220,1,1
221,1,2
222,1,1
223,1,1
224,1,1
225,1,0
226,1,1
227,1,0
228,1,1
229,1,1
230,1,0
231,1,1
232,1,1
233,1,1
234,1,2
235,1,1
236,1,1
237,1,2
238,1,1
239,1,2
240,1,0
241,1,1
242,1,0
243,1,1
244,1,0
245,1,0
246,1,1
247,1,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,1,0
258,1,1
259,1,0
260,1,0
261,1,0
262,1,1
263,1,0
264,1,1
265,1,0
266,1,0
267,1,1
268,1,1
269,1,1
270,1,0
271,1,1
272,1,1
273,1,1
274,1,0
275,1,1
276,1,0
277,1,1
278,1,1
279,1,0
280,1,0
281,1,1
282,1,0
283,1,0
284,1,0
285,1,0
286,1,1
287,1,1
288,1,1
289,1,0
290,1,0
291,1,1
292,1,0
293,1,0
294,1,0
295,1,0
296,1,1
297,1,0
298,1,0
299,1,1
300,1,1
301,1,1
302,1,0
303,1,1
304,1,0
305,1,1
306,1,0
307,1,1
308,1,0
309,1,1
310,1,1
311,1,0
312,1,1
313,1,0
314,1,0
315,1,0
316,1,0
317,1,1
318,1,1
319,1,1
320,1,0
321,1,0
322,1,1
323,1,1
324,1,1
325,1,1
326,1,0
327,1,1
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,1,1
334,1,0
335,1,1
336,1,0
337,1,0
338,1,0
339,1,1
340,1,1
341,1,0
342,1,1
343,1,0
344,1,1
345,1,0
346,1,1
347,1,1
348,1,0
349,1,1
350,1,0
351,1,0
352,1,0
353,1,1
354,1,1
355,1,1
356,1,1
357,1,0
358,1,1
359,1,1
360,1,1
361,1,0
362,1,0
363,1,1
364,1,0
365,1,0
366,1,0
367,1,1
368,1,0
369,1,1
370,1,0
371,1,1
372,1,1
373,1,1
374,1,1
375,1,0
376,1,0
377,1,0
378,1,1
379,1,1
380,1,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0
386,1,0
387,1,0
388,1,1
389,1,0
390,1,1
391,1,1
392,1,1
393,1,0
394,1,0
395,1,0
396,1,0
397,1,1
398,1,1
399,1,0
400,1,0
401,1,0
402,1,0
403,1,0
404,1,0
405,1,1
406,1,1
407,1,0
408,1,1
409,1,0
410,1,1
411,1,0
412,1,1
413,1,0
414,1,1
415,1,0
416,1,0
417,1,0
418,1,1
419,1,0
420,1,0
421,1,1
422,1,0
423,1,1
424,1,1
425,1,0
426,1,1
427,1,0
428,1,1
429,1,0
430,1,1
431,1,1
432,1,1
433,1,0
434,1,0
435,1,1
436,1,1
437,1,0
438,1,0
439,1,0
440,1,0
441,1,0
442,1,1
443,1,0
444,1,0
445,1,1
446,1,0
447,1,1
448,1,1
449,1,0
450,1,0
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,0
457,1,1
458,1,1
459,1,1
460,1,1
461,1,0
462,1,0
463,1,1
464,1,0
465,1,0
466,1,0
467,1,1
468,1,1
469,1,1
470,1,0
471,1,0
472,1,1
473,1,1
474,1,1
475,1,1
476,1,0
477,1,1
478,1,1
479,1,1
480,1,1
481,1,2
482,1,3
483,1,0
484,1,3
485,1,1
486,1,0
487,1,0
488,1,2
489,1,1
490,1,0
491,1,1
492,1,2
493,1,1
494,1,0
495,1,0
496,1,1
497,1,1
498,1,1
499,1,0
500,1,0
501,1,1
502,1,0
503,1,0
504,1,1
505,1,1
506,1,0
507,1,1
508,1,1
509,1,0
510,1,0
511,1,0
512,1,1
513,1,1
514,1,0
515,1,1
516,1,1
517,1,1
518,1,0
519,1,0
520,1,1
521,1,0
522,1,0
523,1,1
524,1,0
525,1,1
526,1,0
527,1,1
528,1,0
529,1,1
530,1,0
531,1,0
532,1,0
533,1,0
534,1,1
535,1,1
536,1,0
537,1,1
538,1,1
539,1,2
540,1,0
541,1,1
542,1,1
543,1,1
544,1,1
545,1,0
546,1,0
547,1,1
548,1,0
549,1,1
550,1,1
551,1,0
552,1,0
553,1,1
554,1,1
555,1,0
556,1,0
557,1,1
558,1,1
559,1,0
560,1,0
561,1,0
562,1,1
563,1,0
564,1,1
565,1,0
566,1,1
567,1,0
568,1,1
569,1,1
570,1,1
571,1,0
572,1,1
573,1,0
574,1,1
575,1,0
576,1,0
577,1,1
578,1,0
579,1,0
580,1,1
581,1,0
582,1,1
583,1,1
584,1,1
585,1,1
586,1,0
587,1,1
588,1,0
589,1,1
590,1,0
591,1,1
592,1,1
593,1,0
594,1,0
595,1,0
596,1,0
597,1,1
598,1,1
599,1,1
600,1,0
601,1,1
602,1,0
603,1,1
604,1,1
605,1,1
606,1,0
607,1,1
608,1,0
609,1,0
610,1,0
611,1,0
612,1,0
613,1,1
614,1,0
615,1,1
616,1,0
617,1,1
618,1,1
619,1,1
620,1,1
621,1,0
622,1,0
623,1,1
624,1,0
625,1,1
626,1,1
627,1,1
628,1,0
629,1,1
630,1,0
631,1,1
632,1,1
633,1,0
634,1,1
635,1,0
636,1,1
637,1,0
638,1,1
639,1,1
640,1,1
641,1,0
642,1,0
643,1,1
644,1,0
645,1,0
646,1,1
647,1,0
648,1,1
649,1,0
650,1,0
651,1,0
652,1,0
653,1,1
654,1,0
655,1,1
656,1,1
657,1,0
658,1,0
659,1,0
660,1,1
661,1,1
662,1,1
663,1,2
664,1,3
665,1,1
666,1,0
667,1,2
668,1,0
669,1,0
670,1,4
671,1,0
672,1,2
673,1,0
674,1,0
675,1,0
676,1,1
677,1,0
678,1,0
679,1,0
680,1,0
681,1,1
682,1,1
683,1,3
684,1,1
685,1,0
686,1,0
687,1,1
688,1,1
689,1,3
690,1,0
691,1,0
692,1,0
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
699,1,1
700,1,0
701,1,1
702,1,1
703,1,1
704,1,0
705,1,1
706,1,1
707,1,0
708,1,0
709,1,0
710,1,1
711,1,0
712,1,1
713,1,0
714,1,0
715,1,1
716,1,1
717,1,0
718,1,1
719,1,2
720,1,1
721,1,1
722,1,0
723,1,0
724,1,2
725,1,1
726,1,1
727,1,1
728,1,1
729,1,0
730,1,1
731,1,0
732,1,0
733,1,2
734,1,0
735,1,0
736,1,0
737,1,0
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,0
745,1,0
746,1,1
747,1,2
748,1,0
749,1,1
750,1,0
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,0
759,1,0
760,1,1
761,1,0
762,1,1
763,1,1
764,1,0
765,1,1
766,1,0
767,1,0
768,1,1
769,1,0
770,1,1
771,1,0
772,1,0
773,1,1
774,1,1
775,1,1
776,1,0
777,1,1
778,1,0
779,1,0
780,1,1
781,1,0
782,1,1
783,1,0
784,1,1
785,1,1
786,1,1
787,1,1
788,1,1
789,1,1
790,1,1
791,1,1
792,1,1
793,1,1
794,1,1
795,1,1
796,1,0
797,1,0
798,1,1
799,1,0
800,1,0
801,1,1
802,1,2
803,1,1
804,1,1
805,1,0
806,1,1
807,1,0
808,1,1
809,1,1
810,1,1
811,1,0
812,1,0
813,1,1
814,1,0
815,1,1
816,1,1
817,1,1
818,1,0
819,1,1
820,1,1
821,1,2
822,1,0
823,1,0
824,1,1
825,1,1
826,1,0
827,1,0
828,1,0
829,1,1
830,1,1
831,1,1
832,1,0
833,1,1
834,1,1
835,1,0
836,1,0
837,1,0
838,1,0
839,1,1
840,1,0
841,1,0
842,1,1
843,1,1
844,1,0
845,1,1
846,1,1
847,1,0
848,1,1
849,1,0
850,1,0
851,1,1
852,1,1
853,1,1
854,1,2
855,1,1
856,1,0
857,1,1
858,1,1
859,1,0
860,1,0
861,1,0
862,1,0
863,1,0
864,1,1
865,1,1
866,1,1
867,1,0
868,1,1
869,1,1
870,1,1
871,1,0
872,1,0
873,1,0
874,1,0
875,1,1
876,1,1
877,1,1
878,1,0
879,1,1
880,1,1
881,1,1
882,1,1
883,1,1
884,1,1
885,1,1
886,1,1
887,1,0
888,1,1
889,1,1
890,1,1
891,1,0
892,1,0
893,1,0
894,1,1
895,1,1
896,1,0
897,1,0
898,1,1
899,1,1
900,1,0
901,1,0
902,1,0
903,1,0
904,1,1
905,1,0
906,1,1
907,1,0
908,1,1
909,1,1
910,1,1
911,1,0
912,1,0
913,1,0
914,1,1
915,1,1
916,1,1
917,1,1
918,1,0
919,1,0
920,1,0
921,1,1
922,1,1
923,1,0
924,1,1
925,1,0
926,1,1
927,1,1
928,1,1
929,1,0
930,1,1
931,1,1
932,1,0
933,1,1
934,1,0
935,1,1
936,1,0
937,1,0
938,1,1
939,1,1
940,1,0
941,1,1
942,1,1
943,1,1
944,1,0
945,1,1
946,1,1
947,1,1
948,1,0
949,1,1
950,1,0
951,1,1
952,1,1
953,1,0
954,1,0
955,1,1
956,1,1
957,1,1
958,1,1
959,1,1
960,1,1
961,1,1
962,1,0
963,1,1
964,1,2
965,1,1
966,1,0
967,1,1
968,1,0
969,1,0
970,1,1
971,1,1
972,1,1
973,1,0
974,1,1
975,1,0
976,1,1
977,1,0
978,1,1
979,1,2
980,1,1
981,1,0
982,1,1
983,1,0
984,1,0
985,1,1
986,1,1
987,1,0
988,1,0
989,1,1
990,1,0
991,1,1
992,1,0
993,1,1
994,1,0
995,1,1
996,1,1
997,1,1
998,1,0
999,1,0
1000,1,1
1001,1,1
1002,1,0
1003,1,1
1004,1,2
1005,1,0
1006,1,1
1007,1,1
1008,1,0
1009,1,1
1010,1,1
1011,1,1
1012,1,1
1013,1,0
1014,1,1
1015,1,1
1016,1,0
1017,1,0
1018,1,1
1019,1,0
1020,1,1
1021,1,1
1022,1,1
1023,1,1
1024,1,1
1025,1,1
1026,1,1
1027,1,1
1028,1,1
1029,1,3
1030,1,1
1031,1,3
1032,1,1
1033,1,0
1034,1,0
1035,1,3
1036,1,1
1037,1,1
1038,1,1
1039,1,0
1040,1,1
1041,1,1
1042,1,0
1043,1,0
1044,1,1
1045,1,0
1046,1,1
1047,1,1
1048,1,0
1049,1,1
1050,1,1
1051,1,1
1052,1,0
1053,1,0
1054,1,1
1055,1,1
1056,1,2
1057,1,1
1058,1,0
1059,1,1
1060,1,0
1061,1,1
1062,1,1
1063,1,1
1064,1,0
1065,1,0
1066,1,0
1067,1,1
1068,1,1
1069,1,0
1070,1,0
1071,1,1
1072,1,1
1073,1,1
1074,1,1
1075,1,0
1076,1,1
1077,1,0
1078,1,0
1079,1,1
1080,1,0
1081,1,0
1082,1,1
1083,1,0
1084,1,0
1085,1,0
1086,1,0
1087,1,0
1088,1,0
1089,1,0
1090,1,1
1091,1,0
1092,1,0
1093,1,0
1094,1,0
1095,1,0
1096,1,0
1097,1,1
1098,1,1
1099,1,1
1100,1,1
1101,1,1
1102,1,0
1103,1,1
1104,1,1
1105,1,2
1106,1,1
1107,1,2
1108,1,1
1109,1,0
1110,1,0
1111,1,1
1112,1,0
1113,1,1
1114,1,1
1115,1,0
1116,1,1
1117,1,1
1118,1,0
1119,1,1
1120,1,1
1121,1,0
1122,1,0
1123,1,1
1124,1,1
1125,1,0
1126,1,0
1127,1,1
1128,1,1
1129,1,0
1130,1,0
1131,1,0
1132,1,1
1133,1,1
1134,1,1
1135,1,0
1136,1,0
1137,1,0
1138,1,0
1139,1,1
1140,1,1
1141,1,1
1142,1,0
1143,1,2
1144,1,1
1145,1,0
1146,1,0
1147,1,1
1148,1,1
1149,1,0
1150,1,0
1151,1,1
1152,1,1
1153,1,1
1154,1,0
1155,1,0
1156,1,0
1157,1,0
1158,1,0
1159,1,1
1160,1,0
1161,1,1
1162,1,1
1163,1,1
1164,1,1
1165,1,1
1166,1,1
1167,1,0
1168,1,1
1169,1,1
1170,1,1
1171,1,1
1172,1,1
1173,1,0
1174,1,1
1175,1,1
1176,1,0
1177,1,0
1178,1,0
1179,1,1
1180,1,1
1181,1,1
1182,1,0
1183,1,0
1184,1,0
1185,1,1
1186,1,1
1187,1,0
1188,1,1
1189,1,0
1190,1,1
1191,1,0
1192,1,1
1193,1,1
1194,1,0
1195,1,1
1196,1,1
1197,1,0
1198,1,0
1199,1,1
1200,1,2
1201,1,2
1202,1,0
1203,1,1
1204,1,1
1205,1,1
1206,1,0
1207,1,1
1208,1,2
1209,1,0
1210,1,0
1211,1,0
1212,1,1
1213,1,0
1214,1,1
1215,1,1
1216,1,1
1217,1,0
1218,1,1
1219,1,1
1220,1,1
1221,1,0
1222,1,1
1223,1,0
1224,1,1
1225,1,1
1226,1,1
1227,1,1
1228,1,1
1229,1,1
1230,1,1
1231,1,1
1232,1,1
1233,1,1
1234,1,1
1235,1,1
1236,1,0
1237,1,0
1238,1,0
1239,1,1
1240,1,1
1241,1,0
1242,1,0
1243,1,0
1244,1,0
1245,1,0
1246,1,1
1247,1,0
1248,1,0
1249,1,0
1250,1,0
1251,1,0
1252,1,0
1253,1,0
1254,1,0
1255,1,1
1256,1,1
1257,1,1
1258,1,1
1259,1,0
1260,1,0
1261,1,1
1262,1,0
1263,1,1
1264,1,1
1265,1,1
1266,1,1
1267,1,1
1268,1,0
1269,1,1
1270,1,0
1271,1,0
1272,1,1
1273,1,1
1274,1,1
1275,1,1
1276,1,1
1277,1,1
1278,1,1
1279,1,1
1280,1,0
1281,1,0
1282,1,0
1283,1,0
1284,1,1
1285,1,1
1286,1,1
1287,1,0
1288,1,2
1289,1,0
1290,1,0
1291,1,0
1292,1,1
1293,1,1
1294,1,0
1295,1,1
1296,1,0
1297,1,1
1298,1,1
1299,1,1
1300,1,0
1301,1,0
1302,1,0
1303,1,1
1304,1,0
1305,1,0
1306,1,0
1307,1,1
1308,1,0
1309,1,0
1310,1,1
1311,1,0
1312,1,0
1313,1,0
1314,1,1
1315,1,1
1316,1,1
1317,1,1
1318,1,0
1319,1,1
1320,1,0
1321,1,0
1322,1,0
1323,1,0
1324,1,1
1325,1,0
1326,1,0
1327,1,0
1328,1,0
1329,1,0
1330,1,1
1331,1,1
1332,1,0
1333,1,0
1334,1,0
1335,1,1
1336,1,0
1337,1,1
1338,1,1
1339,1,1
1340,1,1
1341,1,1
1342,1,0
1343,1,1
1344,1,1
1345,1,0
1346,1,1
1347,1,1
1348,1,1
1349,1,1
1350,1,0
1351,1,1
1352,1,0
1353,1,0
1354,1,0
1355,1,1
1356,1,0
1357,1,1
1358,1,0
1359,1,1
