start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,0
12,1,1
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,0
27,1,0
28,1,1
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,1
42,1,1
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,1
52,1,1
53,1,3
54,1,1
55,1,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,2
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,0
74,1,1
75,1,1
76,1,1
77,1,1
78,1,0
79,1,1
80,1,0
81,1,1
82,1,1
83,1,1
84,1,1
85,1,0
86,1,0
87,1,1
88,1,0
89,1,0
90,1,1
91,1,1
92,1,1
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,1
108,1,0
109,1,0
110,1,0
111,1,0
112,1,1
113,1,0
114,1,0
115,1,0
116,1,1
117,1,0
118,1,1
119,1,0
120,1,1
121,1,1
122,1,0
123,1,1
124,1,0
125,1,0
126,1,0
127,1,0
128,1,1
129,1,0
130,1,1
131,1,1
132,1,0
133,1,2
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,0
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,0
147,1,0
148,1,1
149,1,0
150,1,0
151,1,0
152,1,1
153,1,1
154,1,0
155,1,1
156,1,0
157,1,0
158,1,1
159,1,1
160,1,0
161,1,0
162,1,1
163,1,0
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,0
173,1,0
174,1,1
175,1,0
176,1,1
177,1,1
178,1,1
179,1,0
180,1,1
181,1,0
182,1,0
183,1,1
184,1,1
185,1,0
186,1,0
187,1,1
188,1,0
189,1,1
190,1,0
191,1,0
192,1,0
193,1,1
194,1,0
195,1,0
196,1,1
197,1,0
198,1,1
199,1,1
200,1,0
201,1,1
202,1,0
203,1,0
204,1,1
205,1,0
206,1,0
207,1,0
