start,duration,speakers
0,1,0
1,1,1
2,1,1
3,1,0
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,0
10,1,1
11,1,1
12,1,1
13,1,1
14,1,0
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,0
23,1,1
24,1,0
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,1
41,1,1
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,1
50,1,0
51,1,0
52,1,0
53,1,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,0
60,1,0
61,1,1
62,1,1
63,1,0
64,1,0
65,1,1
66,1,0
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,0
80,1,1
81,1,1
82,1,0
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,0
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,0
107,1,1
108,1,1
109,1,1
110,1,0
111,1,1
112,1,0
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,0
120,1,0
121,1,1
122,1,1
123,1,0
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,0
130,1,1
131,1,0
132,1,1
133,1,0
134,1,0
135,1,0
136,1,1
137,1,1
138,1,1
139,1,0
140,1,0
141,1,1
142,1,1
143,1,1
144,1,0
145,1,1
146,1,1
147,1,0
148,1,0
149,1,1
150,1,0
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,0
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,1
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,1
195,1,1
196,1,1
197,1,1
198,1,0
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,0
206,1,0
207,1,0
208,1,1
209,1,1
210,1,1
211,1,1
212,1,0
213,1,1
214,1,1
215,1,1
216,1,1
217,1,0
218,1,0
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,1
237,1,1
238,1,1
239,1,0
240,1,1
241,1,1
242,1,1
243,1,1
244,1,0
245,1,0
246,1,0
247,1,0
248,1,1
249,1,2
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,0
257,1,1
258,1,0
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,0
266,1,1
267,1,0
268,1,1
269,1,1
270,1,1
271,1,0
272,1,0
273,1,0
274,1,1
275,1,1
276,1,0
277,1,0
278,1,1
279,1,1
280,1,1
281,1,1
282,1,0
283,1,1
284,1,1
285,1,1
286,1,1
287,1,0
288,1,1
289,1,1
290,1,0
291,1,1
292,1,1
293,1,1
294,1,0
295,1,1
296,1,1
297,1,1
298,1,0
299,1,0
300,1,0
301,1,0
302,1,0
303,1,0
304,1,0
305,1,0
306,1,0
307,1,1
308,1,0
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,0
315,1,1
316,1,1
317,1,1
318,1,0
319,1,0
320,1,1
321,1,1
322,1,2
323,1,1
324,1,0
325,1,1
326,1,1
327,1,0
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,0
341,1,0
342,1,0
343,1,0
344,1,0
345,1,0
346,1,0
347,1,1
348,1,1
349,1,1
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,1
356,1,0
357,1,0
358,1,0
359,1,1
360,1,2
361,1,1
362,1,0
363,1,1
364,1,1
365,1,0
366,1,0
367,1,1
368,1,1
369,1,0
370,1,0
371,1,0
372,1,1
373,1,1
374,1,0
375,1,1
376,1,0
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,0
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,0
392,1,1
393,1,0
394,1,0
395,1,1
396,1,0
397,1,1
398,1,0
399,1,1
400,1,1
401,1,0
402,1,1
403,1,0
404,1,0
405,1,1
406,1,1
407,1,1
408,1,0
409,1,1
410,1,1
411,1,0
412,1,0
413,1,1
414,1,0
415,1,0
416,1,0
417,1,0
418,1,0
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,0
426,1,1
427,1,0
428,1,1
429,1,1
430,1,2
431,1,2
432,1,1
433,1,1
434,1,1
435,1,0
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,0
445,1,0
446,1,1
447,1,0
448,1,1
449,1,0
450,1,1
451,1,1
452,1,1
453,1,1
454,1,2
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,0
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,2
477,1,1
478,1,1
479,1,1
480,1,1
481,1,0
482,1,1
483,1,1
484,1,1
485,1,0
486,1,1
487,1,1
488,1,2
489,1,1
490,1,2
491,1,1
492,1,2
493,1,0
494,1,0
495,1,1
496,1,1
497,1,1
498,1,1
499,1,0
500,1,1
501,1,0
502,1,0
503,1,3
504,1,1
505,1,1
506,1,0
507,1,0
508,1,1
509,1,1
510,1,0
511,1,0
512,1,0
513,1,1
514,1,1
