start,duration,speakers
0,1,3
1,1,2
2,1,2
3,1,3
4,1,3
5,1,1
6,1,2
7,1,1
8,1,2
9,1,2
10,1,1
11,1,2
12,1,1
13,1,1
14,1,4
15,1,2
16,1,4
17,1,1
18,1,2
19,1,2
20,1,2
21,1,3
22,1,1
23,1,2
24,1,2
25,1,4
26,1,2
27,1,1
28,1,2
29,1,2
30,1,2
31,1,1
32,1,2
33,1,1
34,1,5
35,1,2
36,1,3
37,1,2
38,1,3
39,1,2
40,1,3
41,1,2
42,1,2
43,1,2
44,1,2
45,1,2
46,1,1
47,1,2
48,1,3
49,1,2
50,1,1
51,1,2
52,1,1
53,1,2
54,1,2
55,1,2
56,1,2
57,1,1
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,4
64,1,3
65,1,3
66,1,2
67,1,2
68,1,2
69,1,4
70,1,2
71,1,3
72,1,4
73,1,3
74,1,2
75,1,2
76,1,3
77,1,1
78,1,2
79,1,2
80,1,2
81,1,3
82,1,3
83,1,1
84,1,2
85,1,1
86,1,4
87,1,0
88,1,2
89,1,1
90,1,2
91,1,4
92,1,1
93,1,3
94,1,0
95,1,0
96,1,0
97,1,0
98,1,1
99,1,1
100,1,1
101,1,0
102,1,0
103,1,2
104,1,1
105,1,3
106,1,1
107,1,3
108,1,3
109,1,3
110,1,3
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,3
117,1,3
118,1,1
119,1,0
120,1,0
121,1,0
122,1,0
123,1,2
124,1,3
125,1,5
126,1,2
127,1,4
128,1,1
129,1,0
130,1,0
131,1,0
132,1,3
133,1,5
134,1,2
135,1,2
136,1,5
137,1,3
138,1,3
139,1,1
140,1,1
141,1,1
142,1,3
143,1,3
144,1,2
145,1,2
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,2
152,1,1
153,1,1
154,1,4
155,1,2
156,1,2
157,1,2
158,1,3
159,1,1
160,1,2
161,1,3
162,1,2
163,1,3
164,1,2
165,1,3
166,1,2
167,1,1
168,1,2
169,1,1
170,1,2
171,1,4
172,1,2
173,1,2
174,1,1
175,1,2
176,1,3
177,1,3
178,1,3
179,1,4
180,1,2
181,1,2
182,1,1
183,1,3
184,1,3
185,1,5
186,1,4
187,1,3
188,1,1
189,1,2
190,1,2
191,1,2
192,1,1
193,1,2
194,1,0
195,1,3
196,1,2
197,1,2
198,1,2
199,1,1
200,1,2
201,1,2
202,1,0
203,1,0
204,1,0
205,1,0
206,1,2
207,1,3
208,1,2
209,1,3
210,1,2
211,1,1
212,1,1
213,1,2
214,1,3
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,2
221,1,3
222,1,3
223,1,4
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,3
232,1,2
233,1,2
234,1,2
235,1,4
236,1,1
237,1,1
238,1,2
239,1,1
240,1,1
241,1,2
242,1,2
243,1,3
244,1,2
245,1,2
246,1,2
247,1,1
248,1,1
249,1,2
250,1,3
251,1,1
252,1,2
253,1,3
254,1,2
255,1,1
256,1,0
257,1,2
258,1,0
259,1,2
260,1,3
261,1,2
262,1,3
263,1,1
264,1,0
265,1,0
266,1,0
267,1,0
268,1,0
269,1,0
270,1,2
271,1,3
272,1,1
273,1,2
274,1,5
275,1,3
276,1,1
277,1,3
278,1,1
279,1,0
280,1,2
281,1,3
282,1,3
283,1,3
284,1,4
285,1,3
286,1,1
287,1,0
288,1,1
289,1,2
290,1,1
291,1,0
292,1,1
293,1,1
294,1,2
295,1,3
296,1,1
297,1,3
298,1,5
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,3
306,1,2
307,1,1
308,1,2
309,1,1
310,1,1
311,1,2
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,2
318,1,3
319,1,5
320,1,5
321,1,5
322,1,1
323,1,2
324,1,2
325,1,2
326,1,1
327,1,1
328,1,1
329,1,2
330,1,2
331,1,2
332,1,2
333,1,2
334,1,2
335,1,2
336,1,2
337,1,4
338,1,2
339,1,1
340,1,2
341,1,2
342,1,2
343,1,2
344,1,2
345,1,2
346,1,1
347,1,2
348,1,2
349,1,1
350,1,1
351,1,2
352,1,1
353,1,2
354,1,2
355,1,2
356,1,2
357,1,2
358,1,2
359,1,2
360,1,1
361,1,2
362,1,2
363,1,1
364,1,1
365,1,2
366,1,2
367,1,3
368,1,4
369,1,4
370,1,3
371,1,2
372,1,1
373,1,2
374,1,2
375,1,2
376,1,3
377,1,3
378,1,2
379,1,1
380,1,2
381,1,2
382,1,2
383,1,2
384,1,2
385,1,1
386,1,1
387,1,2
388,1,2
389,1,5
390,1,2
391,1,1
392,1,2
393,1,3
394,1,3
395,1,2
396,1,2
397,1,2
398,1,2
399,1,1
400,1,1
401,1,3
402,1,1
403,1,1
404,1,2
405,1,3
406,1,2
407,1,3
408,1,3
409,1,2
410,1,2
411,1,2
412,1,2
413,1,2
414,1,2
415,1,2
416,1,1
417,1,1
418,1,2
419,1,1
420,1,2
421,1,1
422,1,2
423,1,2
424,1,2
425,1,0
426,1,1
427,1,2
428,1,4
429,1,1
430,1,3
431,1,1
432,1,2
433,1,3
434,1,2
435,1,1
436,1,2
437,1,2
438,1,2
439,1,2
440,1,1
441,1,2
442,1,2
443,1,0
444,1,2
445,1,3
446,1,2
447,1,2
448,1,3
449,1,2
450,1,2
451,1,1
452,1,2
453,1,2
454,1,1
455,1,2
456,1,0
457,1,0
458,1,2
459,1,2
460,1,2
461,1,2
462,1,2
463,1,1
464,1,0
465,1,0
466,1,1
467,1,0
468,1,1
469,1,3
470,1,1
471,1,1
472,1,1
473,1,1
474,1,3
475,1,3
476,1,2
477,1,2
478,1,0
479,1,1
480,1,1
481,1,3
482,1,2
483,1,2
484,1,2
485,1,1
486,1,1
487,1,2
488,1,2
489,1,1
490,1,3
491,1,2
492,1,3
493,1,2
494,1,2
495,1,3
496,1,3
497,1,2
498,1,5
499,1,1
500,1,1
501,1,2
502,1,3
503,1,2
504,1,3
505,1,2
506,1,2
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,2
513,1,2
514,1,2
515,1,1
516,1,2
517,1,2
518,1,1
519,1,2
520,1,2
521,1,1
522,1,1
523,1,3
524,1,3
525,1,1
526,1,2
527,1,2
528,1,2
529,1,2
530,1,1
531,1,3
532,1,2
533,1,2
534,1,1
535,1,2
536,1,1
537,1,1
538,1,2
539,1,2
540,1,1
541,1,3
542,1,2
543,1,2
544,1,2
545,1,1
546,1,2
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,2
555,1,1
556,1,4
557,1,3
558,1,2
559,1,3
560,1,2
561,1,3
562,1,2
563,1,1
564,1,3
565,1,4
566,1,2
567,1,1
568,1,3
569,1,2
570,1,3
571,1,2
572,1,2
573,1,2
574,1,2
575,1,1
576,1,1
577,1,2
578,1,4
579,1,2
580,1,2
581,1,2
582,1,2
583,1,4
584,1,2
585,1,1
586,1,2
587,1,2
588,1,2
589,1,2
590,1,1
591,1,2
592,1,2
593,1,2
594,1,1
595,1,2
596,1,2
597,1,1
598,1,1
599,1,1
600,1,1
601,1,2
602,1,2
603,1,0
604,1,1
605,1,1
606,1,2
607,1,2
608,1,2
609,1,2
610,1,0
611,1,1
612,1,2
613,1,2
614,1,1
615,1,3
616,1,2
617,1,2
618,1,1
619,1,2
620,1,1
621,1,1
622,1,2
623,1,3
624,1,2
625,1,2
626,1,5
627,1,1
628,1,1
629,1,1
630,1,1
631,1,4
632,1,3
633,1,2
634,1,2
635,1,1
636,1,1
637,1,2
638,1,2
639,1,1
640,1,1
641,1,2
642,1,1
643,1,1
644,1,3
645,1,3
646,1,1
647,1,2
648,1,1
649,1,1
650,1,2
651,1,2
652,1,2
653,1,2
654,1,2
655,1,1
656,1,1
657,1,1
