start,duration,speakers
0,1,2
1,1,3
2,1,2
3,1,1
4,1,5
5,1,2
6,1,2
7,1,1
8,1,1
9,1,4
10,1,1
11,1,1
12,1,1
13,1,2
14,1,3
15,1,3
16,1,2
17,1,3
18,1,1
19,1,3
20,1,2
21,1,2
22,1,2
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,5
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,1
35,1,1
36,1,1
37,1,1
38,1,2
39,1,1
40,1,1
41,1,1
42,1,2
43,1,1
44,1,3
45,1,1
46,1,0
47,1,0
48,1,1
49,1,1
50,1,1
51,1,1
52,1,2
53,1,2
54,1,3
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,2
63,1,1
64,1,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,2
70,1,1
71,1,1
72,1,3
73,1,2
74,1,3
75,1,3
76,1,2
77,1,2
78,1,2
79,1,2
80,1,2
81,1,2
82,1,1
83,1,2
84,1,1
85,1,0
86,1,2
87,1,2
88,1,2
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,2
96,1,1
97,1,1
98,1,3
99,1,5
100,1,2
101,1,2
102,1,1
103,1,2
104,1,0
105,1,0
106,1,2
107,1,1
108,1,2
109,1,2
110,1,1
111,1,1
112,1,2
113,1,2
114,1,1
115,1,2
116,1,1
117,1,2
118,1,2
119,1,2
120,1,1
121,1,1
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,1
128,1,1
129,1,1
130,1,2
131,1,2
132,1,3
133,1,1
134,1,2
135,1,0
136,1,1
137,1,1
138,1,2
139,1,3
140,1,2
141,1,2
142,1,1
143,1,1
144,1,2
145,1,1
146,1,4
147,1,2
148,1,2
149,1,1
150,1,2
151,1,1
152,1,2
153,1,1
154,1,1
155,1,2
156,1,2
157,1,2
158,1,1
159,1,1
160,1,1
161,1,0
162,1,2
163,1,2
164,1,2
165,1,2
166,1,3
167,1,2
168,1,2
169,1,1
170,1,1
171,1,2
172,1,2
173,1,2
174,1,1
175,1,2
176,1,3
177,1,2
178,1,3
179,1,1
180,1,1
181,1,2
182,1,1
183,1,3
184,1,2
185,1,3
186,1,1
187,1,1
188,1,2
189,1,1
190,1,2
191,1,4
192,1,2
193,1,3
194,1,2
195,1,3
196,1,1
197,1,2
198,1,3
199,1,2
200,1,2
201,1,2
202,1,2
203,1,2
204,1,3
205,1,2
206,1,2
207,1,2
208,1,2
209,1,1
210,1,1
211,1,2
212,1,1
213,1,3
214,1,1
215,1,1
216,1,2
217,1,2
218,1,2
219,1,1
220,1,2
221,1,2
222,1,0
223,1,1
224,1,1
225,1,3
226,1,5
227,1,2
228,1,3
229,1,2
230,1,1
231,1,1
232,1,3
233,1,1
234,1,3
235,1,3
236,1,1
237,1,3
238,1,3
239,1,3
240,1,2
241,1,3
242,1,2
243,1,2
244,1,2
245,1,1
246,1,2
247,1,1
248,1,4
249,1,3
250,1,2
251,1,2
252,1,3
253,1,2
254,1,2
255,1,1
256,1,3
257,1,2
258,1,1
259,1,5
260,1,3
261,1,2
262,1,2
263,1,3
264,1,2
