start,duration,speakers
0,1,2
1,1,1
2,1,3
3,1,2
4,1,3
5,1,2
6,1,2
7,1,1
8,1,2
9,1,0
10,1,1
11,1,2
12,1,1
13,1,2
14,1,3
15,1,3
16,1,2
17,1,1
18,1,1
19,1,2
20,1,1
21,1,1
22,1,2
23,1,2
24,1,1
25,1,2
26,1,1
27,1,1
28,1,1
29,1,2
30,1,1
31,1,2
32,1,2
33,1,2
34,1,2
35,1,1
36,1,2
37,1,1
38,1,2
39,1,2
40,1,4
41,1,2
42,1,5
43,1,3
44,1,2
45,1,3
46,1,5
47,1,2
48,1,1
49,1,1
50,1,2
51,1,2
52,1,2
53,1,3
54,1,1
55,1,2
56,1,2
57,1,2
58,1,2
59,1,3
60,1,3
61,1,2
62,1,2
63,1,2
64,1,3
65,1,1
66,1,4
67,1,3
68,1,3
69,1,2
70,1,2
71,1,2
72,1,3
73,1,2
74,1,2
75,1,2
76,1,3
77,1,2
78,1,1
79,1,2
80,1,2
81,1,2
82,1,2
83,1,1
84,1,2
85,1,2
86,1,3
87,1,3
88,1,3
89,1,1
90,1,1
91,1,1
92,1,1
93,1,2
94,1,3
95,1,1
96,1,1
97,1,2
98,1,2
99,1,1
100,1,2
101,1,2
102,1,5
103,1,2
104,1,3
105,1,1
106,1,1
107,1,1
108,1,3
109,1,2
110,1,2
111,1,3
112,1,1
113,1,2
114,1,3
115,1,4
116,1,2
117,1,4
118,1,3
119,1,4
120,1,5
121,1,2
122,1,3
123,1,3
124,1,3
125,1,2
126,1,1
127,1,3
128,1,2
129,1,5
130,1,2
131,1,1
132,1,3
133,1,2
134,1,3
135,1,2
136,1,3
137,1,4
138,1,5
139,1,2
140,1,1
141,1,3
142,1,3
143,1,2
144,1,3
145,1,3
146,1,4
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
152,1,2
153,1,1
154,1,2
155,1,2
156,1,1
157,1,3
158,1,2
159,1,1
160,1,2
161,1,2
162,1,2
163,1,3
164,1,4
165,1,2
166,1,3
167,1,4
168,1,1
169,1,1
170,1,4
171,1,3
172,1,1
173,1,2
174,1,5
175,1,1
176,1,1
177,1,2
178,1,2
179,1,4
180,1,4
181,1,2
182,1,2
183,1,3
184,1,4
185,1,1
186,1,2
187,1,3
188,1,1
189,1,2
190,1,3
191,1,2
192,1,1
193,1,3
194,1,1
195,1,1
196,1,3
197,1,2
198,1,2
199,1,2
200,1,2
201,1,2
202,1,3
203,1,1
204,1,1
205,1,2
206,1,2
207,1,5
208,1,1
209,1,1
210,1,1
211,1,2
212,1,2
213,1,2
214,1,2
215,1,1
216,1,2
217,1,2
218,1,2
219,1,2
220,1,1
221,1,3
222,1,2
223,1,3
224,1,3
225,1,2
226,1,2
227,1,2
228,1,4
229,1,1
230,1,2
231,1,2
232,1,1
233,1,2
234,1,1
235,1,1
236,1,3
237,1,3
238,1,1
239,1,2
240,1,1
241,1,1
242,1,2
243,1,2
244,1,2
245,1,2
246,1,2
247,1,2
248,1,3
249,1,3
250,1,2
251,1,3
252,1,2
253,1,2
254,1,2
255,1,3
256,1,2
257,1,3
258,1,3
259,1,1
260,1,1
261,1,3
262,1,3
263,1,1
264,1,2
265,1,3
266,1,2
267,1,4
268,1,4
269,1,3
270,1,1
271,1,3
272,1,3
273,1,2
274,1,1
275,1,2
276,1,2
277,1,2
278,1,2
279,1,2
280,1,1
281,1,1
282,1,2
283,1,4
284,1,2
285,1,3
286,1,1
287,1,1
288,1,2
289,1,3
290,1,2
291,1,2
292,1,5
293,1,4
294,1,3
295,1,3
296,1,2
297,1,2
298,1,4
299,1,1
300,1,3
301,1,2
302,1,2
303,1,3
304,1,3
305,1,3
306,1,2
307,1,2
308,1,3
309,1,2
310,1,1
311,1,2
312,1,1
313,1,2
314,1,2
315,1,2
316,1,2
317,1,2
318,1,2
319,1,5
320,1,2
321,1,2
322,1,2
323,1,1
324,1,2
325,1,2
326,1,2
327,1,3
328,1,2
329,1,2
330,1,2
331,1,2
332,1,1
333,1,2
334,1,1
335,1,2
336,1,2
337,1,2
338,1,1
339,1,2
340,1,2
341,1,2
342,1,2
343,1,2
344,1,3
345,1,2
346,1,3
347,1,2
348,1,3
349,1,2
350,1,5
351,1,2
352,1,4
353,1,2
354,1,3
355,1,1
356,1,2
357,1,2
358,1,2
359,1,1
360,1,2
361,1,2
362,1,2
363,1,3
364,1,3
365,1,3
366,1,1
367,1,2
368,1,2
369,1,2
370,1,2
371,1,3
372,1,2
373,1,3
374,1,2
375,1,3
376,1,3
377,1,3
378,1,3
379,1,2
380,1,1
381,1,3
382,1,5
383,1,4
384,1,2
385,1,4
386,1,2
387,1,3
388,1,2
389,1,3
390,1,2
391,1,3
392,1,4
393,1,3
394,1,2
395,1,2
396,1,3
397,1,2
398,1,4
399,1,4
400,1,2
401,1,2
402,1,2
403,1,3
404,1,1
405,1,3
406,1,1
407,1,1
408,1,1
409,1,1
410,1,2
411,1,4
412,1,5
413,1,1
414,1,4
415,1,1
416,1,2
417,1,5
418,1,1
419,1,1
420,1,1
421,1,2
422,1,3
423,1,5
424,1,0
425,1,2
426,1,3
427,1,1
428,1,2
429,1,3
430,1,3
431,1,5
432,1,2
433,1,3
434,1,5
435,1,5
436,1,5
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,3
444,1,1
445,1,3
446,1,1
447,1,1
448,1,1
449,1,1
450,1,3
451,1,2
452,1,2
453,1,2
454,1,2
455,1,1
456,1,2
457,1,2
458,1,2
459,1,3
460,1,1
461,1,1
462,1,2
463,1,1
464,1,3
465,1,3
466,1,3
467,1,2
468,1,1
469,1,2
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,3
477,1,2
478,1,1
479,1,1
480,1,2
481,1,1
482,1,2
483,1,2
484,1,3
485,1,3
486,1,3
487,1,3
488,1,2
489,1,2
490,1,1
491,1,1
492,1,1
493,1,1
494,1,2
495,1,2
496,1,5
497,1,2
498,1,1
499,1,1
500,1,2
501,1,4
502,1,4
503,1,3
504,1,1
505,1,4
506,1,2
507,1,5
508,1,2
509,1,1
510,1,3
511,1,2
512,1,2
513,1,2
514,1,3
515,1,1
516,1,2
517,1,4
518,1,2
519,1,3
520,1,2
521,1,2
522,1,1
523,1,3
524,1,2
525,1,2
526,1,1
527,1,3
528,1,3
529,1,3
530,1,2
531,1,3
532,1,2
533,1,2
534,1,3
535,1,1
536,1,2
537,1,2
538,1,2
539,1,2
540,1,2
541,1,3
542,1,1
543,1,3
544,1,3
545,1,2
546,1,2
547,1,2
548,1,2
549,1,2
550,1,3
551,1,5
552,1,4
553,1,3
554,1,2
555,1,4
556,1,1
557,1,1
558,1,2
559,1,3
560,1,4
561,1,2
562,1,2
563,1,5
564,1,5
565,1,1
566,1,5
567,1,1
568,1,2
569,1,2
570,1,2
571,1,2
572,1,1
573,1,2
574,1,3
575,1,4
576,1,2
577,1,1
578,1,2
579,1,3
580,1,2
581,1,0
582,1,0
583,1,3
584,1,4
585,1,1
586,1,1
587,1,1
588,1,2
589,1,3
590,1,0
591,1,3
592,1,3
593,1,3
594,1,2
595,1,5
596,1,2
597,1,3
598,1,1
599,1,5
600,1,3
601,1,4
602,1,2
603,1,3
604,1,2
605,1,1
606,1,2
607,1,2
608,1,2
609,1,2
610,1,3
611,1,4
612,1,3
613,1,3
614,1,4
615,1,3
616,1,3
617,1,3
618,1,2
619,1,2
620,1,3
621,1,4
622,1,3
623,1,3
624,1,3
625,1,2
626,1,3
627,1,3
628,1,2
629,1,5
630,1,2
631,1,2
632,1,5
633,1,3
634,1,5
635,1,2
636,1,2
637,1,3
638,1,3
639,1,3
640,1,3
641,1,4
642,1,5
643,1,1
644,1,3
645,1,1
646,1,2
647,1,0
648,1,4
649,1,3
650,1,5
651,1,3
652,1,5
653,1,1
654,1,1
655,1,1
656,1,1
657,1,3
658,1,4
659,1,3
660,1,5
661,1,3
662,1,2
663,1,1
664,1,2
665,1,3
666,1,2
667,1,3
668,1,1
669,1,1
670,1,2
671,1,2
672,1,3
673,1,3
674,1,1
675,1,1
676,1,4
677,1,4
678,1,5
679,1,1
680,1,1
681,1,1
682,1,3
683,1,4
684,1,2
685,1,2
686,1,2
687,1,2
688,1,2
689,1,2
690,1,1
691,1,3
692,1,2
693,1,2
694,1,3
695,1,3
696,1,1
697,1,2
698,1,3
699,1,2
700,1,2
701,1,1
702,1,3
703,1,1
704,1,4
705,1,2
706,1,3
707,1,2
708,1,2
709,1,3
710,1,3
711,1,4
712,1,5
713,1,2
714,1,5
715,1,3
716,1,5
717,1,2
718,1,3
719,1,3
720,1,2
721,1,4
722,1,3
723,1,1
724,1,2
725,1,1
726,1,2
727,1,5
728,1,1
729,1,2
730,1,2
731,1,4
732,1,3
733,1,2
734,1,3
735,1,1
736,1,2
737,1,2
738,1,2
739,1,2
740,1,1
741,1,1
742,1,2
743,1,3
744,1,2
745,1,2
746,1,2
747,1,5
748,1,2
749,1,3
750,1,2
751,1,5
752,1,1
753,1,4
754,1,1
755,1,4
756,1,3
757,1,2
758,1,4
759,1,3
760,1,2
761,1,4
762,1,4
763,1,5
764,1,1
765,1,3
766,1,2
767,1,2
768,1,1
769,1,1
770,1,2
771,1,2
772,1,1
773,1,1
774,1,3
775,1,1
