start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,1
4,1,1
5,1,2
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,2
14,1,3
15,1,1
16,1,0
17,1,0
18,1,0
19,1,1
20,1,1
21,1,0
22,1,1
23,1,1
24,1,2
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,0
31,1,0
32,1,1
33,1,2
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,2
44,1,1
45,1,1
46,1,0
47,1,1
48,1,1
49,1,2
50,1,3
51,1,2
52,1,2
53,1,2
54,1,2
55,1,4
56,1,1
57,1,2
58,1,1
59,1,1
60,1,3
61,1,4
62,1,1
63,1,3
64,1,1
65,1,1
66,1,2
67,1,2
68,1,2
69,1,2
70,1,2
71,1,1
72,1,1
73,1,2
74,1,2
75,1,4
76,1,3
77,1,2
78,1,3
79,1,1
80,1,1
81,1,3
82,1,1
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,1
89,1,1
90,1,1
91,1,3
92,1,5
93,1,2
94,1,1
95,1,3
96,1,4
97,1,2
98,1,1
99,1,3
100,1,1
101,1,4
102,1,1
103,1,2
104,1,4
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,2
111,1,0
112,1,0
113,1,0
114,1,1
115,1,2
116,1,2
117,1,3
118,1,2
119,1,2
120,1,5
121,1,2
122,1,0
123,1,0
124,1,0
125,1,2
126,1,1
127,1,1
128,1,1
129,1,2
130,1,5
131,1,1
132,1,2
133,1,1
134,1,5
135,1,0
136,1,0
137,1,0
138,1,1
139,1,2
140,1,1
141,1,1
142,1,1
143,1,1
144,1,2
145,1,1
146,1,1
147,1,3
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,2
157,1,4
158,1,2
159,1,4
160,1,1
161,1,1
162,1,3
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,2
170,1,2
171,1,5
172,1,3
173,1,3
174,1,1
175,1,1
176,1,2
177,1,2
178,1,1
179,1,2
180,1,1
181,1,2
182,1,1
183,1,3
184,1,2
185,1,1
186,1,1
187,1,3
188,1,2
189,1,2
190,1,3
191,1,2
192,1,2
193,1,2
194,1,2
195,1,1
196,1,3
197,1,1
198,1,1
199,1,2
200,1,3
201,1,1
202,1,2
203,1,0
204,1,2
205,1,2
206,1,2
207,1,2
