start,duration,speakers
0,1,0
1,1,0
2,1,1
3,1,1
4,1,2
5,1,1
6,1,4
7,1,2
8,1,3
9,1,2
10,1,1
11,1,5
12,1,1
13,1,1
14,1,2
15,1,1
16,1,1
17,1,1
18,1,2
19,1,0
20,1,2
21,1,1
22,1,1
23,1,2
24,1,2
25,1,3
26,1,1
27,1,1
28,1,1
29,1,4
30,1,4
31,1,1
32,1,4
33,1,5
34,1,2
35,1,1
36,1,3
37,1,3
38,1,4
39,1,2
40,1,1
41,1,3
42,1,1
43,1,3
44,1,5
45,1,5
46,1,1
47,1,1
48,1,3
49,1,4
50,1,4
51,1,1
52,1,3
53,1,1
54,1,3
55,1,3
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,1,0
62,1,2
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,3
72,1,0
73,1,0
74,1,0
75,1,0
76,1,1
77,1,1
78,1,4
79,1,4
80,1,1
81,1,0
82,1,0
83,1,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,2
92,1,3
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,4
103,1,3
104,1,2
105,1,0
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,1
118,1,2
119,1,1
120,1,1
121,1,1
122,1,5
123,1,3
124,1,1
125,1,1
126,1,1
127,1,1
128,1,2
129,1,0
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,2
143,1,2
144,1,1
145,1,1
146,1,2
147,1,2
148,1,2
149,1,1
150,1,1
151,1,1
152,1,3
153,1,5
154,1,1
155,1,1
156,1,1
157,1,1
158,1,2
159,1,1
160,1,0
161,1,3
162,1,1
163,1,1
164,1,1
165,1,1
166,1,2
167,1,2
168,1,2
169,1,2
170,1,1
171,1,1
172,1,1
173,1,3
174,1,2
175,1,2
176,1,1
177,1,2
178,1,1
179,1,2
180,1,2
181,1,1
182,1,1
183,1,1
184,1,5
185,1,4
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,2
197,1,2
198,1,2
199,1,2
200,1,1
201,1,2
202,1,2
203,1,2
204,1,2
205,1,2
206,1,1
207,1,2
