start,duration,speakers
0,1,0
1,1,0
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,4
11,1,4
12,1,3
13,1,0
14,1,0
15,1,1
16,1,2
17,1,1
18,1,0
19,1,1
20,1,2
21,1,2
22,1,3
23,1,0
24,1,3
25,1,3
26,1,1
27,1,1
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,3
36,1,1
37,1,1
38,1,2
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,0
45,1,0
46,1,0
47,1,1
48,1,1
49,1,1
50,1,1
51,1,2
52,1,1
53,1,3
54,1,2
55,1,1
56,1,1
57,1,2
58,1,1
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,2
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,2
76,1,1
77,1,1
78,1,3
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,3
98,1,3
99,1,1
100,1,1
101,1,3
102,1,2
103,1,1
104,1,3
105,1,3
106,1,3
107,1,2
108,1,1
109,1,1
110,1,1
111,1,5
112,1,3
113,1,3
114,1,3
115,1,4
116,1,1
117,1,2
118,1,2
119,1,3
120,1,2
121,1,5
122,1,3
123,1,2
124,1,3
125,1,3
126,1,2
127,1,4
128,1,4
129,1,2
130,1,2
131,1,4
132,1,3
133,1,3
134,1,3
135,1,3
136,1,1
137,1,1
138,1,2
139,1,3
140,1,2
141,1,2
142,1,3
143,1,4
144,1,2
145,1,1
146,1,3
147,1,5
148,1,4
149,1,4
150,1,1
151,1,2
152,1,4
153,1,3
154,1,2
155,1,1
156,1,3
157,1,3
158,1,2
159,1,3
160,1,1
161,1,3
162,1,3
163,1,3
164,1,1
165,1,3
166,1,2
167,1,3
168,1,3
169,1,4
170,1,4
171,1,5
172,1,1
173,1,2
174,1,2
175,1,4
176,1,3
177,1,1
178,1,4
179,1,2
180,1,5
181,1,4
182,1,2
183,1,3
184,1,3
185,1,2
186,1,3
187,1,2
188,1,3
189,1,1
190,1,3
191,1,3
192,1,0
193,1,2
194,1,4
195,1,2
196,1,3
197,1,3
198,1,1
199,1,3
200,1,5
201,1,3
202,1,3
203,1,1
204,1,4
205,1,3
206,1,4
207,1,3
