start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,1
75,1,1
76,1,5
77,1,1
78,1,4
79,1,1
80,1,1
81,1,1
82,1,1
83,1,0
84,1,1
85,1,2
86,1,1
87,1,0
88,1,1
89,1,1
90,1,2
91,1,1
92,1,1
93,1,1
94,1,2
95,1,1
96,1,1
97,1,2
98,1,2
99,1,2
100,1,3
101,1,2
102,1,1
103,1,1
104,1,1
105,1,2
106,1,1
107,1,1
108,1,1
109,1,2
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,2
117,1,1
118,1,2
119,1,1
120,1,1
121,1,1
122,1,0
123,1,0
124,1,1
125,1,1
126,1,2
127,1,1
128,1,2
129,1,1
130,1,2
131,1,1
132,1,1
133,1,2
134,1,3
135,1,3
136,1,1
137,1,1
138,1,1
139,1,1
140,1,0
141,1,1
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,1
162,1,2
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,2
173,1,2
174,1,0
175,1,1
176,1,5
177,1,1
178,1,1
179,1,2
180,1,2
181,1,1
182,1,4
183,1,3
184,1,1
185,1,1
186,1,1
187,1,2
188,1,2
189,1,0
190,1,4
191,1,1
192,1,4
193,1,2
194,1,2
195,1,4
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,2
202,1,3
203,1,2
204,1,3
205,1,2
206,1,1
207,1,2
