start,duration,speakers
0,1,1
1,1,2
2,1,4
3,1,2
4,1,2
5,1,1
6,1,0
7,1,0
8,1,5
9,1,1
10,1,2
11,1,3
12,1,2
13,1,3
14,1,0
15,1,1
16,1,2
17,1,1
18,1,1
19,1,2
20,1,2
21,1,2
22,1,2
23,1,3
24,1,3
25,1,3
26,1,1
27,1,2
28,1,3
29,1,4
30,1,3
31,1,2
32,1,1
33,1,2
34,1,2
35,1,1
36,1,2
37,1,2
38,1,2
39,1,3
40,1,4
41,1,2
42,1,2
43,1,3
44,1,2
45,1,2
46,1,2
47,1,2
48,1,3
49,1,2
50,1,2
51,1,2
52,1,3
53,1,2
54,1,2
55,1,2
56,1,1
57,1,2
58,1,2
59,1,2
60,1,2
61,1,2
62,1,2
63,1,2
64,1,2
65,1,1
66,1,2
67,1,2
68,1,3
69,1,2
70,1,2
71,1,2
72,1,3
73,1,2
74,1,2
75,1,2
76,1,2
77,1,2
78,1,2
79,1,2
80,1,3
81,1,2
82,1,2
83,1,2
84,1,2
85,1,3
86,1,2
87,1,2
88,1,3
89,1,1
90,1,2
91,1,3
92,1,2
93,1,3
94,1,3
95,1,4
96,1,2
97,1,1
98,1,2
99,1,3
100,1,1
101,1,3
102,1,2
103,1,3
104,1,3
105,1,3
106,1,3
107,1,3
108,1,1
109,1,2
110,1,2
111,1,3
112,1,2
113,1,2
114,1,2
115,1,2
116,1,2
117,1,3
118,1,2
119,1,3
120,1,3
121,1,3
122,1,3
123,1,1
124,1,2
125,1,2
126,1,1
127,1,3
128,1,1
129,1,3
130,1,2
131,1,4
132,1,3
133,1,4
134,1,1
135,1,2
136,1,2
137,1,3
138,1,2
139,1,4
140,1,2
141,1,2
142,1,2
143,1,2
144,1,3
145,1,2
146,1,2
147,1,3
148,1,2
149,1,2
150,1,3
151,1,2
152,1,3
153,1,3
154,1,3
155,1,2
156,1,5
157,1,1
158,1,2
159,1,2
160,1,2
161,1,2
162,1,3
163,1,3
164,1,3
165,1,2
166,1,2
167,1,2
168,1,3
169,1,2
170,1,2
171,1,3
172,1,2
173,1,2
174,1,3
175,1,2
176,1,2
177,1,3
178,1,2
179,1,3
180,1,3
181,1,3
182,1,2
183,1,2
184,1,2
185,1,2
186,1,2
187,1,2
188,1,2
189,1,2
190,1,2
191,1,2
192,1,3
193,1,2
194,1,2
195,1,3
196,1,2
197,1,3
198,1,3
199,1,1
200,1,2
201,1,2
202,1,2
203,1,2
204,1,2
205,1,2
206,1,3
207,1,2
208,1,2
209,1,2
210,1,3
211,1,3
212,1,3
213,1,2
214,1,2
215,1,2
216,1,2
