start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,1
54,1,1
55,1,1
56,1,2
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,3
75,1,2
76,1,1
77,1,2
78,1,2
79,1,1
80,1,3
81,1,2
82,1,2
83,1,2
84,1,2
85,1,3
86,1,2
87,1,1
88,1,2
89,1,1
90,1,2
91,1,2
92,1,2
93,1,2
94,1,4
95,1,2
96,1,2
97,1,2
98,1,2
99,1,2
100,1,2
101,1,2
102,1,2
103,1,2
104,1,2
105,1,2
106,1,1
107,1,2
108,1,1
109,1,3
110,1,2
111,1,2
112,1,2
113,1,2
114,1,2
115,1,2
116,1,4
117,1,2
118,1,2
119,1,2
120,1,2
121,1,1
122,1,3
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,1,2
130,1,1
131,1,2
132,1,0
133,1,2
134,1,2
135,1,2
136,1,2
137,1,2
138,1,2
139,1,2
140,1,2
141,1,2
142,1,2
143,1,2
144,1,2
145,1,2
146,1,2
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
152,1,2
153,1,1
154,1,2
155,1,2
156,1,1
157,1,2
158,1,1
159,1,2
160,1,1
161,1,2
162,1,3
163,1,2
164,1,2
165,1,2
166,1,2
167,1,1
168,1,2
169,1,1
170,1,1
171,1,2
172,1,1
173,1,2
174,1,1
175,1,2
176,1,2
177,1,2
178,1,2
179,1,2
180,1,1
181,1,2
182,1,2
183,1,2
184,1,1
185,1,2
186,1,2
187,1,2
188,1,2
189,1,2
190,1,2
191,1,2
192,1,4
193,1,2
194,1,1
195,1,2
196,1,2
197,1,2
198,1,0
199,1,2
200,1,2
201,1,2
202,1,2
203,1,2
204,1,2
205,1,2
206,1,2
207,1,2
