start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,0
26,1,1
27,1,1
28,1,2
29,1,1
30,1,1
31,1,1
32,1,2
33,1,2
34,1,1
35,1,0
36,1,0
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,3
45,1,1
46,1,1
47,1,1
48,1,5
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,2
55,1,3
56,1,2
57,1,3
58,1,2
59,1,1
60,1,2
61,1,3
62,1,0
63,1,1
64,1,1
65,1,2
66,1,4
67,1,2
68,1,1
69,1,2
70,1,2
71,1,2
72,1,2
73,1,3
74,1,2
75,1,3
76,1,3
77,1,0
78,1,1
79,1,4
80,1,2
81,1,2
82,1,3
83,1,1
84,1,2
85,1,1
86,1,1
87,1,3
88,1,0
89,1,3
90,1,3
91,1,2
92,1,1
93,1,2
94,1,5
95,1,0
96,1,2
97,1,3
98,1,2
99,1,2
100,1,3
101,1,2
102,1,3
103,1,2
104,1,2
105,1,3
106,1,3
107,1,2
108,1,1
109,1,2
110,1,2
111,1,2
112,1,2
113,1,2
114,1,1
115,1,2
116,1,0
117,1,0
118,1,3
119,1,2
120,1,2
121,1,1
122,1,2
123,1,2
124,1,3
125,1,3
126,1,3
127,1,2
128,1,1
129,1,1
130,1,3
131,1,3
132,1,1
133,1,3
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,5
140,1,0
141,1,0
142,1,1
143,1,1
144,1,2
145,1,0
146,1,0
147,1,2
148,1,0
149,1,3
150,1,4
151,1,0
152,1,2
153,1,3
154,1,3
155,1,1
156,1,0
157,1,1
158,1,1
159,1,2
160,1,1
161,1,1
162,1,3
163,1,1
164,1,1
165,1,5
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,2
175,1,1
176,1,1
177,1,2
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,0
185,1,1
186,1,1
187,1,1
188,1,3
189,1,0
190,1,1
191,1,1
192,1,0
193,1,0
194,1,0
195,1,1
196,1,1
197,1,1
198,1,1
199,1,2
200,1,1
201,1,1
202,1,0
203,1,1
204,1,3
205,1,3
206,1,1
207,1,1
