start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,1
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,0
14,1,4
15,1,3
16,1,4
17,1,1
18,1,1
19,1,1
20,1,0
21,1,3
22,1,0
23,1,2
24,1,1
25,1,1
26,1,2
27,1,2
28,1,1
29,1,1
30,1,2
31,1,1
32,1,2
33,1,1
34,1,1
35,1,1
36,1,2
37,1,1
38,1,2
39,1,2
40,1,3
41,1,1
42,1,1
43,1,1
44,1,1
45,1,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,1
52,1,2
53,1,2
54,1,2
55,1,2
56,1,2
57,1,1
58,1,2
59,1,2
60,1,2
61,1,1
62,1,2
63,1,1
64,1,2
65,1,3
66,1,2
67,1,2
68,1,2
69,1,1
70,1,2
71,1,1
72,1,3
73,1,0
74,1,0
75,1,2
76,1,2
77,1,2
78,1,2
79,1,3
80,1,2
81,1,2
82,1,2
83,1,2
84,1,0
85,1,0
86,1,0
87,1,2
88,1,3
89,1,1
90,1,0
91,1,1
92,1,0
93,1,0
94,1,0
95,1,0
96,1,2
97,1,1
98,1,1
99,1,2
100,1,1
101,1,2
102,1,0
103,1,1
104,1,1
105,1,2
106,1,1
107,1,1
108,1,1
109,1,2
110,1,1
111,1,1
112,1,1
113,1,2
114,1,1
115,1,1
116,1,2
117,1,3
118,1,1
119,1,4
120,1,1
121,1,1
122,1,2
123,1,2
124,1,1
125,1,1
126,1,2
127,1,2
128,1,2
129,1,2
130,1,2
131,1,2
132,1,2
133,1,2
134,1,2
135,1,2
136,1,2
137,1,2
138,1,2
139,1,1
140,1,2
141,1,2
142,1,1
143,1,2
144,1,2
145,1,2
146,1,2
147,1,1
148,1,2
149,1,1
150,1,2
151,1,2
152,1,2
153,1,1
154,1,2
155,1,2
156,1,1
157,1,2
158,1,0
159,1,2
160,1,2
161,1,2
162,1,2
163,1,2
164,1,2
165,1,2
166,1,2
167,1,0
168,1,3
169,1,1
170,1,2
171,1,1
172,1,2
173,1,2
174,1,2
175,1,1
176,1,2
177,1,1
178,1,2
179,1,4
180,1,2
181,1,3
182,1,1
183,1,2
184,1,1
185,1,2
186,1,3
187,1,1
188,1,2
189,1,2
190,1,2
191,1,1
192,1,2
193,1,2
194,1,2
195,1,3
196,1,3
197,1,2
198,1,2
199,1,3
200,1,0
201,1,2
202,1,2
203,1,2
204,1,2
205,1,1
206,1,3
207,1,4
