start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,4
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,0
49,1,1
50,1,2
51,1,2
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,3
58,1,1
59,1,2
60,1,1
61,1,3
62,1,2
63,1,3
64,1,3
65,1,3
66,1,1
67,1,2
68,1,2
69,1,2
70,1,1
71,1,4
72,1,1
73,1,1
74,1,2
75,1,2
76,1,0
77,1,2
78,1,3
79,1,1
80,1,3
81,1,2
82,1,2
83,1,3
84,1,4
85,1,2
86,1,1
87,1,2
88,1,3
89,1,1
90,1,2
91,1,1
92,1,1
93,1,2
94,1,2
95,1,2
96,1,1
97,1,2
98,1,2
99,1,1
100,1,1
101,1,2
102,1,1
103,1,3
104,1,2
105,1,2
106,1,2
107,1,2
108,1,1
109,1,1
110,1,2
111,1,1
112,1,2
113,1,1
114,1,0
115,1,0
116,1,2
117,1,2
118,1,3
119,1,0
120,1,2
121,1,1
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,2
129,1,2
130,1,1
131,1,2
132,1,0
133,1,0
134,1,3
135,1,1
136,1,0
137,1,0
138,1,0
139,1,3
140,1,0
141,1,0
142,1,3
143,1,2
144,1,2
145,1,2
146,1,2
147,1,2
148,1,2
149,1,1
150,1,2
151,1,2
152,1,2
153,1,5
154,1,2
155,1,1
156,1,1
157,1,1
158,1,2
159,1,2
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,3
187,1,2
188,1,3
189,1,3
190,1,1
191,1,2
192,1,2
193,1,2
194,1,0
195,1,0
196,1,0
197,1,2
198,1,2
199,1,3
200,1,3
201,1,4
202,1,3
203,1,3
204,1,2
205,1,4
206,1,5
207,1,1
