start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,3
70,1,1
71,1,3
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,2
78,1,4
79,1,1
80,1,1
81,1,1
82,1,2
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,4
106,1,1
107,1,1
108,1,1
109,1,3
110,1,3
111,1,3
112,1,2
113,1,3
114,1,3
115,1,1
116,1,2
117,1,2
118,1,2
119,1,2
120,1,0
121,1,0
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,1,2
130,1,3
131,1,2
132,1,2
133,1,2
134,1,3
135,1,2
136,1,2
137,1,2
138,1,1
139,1,2
140,1,2
141,1,2
142,1,2
143,1,1
144,1,3
145,1,3
146,1,1
147,1,0
148,1,0
149,1,1
150,1,2
151,1,3
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,4
158,1,2
159,1,2
160,1,2
161,1,2
162,1,2
163,1,0
164,1,0
165,1,2
166,1,2
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,5
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,2
196,1,3
197,1,3
198,1,3
199,1,3
200,1,2
201,1,2
202,1,2
203,1,3
204,1,3
205,1,1
206,1,1
207,1,1
