start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,5
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,2
71,1,2
72,1,1
73,1,1
74,1,1
75,1,2
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,3
84,1,1
85,1,1
86,1,3
87,1,1
88,1,1
89,1,1
90,1,2
91,1,1
92,1,1
93,1,1
94,1,1
95,1,4
96,1,1
97,1,3
98,1,3
99,1,2
100,1,1
101,1,1
102,1,2
103,1,1
104,1,1
105,1,1
106,1,1
107,1,5
108,1,0
109,1,3
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,3
116,1,3
117,1,2
118,1,3
119,1,2
120,1,1
121,1,1
122,1,2
123,1,3
124,1,1
125,1,1
126,1,2
127,1,1
128,1,3
129,1,1
130,1,1
131,1,2
132,1,2
133,1,3
134,1,1
135,1,4
136,1,1
137,1,1
138,1,3
139,1,2
140,1,1
141,1,1
142,1,2
143,1,3
144,1,2
145,1,3
146,1,3
147,1,1
148,1,3
149,1,2
150,1,2
151,1,2
152,1,2
153,1,1
154,1,1
155,1,2
156,1,1
157,1,1
158,1,1
159,1,2
160,1,1
161,1,3
162,1,1
163,1,1
164,1,1
165,1,2
166,1,5
167,1,4
168,1,5
169,1,3
170,1,1
171,1,2
172,1,2
173,1,3
174,1,3
175,1,3
176,1,3
177,1,5
178,1,1
179,1,3
180,1,3
181,1,1
182,1,3
183,1,4
184,1,2
185,1,1
186,1,1
187,1,3
188,1,1
189,1,2
190,1,2
191,1,1
192,1,2
193,1,2
194,1,3
195,1,1
196,1,3
197,1,1
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,2
207,1,3
