start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,1
14,1,5
15,1,1
16,1,1
17,1,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,4
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,2
80,1,1
81,1,3
82,1,3
83,1,3
84,1,3
85,1,3
86,1,1
87,1,2
88,1,2
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,2
106,1,2
107,1,2
108,1,2
109,1,1
110,1,2
111,1,2
112,1,1
113,1,2
114,1,1
115,1,2
116,1,2
117,1,2
118,1,1
119,1,2
120,1,2
121,1,2
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,1,2
130,1,2
131,1,2
132,1,2
133,1,2
134,1,2
135,1,4
136,1,2
137,1,2
138,1,5
139,1,1
140,1,3
141,1,1
142,1,0
143,1,1
144,1,1
145,1,1
146,1,2
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,3
161,1,3
162,1,4
163,1,1
164,1,2
165,1,3
166,1,1
167,1,2
168,1,4
169,1,4
170,1,4
171,1,1
172,1,4
173,1,5
174,1,4
175,1,3
176,1,4
177,1,3
178,1,4
179,1,5
180,1,3
181,1,4
182,1,3
183,1,2
184,1,2
185,1,3
186,1,3
187,1,1
188,1,3
189,1,3
190,1,3
191,1,3
192,1,3
193,1,4
194,1,1
195,1,1
196,1,2
197,1,3
198,1,2
199,1,4
200,1,3
201,1,2
202,1,3
203,1,3
204,1,5
205,1,2
206,1,2
207,1,2
