start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,2
76,1,2
77,1,1
78,1,1
79,1,1
80,1,0
81,1,0
82,1,0
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,4
89,1,1
90,1,1
91,1,1
92,1,1
93,1,4
94,1,2
95,1,2
96,1,1
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,1
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,2
126,1,3
127,1,1
128,1,5
129,1,1
130,1,3
131,1,5
132,1,5
133,1,5
134,1,1
135,1,5
136,1,5
137,1,1
138,1,5
139,1,5
140,1,1
141,1,4
142,1,5
143,1,3
144,1,5
145,1,5
146,1,4
147,1,0
148,1,1
149,1,4
150,1,1
151,1,1
152,1,3
153,1,1
154,1,0
155,1,4
156,1,2
157,1,3
158,1,2
159,1,3
160,1,0
161,1,0
162,1,4
163,1,1
164,1,4
165,1,5
166,1,1
167,1,1
168,1,4
169,1,1
170,1,2
171,1,3
172,1,4
173,1,5
174,1,4
175,1,4
176,1,1
177,1,1
178,1,1
179,1,1
180,1,5
181,1,4
182,1,1
183,1,1
184,1,3
185,1,3
186,1,3
187,1,2
188,1,5
189,1,4
190,1,1
191,1,1
192,1,2
193,1,1
194,1,1
195,1,3
196,1,3
197,1,3
198,1,1
199,1,4
200,1,4
201,1,5
202,1,3
203,1,1
204,1,2
205,1,1
206,1,2
207,1,1
