start,duration,speakers
0,1,0
1,1,0
2,1,1
3,1,1
4,1,2
5,1,4
6,1,2
7,1,2
8,1,1
9,1,0
10,1,1
11,1,1
12,1,1
13,1,0
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,2
21,1,0
22,1,3
23,1,2
24,1,4
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,1
90,1,1
91,1,3
92,1,1
93,1,1
94,1,0
95,1,0
96,1,0
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,0
104,1,0
105,1,1
106,1,1
107,1,1
108,1,0
109,1,0
110,1,0
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,2
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,0
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,2
168,1,0
169,1,1
170,1,2
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,3
177,1,4
178,1,3
179,1,2
180,1,2
181,1,1
182,1,0
183,1,3
184,1,1
185,1,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,3
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,5
198,1,0
199,1,0
200,1,2
201,1,1
202,1,4
203,1,3
204,1,2
205,1,2
206,1,2
207,1,2
