start,duration,speakers
0,1,1
1,1,0
2,1,1
3,1,1
4,1,1
5,1,1
6,1,2
7,1,1
8,1,1
9,1,0
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,0
22,1,1
23,1,0
24,1,3
25,1,3
26,1,1
27,1,2
28,1,1
29,1,1
30,1,1
31,1,0
32,1,1
33,1,1
34,1,1
35,1,2
36,1,1
37,1,1
38,1,1
39,1,0
40,1,1
41,1,0
42,1,1
43,1,1
44,1,1
45,1,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,0
53,1,1
54,1,1
55,1,1
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,1,1
62,1,1
63,1,1
64,1,0
65,1,1
66,1,0
67,1,1
68,1,1
69,1,0
70,1,0
71,1,1
72,1,4
73,1,1
74,1,1
75,1,1
76,1,0
77,1,0
78,1,1
79,1,1
80,1,1
81,1,2
82,1,1
83,1,1
84,1,2
85,1,1
86,1,1
87,1,1
88,1,1
89,1,2
90,1,0
91,1,0
92,1,1
93,1,1
94,1,1
95,1,1
96,1,0
97,1,1
98,1,1
99,1,1
100,1,0
101,1,1
102,1,1
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,2
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,0
118,1,0
119,1,3
120,1,1
121,1,1
122,1,0
123,1,0
124,1,1
125,1,2
126,1,1
127,1,0
128,1,0
129,1,0
130,1,1
131,1,0
132,1,0
133,1,1
134,1,0
135,1,1
136,1,1
137,1,2
138,1,1
139,1,0
140,1,0
141,1,1
142,1,0
143,1,0
144,1,1
145,1,0
146,1,2
147,1,0
148,1,2
149,1,0
150,1,2
151,1,2
152,1,1
153,1,1
154,1,0
155,1,1
156,1,1
157,1,1
158,1,1
159,1,0
160,1,1
161,1,0
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,0
173,1,1
174,1,1
175,1,0
176,1,1
177,1,1
178,1,0
179,1,0
180,1,0
181,1,1
182,1,0
183,1,1
184,1,0
185,1,1
186,1,1
187,1,0
188,1,4
189,1,3
190,1,2
191,1,0
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,2
199,1,0
200,1,1
201,1,2
202,1,1
203,1,1
204,1,1
205,1,1
206,1,0
207,1,0
208,1,2
209,1,1
210,1,1
211,1,1
212,1,2
213,1,0
214,1,1
215,1,1
216,1,1
217,1,0
218,1,1
219,1,0
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,2
229,1,1
230,1,1
231,1,1
232,1,0
233,1,2
234,1,0
235,1,2
236,1,1
237,1,1
238,1,1
239,1,1
240,1,0
241,1,1
242,1,1
243,1,2
244,1,1
245,1,1
246,1,1
247,1,2
248,1,1
249,1,1
250,1,1
251,1,0
252,1,1
253,1,1
254,1,0
255,1,1
256,1,1
257,1,1
258,1,3
259,1,3
260,1,0
261,1,2
262,1,2
263,1,2
264,1,1
265,1,1
266,1,1
267,1,0
268,1,1
269,1,0
270,1,1
271,1,1
272,1,0
273,1,1
274,1,1
275,1,1
276,1,1
277,1,0
278,1,0
279,1,1
280,1,1
281,1,1
282,1,0
283,1,0
284,1,0
285,1,0
286,1,0
287,1,1
288,1,1
289,1,1
290,1,0
291,1,1
292,1,1
293,1,0
294,1,1
295,1,1
296,1,0
297,1,0
298,1,0
299,1,0
300,1,0
301,1,0
302,1,0
303,1,1
304,1,1
