start,duration,speakers
0,1,1
1,1,1
2,1,0
3,1,0
4,1,1
5,1,2
6,1,1
7,1,1
8,1,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,0
14,1,0
15,1,1
16,1,1
17,1,1
18,1,0
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,0
26,1,1
27,1,1
28,1,0
29,1,1
30,1,0
31,1,1
32,1,1
33,1,1
34,1,0
35,1,0
36,1,1
37,1,0
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,0
48,1,1
49,1,1
50,1,0
51,1,1
52,1,0
53,1,0
54,1,1
55,1,1
56,1,1
57,1,0
58,1,0
59,1,0
60,1,1
61,1,1
62,1,0
63,1,0
64,1,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,1
70,1,1
71,1,1
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,1
78,1,0
79,1,0
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,0
88,1,0
89,1,0
90,1,1
91,1,0
92,1,0
93,1,0
94,1,1
95,1,1
96,1,1
97,1,2
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,0
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,0
115,1,1
116,1,1
117,1,1
118,1,0
119,1,1
120,1,0
121,1,0
122,1,1
123,1,0
124,1,0
125,1,0
126,1,0
127,1,1
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,1
136,1,1
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,1
149,1,1
150,1,1
151,1,0
152,1,1
153,1,0
154,1,1
155,1,0
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,1
167,1,0
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,0
175,1,0
176,1,0
177,1,1
178,1,1
179,1,1
180,1,0
181,1,0
182,1,1
183,1,0
184,1,0
185,1,1
186,1,0
187,1,1
188,1,0
189,1,0
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,0
203,1,0
204,1,1
205,1,1
206,1,1
207,1,0
208,1,1
209,1,0
210,1,0
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,0
217,1,0
218,1,0
219,1,0
220,1,1
221,1,0
222,1,1
223,1,1
224,1,1
225,1,0
226,1,1
227,1,0
228,1,1
229,1,2
230,1,2
231,1,1
232,1,1
233,1,0
234,1,1
235,1,1
236,1,1
237,1,3
238,1,1
239,1,1
240,1,1
241,1,1
242,1,0
243,1,1
244,1,0
245,1,1
246,1,1
247,1,1
248,1,1
249,1,2
250,1,1
251,1,0
252,1,0
253,1,0
254,1,1
255,1,0
256,1,0
257,1,0
258,1,0
259,1,1
260,1,0
261,1,0
262,1,0
263,1,0
264,1,0
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,0
272,1,1
273,1,1
274,1,0
275,1,4
276,1,2
277,1,0
278,1,1
279,1,2
280,1,0
281,1,0
282,1,1
283,1,1
284,1,1
285,1,1
286,1,0
287,1,1
288,1,1
289,1,1
290,1,0
291,1,1
292,1,1
293,1,1
294,1,1
295,1,0
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,0
302,1,1
303,1,1
304,1,0
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,0
312,1,1
313,1,1
314,1,1
315,1,0
316,1,2
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,0
325,1,0
326,1,0
327,1,1
328,1,1
329,1,0
330,1,0
331,1,0
332,1,0
333,1,1
334,1,0
335,1,0
336,1,1
337,1,0
338,1,1
339,1,1
340,1,0
341,1,1
342,1,1
343,1,0
344,1,2
345,1,0
346,1,1
347,1,4
348,1,0
349,1,4
350,1,2
351,1,1
352,1,1
353,1,1
354,1,1
355,1,0
356,1,0
357,1,1
358,1,0
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,2
368,1,0
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,2
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,0
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,0
395,1,0
396,1,0
397,1,0
398,1,0
399,1,0
400,1,0
401,1,1
402,1,0
403,1,0
404,1,1
405,1,1
406,1,0
407,1,1
408,1,0
409,1,3
410,1,2
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,0
417,1,0
418,1,0
419,1,0
420,1,1
421,1,1
422,1,0
423,1,0
424,1,1
425,1,1
426,1,0
427,1,1
428,1,1
429,1,1
430,1,3
431,1,2
432,1,2
433,1,2
434,1,1
435,1,0
436,1,1
437,1,1
438,1,0
439,1,0
440,1,1
441,1,1
442,1,0
443,1,0
444,1,1
445,1,1
446,1,0
447,1,1
448,1,1
449,1,1
450,1,1
451,1,0
452,1,0
453,1,1
454,1,0
455,1,2
456,1,1
457,1,1
458,1,1
459,1,0
460,1,1
461,1,1
462,1,0
463,1,1
464,1,1
465,1,0
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,0
475,1,1
476,1,0
477,1,1
478,1,0
479,1,0
480,1,0
481,1,1
482,1,2
483,1,1
484,1,1
485,1,1
486,1,4
487,1,0
488,1,1
489,1,0
490,1,1
491,1,0
492,1,0
493,1,0
494,1,0
495,1,0
496,1,0
497,1,0
498,1,0
499,1,0
500,1,1
501,1,0
502,1,1
503,1,0
504,1,0
505,1,0
506,1,1
507,1,1
508,1,0
509,1,1
510,1,0
511,1,3
512,1,1
513,1,0
514,1,0
515,1,1
516,1,0
517,1,0
518,1,2
519,1,2
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,0
526,1,1
527,1,1
528,1,1
529,1,0
530,1,1
531,1,1
532,1,1
533,1,0
534,1,1
535,1,0
536,1,1
537,1,0
538,1,0
539,1,0
540,1,0
541,1,1
542,1,0
543,1,1
544,1,1
545,1,0
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,0
553,1,1
554,1,1
555,1,1
556,1,0
557,1,0
558,1,0
559,1,1
560,1,1
561,1,1
562,1,1
563,1,0
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,1,1
570,1,0
571,1,0
572,1,0
573,1,0
574,1,0
575,1,1
576,1,1
577,1,1
578,1,0
579,1,0
580,1,1
581,1,0
582,1,0
583,1,1
584,1,0
585,1,1
586,1,1
587,1,1
588,1,1
589,1,1
590,1,0
591,1,1
592,1,1
593,1,1
594,1,0
595,1,1
596,1,1
597,1,1
598,1,1
599,1,0
600,1,1
601,1,0
602,1,0
603,1,0
604,1,0
605,1,0
606,1,1
607,1,1
608,1,0
609,1,1
610,1,0
611,1,1
612,1,0
613,1,1
614,1,0
615,1,1
616,1,0
617,1,0
618,1,1
619,1,0
620,1,0
621,1,1
622,1,1
623,1,0
624,1,1
625,1,0
626,1,1
627,1,1
628,1,1
629,1,0
630,1,1
631,1,1
632,1,1
633,1,1
634,1,0
635,1,2
636,1,2
637,1,2
638,1,1
639,1,0
640,1,1
641,1,1
642,1,0
643,1,1
644,1,1
645,1,1
646,1,1
647,1,0
648,1,0
649,1,0
650,1,2
651,1,1
652,1,1
653,1,0
654,1,0
655,1,0
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,2
662,1,1
663,1,0
664,1,1
665,1,1
666,1,0
667,1,0
668,1,0
669,1,1
670,1,0
671,1,0
672,1,0
673,1,1
674,1,1
675,1,3
676,1,2
677,1,1
678,1,1
679,1,2
680,1,1
681,1,1
682,1,1
683,1,2
684,1,0
685,1,1
686,1,0
687,1,1
688,1,0
689,1,0
690,1,0
691,1,1
692,1,0
693,1,1
694,1,1
695,1,0
696,1,1
697,1,1
698,1,0
699,1,1
700,1,1
701,1,0
702,1,0
703,1,1
704,1,0
705,1,0
706,1,1
707,1,1
708,1,1
709,1,2
710,1,0
711,1,0
712,1,0
713,1,1
714,1,0
715,1,1
716,1,1
717,1,1
718,1,1
719,1,2
720,1,1
721,1,1
722,1,0
723,1,0
724,1,0
725,1,1
726,1,0
727,1,0
728,1,2
729,1,1
730,1,2
731,1,1
732,1,1
733,1,0
734,1,1
735,1,0
736,1,1
737,1,1
738,1,1
739,1,0
740,1,1
741,1,1
742,1,0
743,1,1
744,1,1
745,1,1
746,1,0
747,1,1
748,1,0
749,1,1
750,1,0
751,1,1
752,1,1
753,1,1
754,1,0
755,1,0
756,1,0
757,1,0
758,1,0
759,1,1
760,1,1
761,1,1
762,1,1
763,1,0
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
771,1,1
772,1,0
773,1,1
774,1,0
775,1,0
776,1,2
777,1,2
778,1,1
779,1,1
780,1,0
781,1,0
782,1,1
783,1,0
784,1,3
785,1,1
786,1,0
787,1,1
788,1,0
789,1,1
790,1,2
791,1,0
792,1,1
793,1,0
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,0
800,1,1
801,1,1
802,1,0
803,1,1
804,1,1
805,1,1
806,1,0
807,1,1
808,1,1
809,1,0
810,1,0
811,1,1
812,1,1
813,1,1
814,1,1
815,1,0
816,1,1
817,1,0
818,1,1
819,1,1
820,1,1
821,1,0
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,1,1
829,1,0
830,1,1
831,1,1
832,1,1
833,1,0
834,1,0
835,1,0
836,1,0
837,1,0
838,1,1
839,1,1
840,1,0
841,1,0
842,1,0
843,1,0
844,1,0
845,1,0
846,1,0
847,1,1
848,1,0
849,1,1
850,1,0
851,1,0
852,1,0
853,1,0
854,1,1
855,1,1
856,1,1
857,1,3
858,1,0
859,1,3
860,1,3
861,1,1
862,1,0
863,1,1
864,1,2
865,1,2
866,1,1
867,1,1
868,1,0
869,1,2
870,1,1
871,1,1
872,1,0
873,1,1
874,1,1
875,1,1
876,1,1
877,1,1
878,1,1
879,1,1
880,1,1
881,1,0
882,1,0
883,1,1
884,1,0
885,1,1
886,1,0
887,1,1
888,1,1
889,1,0
890,1,1
891,1,0
892,1,0
893,1,1
894,1,1
895,1,1
896,1,1
897,1,1
898,1,0
899,1,1
900,1,1
901,1,1
902,1,1
903,1,1
904,1,1
905,1,0
906,1,1
907,1,0
908,1,1
909,1,1
910,1,1
911,1,1
912,1,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,2
918,1,0
919,1,1
920,1,0
921,1,0
922,1,1
923,1,0
924,1,2
925,1,0
926,1,1
927,1,1
928,1,1
929,1,0
930,1,1
931,1,0
932,1,0
933,1,0
934,1,1
935,1,0
936,1,1
937,1,1
938,1,2
939,1,1
940,1,1
941,1,0
942,1,1
943,1,2
944,1,1
945,1,2
946,1,0
947,1,1
948,1,2
949,1,0
950,1,1
951,1,1
952,1,0
953,1,1
954,1,0
955,1,0
956,1,3
957,1,2
958,1,1
959,1,1
960,1,2
961,1,1
962,1,1
963,1,2
964,1,1
965,1,0
966,1,1
967,1,2
968,1,1
969,1,1
970,1,2
971,1,2
972,1,0
973,1,0
974,1,1
975,1,1
976,1,1
977,1,0
978,1,1
979,1,0
980,1,4
981,1,2
982,1,0
983,1,1
984,1,1
985,1,1
986,1,0
987,1,1
988,1,1
989,1,1
990,1,0
991,1,1
992,1,1
993,1,0
994,1,1
995,1,4
996,1,1
997,1,1
998,1,1
999,1,2
1000,1,0
1001,1,0
1002,1,0
1003,1,1
1004,1,0
1005,1,1
1006,1,1
1007,1,1
1008,1,1
1009,1,1
1010,1,3
1011,1,2
1012,1,1
1013,1,1
1014,1,0
1015,1,1
1016,1,2
1017,1,0
1018,1,0
1019,1,1
1020,1,1
1021,1,0
1022,1,1
1023,1,1
1024,1,1
1025,1,1
1026,1,0
1027,1,2
1028,1,1
1029,1,2
1030,1,0
1031,1,1
1032,1,1
1033,1,0
1034,1,1
1035,1,1
1036,1,0
1037,1,4
1038,1,1
1039,1,1
1040,1,0
1041,1,0
1042,1,0
1043,1,1
1044,1,0
1045,1,0
1046,1,1
1047,1,1
1048,1,1
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,1,1
1054,1,1
1055,1,1
1056,1,1
1057,1,0
1058,1,1
1059,1,0
1060,1,1
1061,1,2
1062,1,1
1063,1,1
1064,1,2
1065,1,1
1066,1,1
1067,1,1
1068,1,1
1069,1,1
1070,1,1
1071,1,1
1072,1,2
1073,1,1
1074,1,0
1075,1,1
1076,1,1
1077,1,2
1078,1,0
1079,1,1
1080,1,1
1081,1,0
1082,1,1
1083,1,0
1084,1,1
1085,1,0
1086,1,0
1087,1,1
1088,1,0
1089,1,1
1090,1,0
1091,1,0
1092,1,2
1093,1,2
1094,1,1
1095,1,2
1096,1,3
1097,1,2
1098,1,1
1099,1,1
1100,1,1
1101,1,1
1102,1,1
1103,1,1
1104,1,0
1105,1,0
1106,1,0
1107,1,1
1108,1,0
1109,1,0
1110,1,0
1111,1,1
1112,1,4
1113,1,1
1114,1,1
1115,1,1
1116,1,1
1117,1,1
1118,1,1
1119,1,1
1120,1,1
1121,1,1
1122,1,1
1123,1,0
1124,1,0
1125,1,1
1126,1,1
1127,1,1
1128,1,1
1129,1,2
1130,1,0
1131,1,1
1132,1,1
1133,1,1
1134,1,1
1135,1,1
1136,1,1
1137,1,0
1138,1,1
1139,1,1
1140,1,0
1141,1,0
1142,1,1
1143,1,0
1144,1,0
1145,1,1
1146,1,0
1147,1,0
1148,1,1
1149,1,1
1150,1,1
1151,1,0
1152,1,1
1153,1,1
1154,1,1
1155,1,1
1156,1,0
1157,1,1
1158,1,0
1159,1,1
1160,1,0
1161,1,1
1162,1,0
1163,1,0
1164,1,1
1165,1,2
1166,1,1
1167,1,1
1168,1,2
1169,1,4
1170,1,1
1171,1,3
1172,1,0
1173,1,0
1174,1,0
1175,1,0
1176,1,1
1177,1,1
1178,1,1
1179,1,1
1180,1,1
1181,1,1
1182,1,1
1183,1,0
1184,1,0
1185,1,0
1186,1,0
1187,1,1
1188,1,1
1189,1,1
1190,1,0
1191,1,1
1192,1,1
1193,1,0
1194,1,0
1195,1,1
1196,1,1
1197,1,1
1198,1,1
1199,1,1
1200,1,1
1201,1,1
1202,1,1
1203,1,1
1204,1,1
1205,1,1
