start,duration,speakers
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,0
9,1,1
10,1,0
11,1,1
12,1,1
13,1,1
14,1,1
15,1,0
16,1,1
17,1,1
18,1,3
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,0
29,1,1
30,1,1
31,1,0
32,1,1
33,1,0
34,1,1
35,1,1
36,1,1
37,1,0
38,1,1
39,1,0
40,1,1
41,1,0
42,1,1
43,1,1
44,1,1
45,1,1
46,1,0
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,0
58,1,0
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,0
67,1,0
68,1,1
69,1,0
70,1,0
71,1,0
72,1,1
73,1,1
74,1,0
75,1,0
76,1,0
77,1,1
78,1,0
79,1,0
80,1,1
81,1,0
82,1,0
83,1,0
84,1,0
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,0
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,0
101,1,0
102,1,0
103,1,1
104,1,1
105,1,1
106,1,1
107,1,0
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,0
115,1,0
116,1,1
117,1,1
118,1,1
119,1,0
120,1,0
121,1,0
122,1,1
123,1,0
124,1,0
125,1,1
126,1,0
127,1,0
128,1,1
129,1,0
130,1,1
131,1,0
132,1,0
133,1,1
134,1,1
135,1,0
136,1,0
137,1,0
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,0
146,1,1
147,1,0
148,1,1
149,1,1
150,1,0
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,0
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,0
163,1,1
164,1,0
165,1,2
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,0
173,1,0
174,1,1
175,1,0
176,1,0
177,1,1
178,1,0
179,1,1
180,1,1
181,1,1
182,1,0
183,1,1
184,1,1
185,1,0
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,0
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,0
199,1,1
200,1,1
201,1,0
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,0
208,1,1
209,1,0
210,1,0
211,1,0
212,1,1
213,1,0
214,1,0
215,1,0
216,1,1
217,1,1
218,1,0
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,0
225,1,0
226,1,0
227,1,1
228,1,0
229,1,1
230,1,0
231,1,1
232,1,0
233,1,1
234,1,0
235,1,0
236,1,1
237,1,1
238,1,1
239,1,1
240,1,0
241,1,1
242,1,0
243,1,1
244,1,0
245,1,1
246,1,1
247,1,0
248,1,1
249,1,1
250,1,0
251,1,0
252,1,1
253,1,1
254,1,0
255,1,0
256,1,1
257,1,1
258,1,1
259,1,0
260,1,1
261,1,0
262,1,0
263,1,1
264,1,1
265,1,0
266,1,1
267,1,0
268,1,1
269,1,1
270,1,0
271,1,1
272,1,0
273,1,1
274,1,0
275,1,1
276,1,0
277,1,0
278,1,0
279,1,0
280,1,1
281,1,1
282,1,1
283,1,1
284,1,2
285,1,1
286,1,0
287,1,0
288,1,1
289,1,1
290,1,0
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,0
299,1,0
300,1,0
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,0
308,1,0
309,1,0
310,1,0
311,1,1
312,1,0
313,1,1
314,1,0
315,1,1
316,1,0
317,1,0
318,1,0
319,1,0
320,1,0
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,0
329,1,0
330,1,0
331,1,0
332,1,1
333,1,0
334,1,0
335,1,1
336,1,0
337,1,0
338,1,1
339,1,1
340,1,0
341,1,0
342,1,1
343,1,0
344,1,0
345,1,1
346,1,1
347,1,0
348,1,1
349,1,1
350,1,1
351,1,0
352,1,0
353,1,1
354,1,0
355,1,1
356,1,0
357,1,1
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,1
364,1,0
365,1,1
366,1,0
367,1,0
368,1,1
369,1,0
370,1,0
371,1,1
372,1,0
373,1,1
374,1,1
375,1,1
376,1,1
377,1,0
378,1,1
379,1,0
380,1,1
381,1,0
382,1,1
383,1,1
384,1,1
385,1,0
386,1,1
387,1,1
388,1,1
389,1,1
390,1,0
391,1,1
392,1,1
393,1,0
394,1,1
395,1,0
396,1,1
397,1,0
398,1,1
399,1,0
400,1,1
401,1,1
402,1,1
403,1,0
404,1,0
405,1,0
406,1,1
407,1,0
408,1,0
409,1,1
410,1,0
411,1,0
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,0
420,1,1
421,1,1
422,1,1
423,1,0
424,1,0
425,1,0
426,1,0
427,1,0
428,1,1
429,1,0
430,1,1
431,1,1
432,1,1
433,1,0
434,1,0
435,1,0
436,1,0
437,1,0
438,1,1
439,1,0
440,1,0
441,1,0
442,1,1
443,1,0
444,1,1
445,1,0
446,1,0
447,1,1
448,1,1
449,1,0
450,1,1
451,1,1
452,1,1
453,1,0
454,1,0
455,1,0
456,1,1
457,1,0
458,1,0
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,0
465,1,1
466,1,1
467,1,1
468,1,0
469,1,1
470,1,1
471,1,1
472,1,0
473,1,1
474,1,1
475,1,0
476,1,1
477,1,1
478,1,0
479,1,0
480,1,0
481,1,0
482,1,0
483,1,1
484,1,0
485,1,1
486,1,0
487,1,1
488,1,0
489,1,0
490,1,1
491,1,0
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,0
499,1,1
500,1,0
501,1,0
502,1,0
503,1,1
504,1,0
505,1,0
506,1,1
507,1,0
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,0
514,1,1
515,1,1
516,1,1
517,1,0
518,1,1
519,1,1
520,1,0
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,0
528,1,1
529,1,0
530,1,0
531,1,1
532,1,0
533,1,0
534,1,0
535,1,1
536,1,0
537,1,1
538,1,1
539,1,0
540,1,1
541,1,1
542,1,0
543,1,1
544,1,1
545,1,0
546,1,1
547,1,0
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,0
554,1,1
555,1,0
556,1,0
557,1,1
558,1,1
559,1,0
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,0
568,1,1
569,1,1
570,1,0
571,1,1
572,1,0
573,1,0
574,1,1
575,1,0
576,1,1
577,1,0
578,1,0
579,1,1
580,1,1
581,1,0
582,1,1
583,1,1
584,1,1
585,1,1
586,1,1
587,1,1
588,1,0
589,1,1
590,1,1
591,1,0
592,1,1
593,1,1
594,1,0
595,1,1
596,1,1
597,1,1
598,1,1
599,1,0
600,1,1
601,1,0
602,1,0
603,1,1
604,1,1
605,1,1
606,1,1
607,1,0
608,1,1
609,1,1
610,1,1
611,1,1
612,1,1
613,1,0
614,1,1
615,1,0
616,1,0
617,1,1
618,1,0
619,1,1
620,1,1
621,1,1
622,1,0
623,1,0
624,1,0
625,1,1
626,1,0
627,1,1
628,1,0
629,1,1
630,1,1
631,1,0
632,1,1
633,1,1
634,1,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,0
641,1,1
642,1,1
643,1,0
644,1,0
645,1,1
646,1,0
647,1,0
648,1,1
649,1,0
650,1,1
651,1,1
652,1,1
653,1,1
654,1,0
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,0
664,1,0
665,1,1
666,1,0
667,1,1
668,1,1
669,1,0
670,1,0
671,1,1
672,1,1
673,1,1
674,1,1
675,1,0
676,1,1
677,1,0
678,1,1
679,1,1
680,1,1
681,1,1
682,1,0
683,1,0
684,1,1
685,1,1
686,1,1
687,1,1
688,1,0
689,1,0
690,1,0
691,1,1
692,1,0
693,1,0
694,1,0
695,1,1
696,1,0
697,1,1
698,1,1
699,1,0
700,1,1
701,1,1
702,1,0
703,1,1
704,1,1
705,1,0
706,1,0
707,1,1
708,1,1
709,1,1
710,1,0
711,1,1
712,1,1
713,1,0
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,0
720,1,1
721,1,1
722,1,1
723,1,0
724,1,1
725,1,0
726,1,1
727,1,0
728,1,0
729,1,1
730,1,1
731,1,0
732,1,1
733,1,0
734,1,0
735,1,1
736,1,0
737,1,0
738,1,0
739,1,1
740,1,0
741,1,0
742,1,1
743,1,1
744,1,0
745,1,0
746,1,1
747,1,0
748,1,1
749,1,0
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,0
757,1,0
758,1,0
759,1,0
760,1,1
761,1,0
762,1,0
763,1,0
764,1,0
765,1,1
766,1,1
767,1,1
768,1,0
769,1,0
770,1,1
771,1,1
772,1,1
773,1,1
774,1,1
775,1,1
776,1,0
777,1,0
778,1,0
779,1,1
780,1,0
781,1,1
782,1,0
783,1,1
784,1,1
785,1,1
786,1,1
787,1,1
788,1,1
789,1,1
790,1,0
791,1,0
792,1,1
793,1,1
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,0
804,1,2
805,1,1
806,1,1
807,1,1
808,1,0
809,1,1
810,1,0
811,1,0
812,1,1
813,1,1
814,1,1
815,1,0
816,1,1
817,1,1
818,1,1
819,1,0
820,1,1
821,1,1
822,1,0
823,1,0
824,1,1
825,1,0
826,1,1
827,1,1
828,1,1
829,1,1
830,1,1
831,1,0
832,1,1
833,1,0
834,1,1
835,1,1
836,1,1
837,1,1
838,1,1
839,1,1
840,1,1
841,1,0
842,1,1
843,1,1
844,1,0
845,1,1
846,1,1
847,1,0
848,1,1
849,1,1
850,1,0
851,1,0
852,1,1
853,1,1
854,1,0
855,1,1
856,1,0
857,1,0
858,1,1
859,1,0
860,1,0
861,1,1
862,1,0
863,1,1
864,1,1
865,1,1
866,1,1
867,1,0
868,1,1
869,1,0
870,1,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,1
876,1,0
877,1,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,0
883,1,1
884,1,1
885,1,1
886,1,0
887,1,0
888,1,1
889,1,0
890,1,0
891,1,1
892,1,1
893,1,1
894,1,1
895,1,1
896,1,0
897,1,0
898,1,1
899,1,0
900,1,0
901,1,0
902,1,1
903,1,1
904,1,1
905,1,0
906,1,1
907,1,1
908,1,1
909,1,1
910,1,0
911,1,1
912,1,0
913,1,0
914,1,0
915,1,1
916,1,0
917,1,1
918,1,1
919,1,1
920,1,0
921,1,1
922,1,0
923,1,1
924,1,1
925,1,1
926,1,1
927,1,0
928,1,1
929,1,0
930,1,0
931,1,1
932,1,1
933,1,0
934,1,1
935,1,0
936,1,0
937,1,1
938,1,1
939,1,1
940,1,1
941,1,0
942,1,1
943,1,0
944,1,1
945,1,1
946,1,0
947,1,1
948,1,1
949,1,1
950,1,0
951,1,1
952,1,1
953,1,1
954,1,1
955,1,1
956,1,1
957,1,1
958,1,1
959,1,1
960,1,1
961,1,0
962,1,1
963,1,1
964,1,1
965,1,1
966,1,1
967,1,0
968,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
974,1,1
975,1,1
976,1,1
977,1,0
978,1,1
979,1,0
980,1,0
981,1,0
982,1,0
983,1,1
984,1,1
985,1,0
986,1,1
987,1,1
988,1,1
989,1,1
990,1,1
991,1,0
992,1,1
993,1,1
994,1,0
995,1,1
996,1,1
997,1,1
998,1,1
999,1,0
1000,1,0
1001,1,0
1002,1,1
1003,1,1
1004,1,0
1005,1,1
1006,1,0
1007,1,1
1008,1,0
1009,1,1
1010,1,0
1011,1,1
1012,1,0
1013,1,1
1014,1,1
1015,1,0
1016,1,1
1017,1,0
1018,1,0
1019,1,1
1020,1,0
1021,1,1
1022,1,0
1023,1,1
1024,1,0
1025,1,0
1026,1,0
1027,1,1
1028,1,0
1029,1,0
1030,1,0
1031,1,0
1032,1,1
1033,1,0
1034,1,0
1035,1,0
1036,1,1
1037,1,0
1038,1,1
1039,1,1
1040,1,0
1041,1,0
1042,1,1
1043,1,1
1044,1,1
1045,1,1
1046,1,1
1047,1,0
1048,1,1
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,1,0
1054,1,1
1055,1,1
1056,1,1
1057,1,0
1058,1,1
1059,1,0
1060,1,0
1061,1,0
1062,1,1
1063,1,1
1064,1,0
1065,1,0
1066,1,1
1067,1,1
1068,1,1
1069,1,1
1070,1,0
1071,1,1
1072,1,1
1073,1,1
1074,1,1
1075,1,0
1076,1,1
1077,1,0
1078,1,0
1079,1,0
1080,1,1
1081,1,1
1082,1,1
1083,1,1
1084,1,1
1085,1,0
1086,1,0
1087,1,0
1088,1,1
1089,1,0
1090,1,0
1091,1,0
1092,1,1
1093,1,0
1094,1,1
1095,1,1
1096,1,1
1097,1,0
1098,1,0
1099,1,1
1100,1,1
1101,1,1
1102,1,1
1103,1,0
1104,1,1
1105,1,1
1106,1,1
1107,1,1
1108,1,0
1109,1,0
1110,1,1
1111,1,1
1112,1,2
1113,1,1
1114,1,1
1115,1,1
1116,1,1
1117,1,0
1118,1,1
1119,1,1
1120,1,0
1121,1,1
1122,1,0
1123,1,0
1124,1,1
1125,1,0
1126,1,1
1127,1,0
1128,1,0
1129,1,1
1130,1,0
1131,1,0
1132,1,1
1133,1,0
1134,1,1
1135,1,0
1136,1,1
1137,1,1
1138,1,0
1139,1,0
1140,1,1
1141,1,1
1142,1,0
1143,1,0
1144,1,1
1145,1,0
1146,1,0
1147,1,1
1148,1,0
1149,1,1
1150,1,0
1151,1,0
1152,1,1
1153,1,0
1154,1,0
1155,1,1
1156,1,0
1157,1,1
1158,1,1
1159,1,1
1160,1,0
1161,1,0
1162,1,0
1163,1,1
1164,1,1
1165,1,1
1166,1,0
1167,1,1
1168,1,1
1169,1,1
1170,1,1
1171,1,1
1172,1,0
1173,1,0
1174,1,1
1175,1,0
1176,1,0
1177,1,1
1178,1,1
1179,1,0
1180,1,0
1181,1,1
1182,1,0
1183,1,0
1184,1,1
1185,1,1
1186,1,0
1187,1,0
1188,1,1
1189,1,1
1190,1,0
1191,1,0
1192,1,1
1193,1,0
1194,1,1
1195,1,0
1196,1,0
1197,1,1
1198,1,1
1199,1,1
1200,1,1
1201,1,1
1202,1,0
1203,1,0
1204,1,1
1205,1,1
1206,1,1
1207,1,1
1208,1,0
1209,1,1
1210,1,1
1211,1,1
1212,1,1
1213,1,1
1214,1,1
1215,1,1
1216,1,1
1217,1,1
1218,1,1
1219,1,1
1220,1,1
1221,1,1
1222,1,1
1223,1,1
1224,1,1
1225,1,0
1226,1,0
1227,1,1
1228,1,1
1229,1,0
1230,1,1
1231,1,1
1232,1,0
1233,1,1
1234,1,0
1235,1,1
1236,1,0
1237,1,1
1238,1,0
1239,1,1
1240,1,1
1241,1,1
1242,1,1
1243,1,1
1244,1,1
1245,1,1
1246,1,1
1247,1,1
1248,1,1
1249,1,1
1250,1,0
1251,1,2
1252,1,1
1253,1,1
1254,1,0
1255,1,1
1256,1,0
1257,1,0
1258,1,1
1259,1,0
1260,1,1
1261,1,1
1262,1,0
1263,1,0
1264,1,1
1265,1,1
1266,1,1
1267,1,0
1268,1,1
1269,1,1
1270,1,1
1271,1,1
1272,1,1
1273,1,0
1274,1,1
1275,1,0
1276,1,0
1277,1,0
1278,1,0
1279,1,0
1280,1,1
1281,1,0
1282,1,0
1283,1,0
1284,1,1
1285,1,1
1286,1,1
1287,1,1
1288,1,0
1289,1,0
1290,1,1
1291,1,0
1292,1,1
1293,1,0
1294,1,0
1295,1,1
1296,1,1
1297,1,0
1298,1,1
1299,1,0
1300,1,0
1301,1,1
1302,1,1
1303,1,1
1304,1,0
1305,1,0
1306,1,1
1307,1,1
1308,1,1
1309,1,0
1310,1,1
1311,1,1
1312,1,0
1313,1,1
1314,1,0
1315,1,0
1316,1,1
1317,1,0
1318,1,0
1319,1,0
1320,1,1
1321,1,1
1322,1,0
1323,1,1
1324,1,1
1325,1,1
1326,1,0
1327,1,0
1328,1,1
1329,1,1
1330,1,0
1331,1,1
1332,1,0
1333,1,1
1334,1,0
1335,1,1
1336,1,1
1337,1,1
1338,1,1
1339,1,1
1340,1,1
1341,1,1
1342,1,1
1343,1,1
1344,1,0
1345,1,1
1346,1,1
1347,1,0
1348,1,1
1349,1,0
1350,1,1
1351,1,1
1352,1,0
1353,1,1
1354,1,1
1355,1,0
1356,1,0
1357,1,0
1358,1,0
1359,1,0
