start,duration,speakers
0,1,1
1,1,0
2,1,1
3,1,1
4,1,0
5,1,1
6,1,1
7,1,1
8,1,1
9,1,0
10,1,1
11,1,0
12,1,1
13,1,1
14,1,1
15,1,3
16,1,1
17,1,2
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,0
29,1,0
30,1,0
31,1,1
32,1,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,1
39,1,0
40,1,0
41,1,1
42,1,0
43,1,1
44,1,0
45,1,0
46,1,0
47,1,1
48,1,1
49,1,0
50,1,1
51,1,1
52,1,1
53,1,1
54,1,0
55,1,0
56,1,0
57,1,1
58,1,0
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,2
66,1,1
67,1,0
68,1,1
69,1,1
70,1,1
71,1,0
72,1,0
73,1,1
74,1,0
75,1,0
76,1,0
77,1,1
78,1,1
79,1,0
80,1,1
81,1,1
82,1,1
83,1,1
84,1,0
85,1,0
86,1,0
87,1,1
88,1,1
89,1,0
90,1,0
91,1,1
92,1,1
93,1,1
94,1,1
95,1,0
96,1,0
97,1,1
98,1,0
99,1,2
100,1,0
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,2
107,1,0
108,1,1
109,1,1
110,1,1
111,1,0
112,1,2
113,1,0
114,1,1
115,1,1
116,1,0
117,1,1
118,1,1
119,1,1
120,1,0
121,1,0
122,1,1
123,1,0
124,1,1
125,1,1
126,1,1
127,1,0
128,1,0
129,1,1
130,1,1
131,1,2
132,1,1
133,1,1
134,1,1
135,1,0
136,1,1
137,1,2
138,1,2
139,1,1
140,1,0
141,1,1
142,1,0
143,1,0
144,1,1
145,1,0
146,1,0
147,1,0
148,1,1
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,1
158,1,1
159,1,0
160,1,0
161,1,0
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,0
169,1,0
170,1,0
171,1,1
172,1,0
173,1,0
174,1,1
175,1,0
176,1,1
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,1
183,1,1
184,1,0
185,1,1
186,1,0
187,1,1
188,1,1
189,1,1
190,1,1
191,1,0
192,1,0
193,1,0
194,1,1
195,1,1
196,1,1
197,1,0
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,0
210,1,1
211,1,0
212,1,0
213,1,1
214,1,0
215,1,1
216,1,1
217,1,0
218,1,1
219,1,0
220,1,1
221,1,0
222,1,0
223,1,1
224,1,0
225,1,1
226,1,0
227,1,1
228,1,1
229,1,0
230,1,1
231,1,0
232,1,1
233,1,0
234,1,0
235,1,1
236,1,0
237,1,1
238,1,1
239,1,1
240,1,0
241,1,1
242,1,0
243,1,0
244,1,1
245,1,1
246,1,1
247,1,0
248,1,0
249,1,1
250,1,1
251,1,1
252,1,0
253,1,2
254,1,2
255,1,1
256,1,1
257,1,1
258,1,1
259,1,0
260,1,0
261,1,1
262,1,1
263,1,2
264,1,1
265,1,1
266,1,1
267,1,0
268,1,0
269,1,1
270,1,1
271,1,0
272,1,3
273,1,2
274,1,0
275,1,1
276,1,1
277,1,0
278,1,1
279,1,1
280,1,2
281,1,0
282,1,1
283,1,0
284,1,0
285,1,1
286,1,1
287,1,1
288,1,1
289,1,0
290,1,1
291,1,0
292,1,0
293,1,1
294,1,1
295,1,0
296,1,1
297,1,1
298,1,1
299,1,0
300,1,1
301,1,1
302,1,1
303,1,0
304,1,1
