start,duration,count
0,1,1
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,3
25,1,1
26,1,0
27,1,0
28,1,0
29,1,1
30,1,1
31,1,1
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,2
38,1,1
39,1,0
40,1,0
41,1,0
42,1,1
43,1,0
44,1,0
45,1,0
46,1,1
47,1,0
48,1,0
49,1,1
50,1,2
51,1,3
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,2
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,1
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,1
86,1,2
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,1
126,1,1
127,1,1
128,1,0
129,1,1
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,1
140,1,0
141,1,1
142,1,0
143,1,0
144,1,1
145,1,4
146,1,0
147,1,1
148,1,0
149,1,0
150,1,2
151,1,1
152,1,0
153,1,1
154,1,0
155,1,3
156,1,2
157,1,0
158,1,0
159,1,2
160,1,1
161,1,0
162,1,0
163,1,0
164,1,1
165,1,0
166,1,1
167,1,1
168,1,1
169,1,1
170,1,2
171,1,1
172,1,0
173,1,1
174,1,0
175,1,0
176,1,0
177,1,1
178,1,1
179,1,0
180,1,1
181,1,0
182,1,0
183,1,0
184,1,1
185,1,2
186,1,1
187,1,0
188,1,0
189,1,1
190,1,0
191,1,0
192,1,1
193,1,0
194,1,1
195,1,1
196,1,1
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,2
203,1,1
204,1,0
205,1,1
206,1,0
207,1,0
208,1,0
209,1,0
210,1,1
211,1,0
212,1,0
213,1,1
214,1,0
215,1,1
216,1,0
217,1,1
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,2
224,1,0
225,1,1
226,1,1
227,1,0
228,1,0
229,1,0
230,1,1
231,1,2
232,1,3
233,1,4
234,1,3
235,1,1
236,1,4
237,1,4
238,1,4
239,1,4
240,1,4
241,1,4
242,1,2
243,1,4
244,1,4
245,1,1
246,1,2
247,1,2
248,1,1
249,1,2
250,1,0
251,1,0
252,1,0
253,1,0
254,1,2
255,1,1
256,1,0
257,1,1
258,1,0
259,1,0
260,1,0
261,1,0
262,1,0
263,1,0
264,1,4
265,1,2
266,1,4
267,1,2
268,1,1
269,1,0
270,1,1
271,1,1
272,1,0
273,1,0
274,1,0
275,1,3
276,1,4
277,1,4
278,1,4
279,1,3
280,1,4
281,1,3
282,1,3
283,1,3
284,1,3
285,1,1
286,1,3
287,1,2
288,1,4
289,1,4
290,1,3
291,1,2
292,1,3
293,1,2
294,1,1
295,1,0
296,1,4
297,1,3
298,1,1
299,1,1
300,1,1
301,1,2
302,1,0
303,1,0
304,1,0
305,1,2
