start,duration,count
0,1,1
1,1,0
2,1,1
3,1,1
4,1,1
5,1,0
6,1,0
7,1,0
8,1,1
9,1,0
10,1,1
11,1,0
12,1,1
13,1,0
14,1,1
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,0
23,1,0
24,1,2
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,1
31,1,2
32,1,0
33,1,0
34,1,1
35,1,1
36,1,0
37,1,1
38,1,0
39,1,1
40,1,1
41,1,4
42,1,1
43,1,1
44,1,2
45,1,3
46,1,1
47,1,0
48,1,0
49,1,1
50,1,1
51,1,1
52,1,1
53,1,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,0
61,1,1
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,1
68,1,1
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,1
76,1,0
77,1,0
78,1,1
79,1,0
80,1,1
81,1,1
82,1,0
83,1,1
84,1,2
85,1,2
86,1,1
87,1,1
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,1
97,1,0
98,1,0
99,1,1
100,1,1
101,1,4
102,1,1
103,1,2
104,1,0
105,1,1
106,1,1
107,1,0
108,1,1
109,1,1
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,1
118,1,1
119,1,1
120,1,0
121,1,2
122,1,1
123,1,1
124,1,1
125,1,0
126,1,2
127,1,1
128,1,4
129,1,3
130,1,0
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,0
138,1,1
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,1
145,1,0
146,1,1
147,1,0
148,1,1
149,1,2
150,1,0
151,1,0
152,1,0
153,1,1
154,1,1
155,1,0
156,1,2
157,1,2
158,1,1
159,1,1
160,1,0
161,1,1
162,1,0
163,1,0
164,1,1
165,1,1
166,1,1
167,1,0
168,1,0
169,1,1
170,1,0
171,1,0
172,1,1
173,1,1
174,1,0
175,1,0
176,1,1
177,1,1
178,1,0
179,1,1
180,1,1
181,1,0
182,1,1
183,1,0
184,1,1
185,1,0
186,1,1
187,1,0
188,1,1
189,1,1
190,1,1
191,1,0
192,1,2
193,1,0
194,1,0
195,1,2
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,0
203,1,0
204,1,1
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,1
211,1,1
212,1,1
213,1,1
214,1,0
215,1,1
216,1,1
217,1,1
218,1,1
219,1,0
220,1,1
221,1,0
222,1,2
223,1,1
224,1,1
225,1,1
226,1,1
227,1,0
228,1,0
229,1,0
230,1,1
231,1,2
232,1,1
233,1,0
234,1,0
235,1,1
236,1,1
237,1,0
238,1,0
239,1,0
240,1,0
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,0
247,1,1
248,1,1
249,1,1
250,1,1
251,1,0
252,1,1
253,1,0
254,1,1
255,1,1
256,1,1
257,1,0
258,1,0
259,1,1
260,1,2
261,1,1
262,1,0
263,1,1
264,1,0
265,1,1
266,1,1
267,1,1
268,1,0
269,1,0
270,1,2
271,1,2
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,0
279,1,0
280,1,0
281,1,1
282,1,1
283,1,0
284,1,1
285,1,0
286,1,0
287,1,0
288,1,2
289,1,1
290,1,1
291,1,1
292,1,0
293,1,2
294,1,2
295,1,1
296,1,1
297,1,0
298,1,0
299,1,1
300,1,0
301,1,1
302,1,0
303,1,1
304,1,1
305,1,0
