start,duration,count
0,1,0
1,1,0
2,1,1
3,1,0
4,1,0
5,1,0
6,1,0
7,1,1
8,1,0
9,1,0
10,1,0
11,1,1
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,1
21,1,1
22,1,0
23,1,1
24,1,0
25,1,1
26,1,2
27,1,0
28,1,0
29,1,0
30,1,1
31,1,1
32,1,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,1
38,1,2
39,1,0
40,1,2
41,1,1
42,1,0
43,1,0
44,1,3
45,1,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,1
54,1,1
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,1
102,1,1
103,1,0
104,1,0
105,1,1
106,1,0
107,1,0
108,1,0
109,1,1
110,1,1
111,1,0
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,0
121,1,2
122,1,1
123,1,1
124,1,0
125,1,0
126,1,1
127,1,0
128,1,0
129,1,1
130,1,0
131,1,1
132,1,0
133,1,1
134,1,0
135,1,1
136,1,0
137,1,0
138,1,0
139,1,1
140,1,0
141,1,0
142,1,1
143,1,1
144,1,1
145,1,0
146,1,1
147,1,1
148,1,1
149,1,0
150,1,0
151,1,0
152,1,0
153,1,1
154,1,0
155,1,1
156,1,0
157,1,1
158,1,1
159,1,1
160,1,2
161,1,1
162,1,0
163,1,1
164,1,1
165,1,1
166,1,0
167,1,1
168,1,1
169,1,1
170,1,1
171,1,0
172,1,0
173,1,1
174,1,2
175,1,0
176,1,1
177,1,1
178,1,0
179,1,0
180,1,1
181,1,0
182,1,1
183,1,0
184,1,1
185,1,1
186,1,1
187,1,0
188,1,0
189,1,1
190,1,1
191,1,0
192,1,1
193,1,0
194,1,0
195,1,0
196,1,0
197,1,1
198,1,0
199,1,0
200,1,1
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
