start,duration,count
0,1,1
1,1,0
2,1,2
3,1,2
4,1,0
5,1,0
6,1,1
7,1,2
8,1,2
9,1,1
10,1,0
11,1,1
12,1,2
13,1,1
14,1,2
15,1,1
16,1,4
17,1,0
18,1,2
19,1,0
20,1,1
21,1,0
22,1,2
23,1,2
24,1,1
25,1,3
26,1,2
27,1,3
28,1,1
29,1,0
30,1,1
31,1,1
32,1,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,1
38,1,0
39,1,1
40,1,1
41,1,0
42,1,2
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,0
54,1,0
55,1,0
56,1,1
57,1,0
58,1,1
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,1
67,1,1
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,1
75,1,1
76,1,0
77,1,2
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,1
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,1
109,1,1
110,1,1
111,1,0
112,1,1
113,1,0
114,1,0
115,1,0
116,1,0
117,1,1
118,1,1
119,1,0
120,1,1
121,1,2
122,1,1
123,1,1
124,1,1
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,1
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,1
185,1,0
186,1,0
187,1,2
188,1,0
189,1,0
190,1,2
191,1,1
192,1,0
193,1,2
194,1,1
195,1,2
196,1,1
197,1,1
198,1,0
199,1,1
200,1,2
201,1,1
202,1,1
203,1,1
204,1,0
205,1,2
206,1,1
207,1,0
208,1,1
209,1,1
210,1,2
211,1,1
212,1,1
213,1,1
214,1,0
215,1,1
216,1,1
217,1,1
218,1,1
219,1,0
220,1,0
221,1,0
222,1,0
223,1,1
224,1,0
225,1,1
226,1,0
227,1,1
228,1,1
229,1,2
230,1,1
231,1,1
232,1,0
233,1,0
234,1,0
235,1,1
236,1,0
237,1,2
238,1,2
239,1,0
240,1,1
241,1,0
242,1,2
243,1,2
244,1,2
245,1,0
246,1,0
247,1,1
248,1,2
249,1,1
250,1,0
251,1,0
252,1,1
253,1,1
254,1,0
255,1,1
256,1,1
257,1,0
258,1,0
259,1,0
260,1,1
261,1,0
262,1,2
263,1,0
264,1,1
265,1,0
266,1,2
267,1,0
268,1,1
269,1,3
270,1,2
271,1,1
272,1,1
273,1,0
274,1,0
275,1,1
276,1,0
277,1,2
278,1,0
279,1,2
280,1,0
281,1,2
282,1,1
283,1,1
284,1,0
285,1,1
286,1,1
287,1,1
288,1,1
289,1,2
290,1,2
291,1,1
292,1,0
293,1,0
294,1,1
295,1,2
296,1,1
297,1,1
298,1,0
299,1,0
300,1,2
301,1,0
302,1,2
303,1,1
304,1,1
305,1,0
