start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,2
5,1,2
6,1,0
7,1,2
8,1,1
9,1,2
10,1,2
11,1,1
12,1,0
13,1,1
14,1,0
15,1,0
16,1,0
17,1,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,2
23,1,2
24,1,0
25,1,1
26,1,2
27,1,1
28,1,1
29,1,0
30,1,1
31,1,0
32,1,0
33,1,0
34,1,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,1
46,1,1
47,1,0
48,1,0
49,1,2
50,1,2
51,1,0
52,1,1
53,1,2
54,1,2
55,1,1
56,1,1
57,1,0
58,1,0
59,1,0
60,1,2
61,1,3
62,1,1
63,1,1
64,1,0
65,1,0
66,1,1
67,1,2
68,1,1
69,1,0
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,0
77,1,1
78,1,0
79,1,1
80,1,0
81,1,1
82,1,1
83,1,1
84,1,0
85,1,2
86,1,1
87,1,1
88,1,1
89,1,0
90,1,1
91,1,0
92,1,0
93,1,1
94,1,0
95,1,1
96,1,0
97,1,1
98,1,1
99,1,0
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,0
107,1,1
108,1,0
109,1,0
110,1,1
111,1,0
112,1,1
113,1,2
114,1,0
115,1,2
116,1,2
117,1,1
118,1,1
119,1,1
120,1,1
121,1,4
122,1,2
123,1,1
124,1,1
125,1,0
126,1,1
127,1,0
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,0
134,1,0
135,1,0
136,1,1
137,1,0
138,1,1
139,1,2
140,1,0
141,1,1
142,1,0
143,1,1
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,1
151,1,0
152,1,1
153,1,1
154,1,1
155,1,1
156,1,2
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,1
163,1,1
164,1,0
165,1,0
166,1,1
167,1,1
168,1,2
169,1,1
170,1,0
171,1,1
172,1,0
173,1,2
174,1,1
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,2
184,1,1
185,1,1
186,1,0
187,1,0
188,1,0
189,1,1
190,1,2
191,1,0
192,1,0
193,1,0
194,1,2
195,1,0
196,1,0
197,1,1
198,1,0
199,1,0
200,1,0
201,1,0
202,1,1
203,1,0
204,1,1
205,1,0
206,1,2
207,1,0
